design,temperature,predicted_power,real_power
sasc,10,538.124370803833,514.8
des3_area,10,3343.7482226562497,3358.82
ethernet,10,44733.83922851563,46940.9
ss_pcm,10,354.6711051177979,330.17
ac97_ctrl,10,8717.261953125,8288.42
spi,10,2234.244763183594,2308.8
fpu,10,22649.889713745117,22477.24
tv80,10,5260.366233825684,5353.11
simple_spi,10,590.7516304779053,619.98
usb_phy,10,369.1769653320312,401.89
aes,10,14702.485806274413,15030.44
i2c,10,658.8134505462647,692.46
wb_dma,10,2408.1297615051267,2502.55
pci,10,12520.68456604004,12270.25
dynamic_node,10,12566.283153076172,12368.89
sasc,20,538.1249258422852,535.45
des3_area,20,3343.7534030151364,3343.04
ethernet,20,44733.83971679688,43441.27
ss_pcm,20,354.6689269256592,330.17
ac97_ctrl,20,8717.26814819336,8303.29
spi,20,2234.2426460266115,2340.04
fpu,20,22649.89989135742,22945.33
tv80,20,5260.361999511719,5373.77
simple_spi,20,590.7495323944092,624.73
usb_phy,20,369.17836341857907,401.89
aes,20,14702.481320190429,14865.86
i2c,20,658.8167140197754,694.02
wb_dma,20,2408.129246520996,2385.26
pci,20,12520.680552978516,12511.99
dynamic_node,20,12566.280498046875,12496.78
sasc,30,538.1245462799072,534.34
des3_area,30,3343.75009185791,3341.21
ethernet,30,44733.83971679688,43404.27
ss_pcm,30,354.6692473602295,332.39
ac97_ctrl,30,8717.265645751953,8458.3
spi,30,2234.243099975586,2022.29
fpu,30,22649.891407470703,22451.88
tv80,30,5260.361892700195,5405.67
simple_spi,30,590.7508484649659,607.59
usb_phy,30,369.17750320434567,390.26
aes,30,14702.480282592773,13664.23
i2c,30,658.8206832122803,680.1
wb_dma,30,2408.1304367065427,2410.91
pci,30,12520.679759521485,12280.74
dynamic_node,30,12566.283336181641,12419.01
sasc,40,538.125498046875,535.31
des3_area,40,3343.7495845031735,3368.77
ethernet,40,44733.84118164063,47168.49
ss_pcm,40,354.6703917694092,340.71
ac97_ctrl,40,8717.265142211914,8314.58
spi,40,2234.25263671875,2298.91
fpu,40,22649.89061401367,22583.64
tv80,40,5260.373825073242,5386.07
simple_spi,40,590.7520157623292,598.21
usb_phy,40,369.1802192687988,401.67
aes,40,14702.479611206054,14865.86
i2c,40,658.8203875732422,693.95
wb_dma,40,2408.125267791748,2376.57
pci,40,12520.686107177735,12712.56
dynamic_node,40,12566.276958007813,12321.9
sasc,50,538.12747215271,534.34
des3_area,50,3343.751198120117,3370.1
ethernet,50,44733.83922851563,47242.88
ss_pcm,50,354.66919776916507,326.12
ac97_ctrl,50,8717.264837036133,8362.6
spi,50,2234.242836761475,2295.43
fpu,50,22649.887806396484,22846.72
tv80,50,5260.362445831299,5393.6
simple_spi,50,590.7529961395264,602.96
usb_phy,50,369.1773582458496,404.22
aes,50,14702.486904907226,14075.98
i2c,50,658.8288886260987,702.98
wb_dma,50,2408.125500488281,2353.06
pci,50,12520.680552978516,12375.45
dynamic_node,50,12566.279384155274,12498.75
sasc,60,538.1250078582764,514.8
des3_area,60,3343.7499163818356,3338.37
ethernet,60,44733.840937500005,47172.61
ss_pcm,60,354.6686198425293,325.82
ac97_ctrl,60,8717.267232666016,8280.45
spi,60,2234.247822570801,2033.85
fpu,60,22649.889713745117,22528.74
tv80,60,5260.362277984619,5373.77
simple_spi,60,590.7496697235108,607.59
usb_phy,60,369.17900810241696,391.47
aes,60,14702.484020996093,14401.75
i2c,60,658.8177573394776,694.04
wb_dma,60,2408.126034545898,2517.05
pci,60,12520.688716430664,12274.59
dynamic_node,60,12566.27764465332,12374.8
sasc,70,538.1242582702637,534.34
des3_area,70,3343.7496722412106,3390.16
ethernet,70,44733.838984375005,43640.43
ss_pcm,70,354.6692855072022,325.82
ac97_ctrl,70,8717.262532958985,8288.42
spi,70,2234.24352722168,2295.43
fpu,70,22649.892322998046,22928.07
tv80,70,5260.364597320557,5282.1
simple_spi,70,590.7537972259522,612.96
usb_phy,70,369.17846641540524,397.62
aes,70,14702.482479858398,14566.41
i2c,70,658.8157221984864,682.71
wb_dma,70,2408.1330345153806,2341.83
pci,70,12520.678508300782,12387.45
dynamic_node,70,12566.278361816407,12375.75
sasc,80,538.1349527740479,538.32
des3_area,80,3343.751644439697,3352.32
ethernet,80,44733.839960937505,46964.8
ss_pcm,80,354.6681353759766,332.39
ac97_ctrl,80,8717.26521850586,8256.55
spi,80,2234.24303894043,2087.58
fpu,80,22649.889896850586,22793.31
tv80,80,5260.361965179443,5344.91
simple_spi,80,590.7512432861329,623.09
usb_phy,80,369.17836914062497,391.47
aes,80,14702.488751220702,14485.5
i2c,80,658.8201224517823,681.69
wb_dma,80,2408.1347396850583,2350.3
pci,80,12520.681895751954,12089.94
dynamic_node,80,12566.278056640625,12082.68
sasc,90,538.1234114074707,514.8
des3_area,90,3343.7494700622556,3366.78
ethernet,90,44733.84118164063,43348.55
ss_pcm,90,354.6685893249512,325.82
ac97_ctrl,90,8717.262471923828,8288.42
spi,90,2234.2419021606447,2340.04
fpu,90,22649.89143798828,22877.69
tv80,90,5260.362258911133,5364.57
simple_spi,90,590.7514702606202,619.09
usb_phy,90,369.17909011840817,400.43
aes,90,14702.489208984374,15032.46
i2c,90,658.8170878601074,677.45
wb_dma,90,2408.1339233398435,2433.41
pci,90,12520.679790039063,12380.9
dynamic_node,90,12566.288676757813,12252.75
sasc,100,538.1274263763428,536.42
des3_area,100,3343.75000793457,3368.77
ethernet,100,44733.84166992188,41443.1
ss_pcm,100,354.6687686157227,325.82
ac97_ctrl,100,8717.267400512696,8322.63
spi,100,2234.2439392089846,1973.2
fpu,100,22649.89065979004,22445.04
tv80,100,5260.363117218018,5314.78
simple_spi,100,590.7521473693848,623.57
usb_phy,100,369.1789699554443,400.59
aes,100,14702.483212280273,14715.79
i2c,100,658.8251502227783,679.41
wb_dma,100,2408.1303031921384,2383.19
pci,100,12520.67902709961,12092.19
dynamic_node,100,12566.285884399414,12332.86
sasc,110,538.1291124725342,516.56
des3_area,110,3343.7491267395017,3358.82
ethernet,110,44733.84069335938,43417.57
ss_pcm,110,354.6683737945557,332.39
ac97_ctrl,110,8717.264364013672,8376.92
spi,110,2234.2441566467287,2005.45
fpu,110,22649.889057617187,22846.72
tv80,110,5260.363658905029,5373.77
simple_spi,110,590.74960105896,624.2
usb_phy,110,369.1761432647705,396.19
aes,110,14702.481976318359,15421.53
i2c,110,658.8148276519776,677.76
wb_dma,110,2408.127323913574,2300.07
pci,110,12520.678081054688,12277.3
dynamic_node,110,12566.27765991211,12320.86
sasc,120,538.1241667175293,531.52
des3_area,120,3343.749588317871,3337.66
ethernet,120,44733.83922851563,43514.8
ss_pcm,120,354.67213699340823,326.12
ac97_ctrl,120,8717.264470825196,8288.42
spi,120,2234.24295501709,1973.2
fpu,120,22649.89128540039,22441.4
tv80,120,5260.362503051758,5437.29
simple_spi,120,590.7513081359864,624.2
usb_phy,120,369.17678794860836,396.19
aes,120,14702.482678222656,14405.63
i2c,120,658.8158881378174,692.87
wb_dma,120,2408.1282356262204,2453.31
pci,120,12520.679957885743,12177.16
dynamic_node,120,12566.284358520508,12447.48
sasc,130,538.1259825134277,535.95
des3_area,130,3343.7489703369138,3337.02
ethernet,130,44733.84118164063,46864.27
ss_pcm,130,354.668600769043,325.82
ac97_ctrl,130,8717.266164550781,8253.38
spi,130,2234.2454727172853,2310.44
fpu,130,22649.894978027343,23158.58
tv80,130,5260.362323760986,5364.57
simple_spi,130,590.7509667205811,620.54
usb_phy,130,369.1783710479736,395.54
aes,130,14702.49561767578,14665.6
i2c,130,658.8148600769043,677.2
wb_dma,130,2408.1296546936032,2489.01
pci,130,12520.679790039063,12231.67
dynamic_node,130,12566.275340576172,12424.99
sasc,140,538.1259310150147,535.45
des3_area,140,3343.749275512695,3338.37
ethernet,140,44733.83922851563,44813.24
ss_pcm,140,354.6684424591065,325.82
ac97_ctrl,140,8717.261571655274,8281.87
spi,140,2234.2425621032717,2295.43
fpu,140,22649.887791137695,22747.79
tv80,140,5260.3619384765625,5314.78
simple_spi,140,590.7513214874268,620.54
usb_phy,140,369.17637405395504,393.56
aes,140,14702.483135986327,14073.89
i2c,140,658.8155219268799,680.82
wb_dma,140,2408.1259277343747,2376.57
pci,140,12520.678020019532,12277.3
dynamic_node,140,12566.278255004883,12354.61
sasc,150,538.1242830657959,516.11
des3_area,150,3343.7494586181638,3338.37
ethernet,150,44733.83971679688,46788.25
ss_pcm,150,354.6733977508545,340.71
ac97_ctrl,150,8717.262258300781,8288.42
spi,150,2234.243458557129,2292.72
fpu,150,22649.898869018554,22341.46
tv80,150,5260.362976074219,5402.5
simple_spi,150,590.7499100494385,620.54
usb_phy,150,369.1785694122314,398.33
aes,150,14702.483670043945,15228.68
i2c,150,658.816887588501,690.92
wb_dma,150,2408.126580047607,2397.55
pci,150,12520.68633605957,12553.73
dynamic_node,150,12566.278163452149,12314.08
sasc,160,538.1257593536377,535.45
des3_area,160,3343.7496722412106,3338.37
ethernet,160,44733.83971679688,46795.33
ss_pcm,160,354.66920921325686,325.82
ac97_ctrl,160,8717.265004882813,8279.19
spi,160,2234.2419021606447,2340.04
fpu,160,22649.8891796875,22747.79
tv80,160,5260.36661529541,5278.56
simple_spi,160,590.7505490112305,607.59
usb_phy,160,369.18093833923336,391.71
aes,160,14702.484967041015,14769.08
i2c,160,658.8192641448975,701.28
wb_dma,160,2408.1316001892087,2396.45
pci,160,12520.687221069336,12891.09
dynamic_node,160,12566.282847900391,12494.28
sasc,170,538.1253778839111,533.56
des3_area,170,3343.7494662475583,3358.82
