sid,area,power
0,8831.47,10574.86
1,7874.40,9030.21
2,7812.15,8808.06
3,7481.52,8697.68
4,8558.55,10172.19
5,7779.17,8933.70
6,7912.70,9191.53
7,8895.31,10523.52
8,7697.77,8749.07
9,7640.05,8822.24
10,7499.60,8582.06
11,8718.15,10490.66
12,7717.19,8867.99
13,8762.04,10660.16
14,7567.70,8831.31
15,8656.70,10473.90
16,7526.20,8762.52
17,8695.01,10473.42
18,7650.16,8560.70
19,7942.23,8931.66
20,7546.15,8808.53
21,8940.53,10679.51
22,7548.02,8724.06
23,7343.20,8465.31
24,7663.19,8694.88
25,7829.71,8983.96
26,8728.52,10471.99
27,8820.29,10428.93
28,7895.41,8985.00
29,8876.95,10641.70
30,7649.63,8790.39
31,7640.32,9000.72
32,8830.14,10517.22
33,8044.90,9114.05
34,7661.86,8642.24
35,7586.05,8639.04
36,7385.76,8433.50
37,7536.31,8809.82
38,7607.33,8723.44
39,8914.72,10653.83
40,7987.71,9178.61
41,7571.16,8890.03
42,7594.03,8713.42
43,7710.01,8655.27
44,8906.21,10621.96
45,7643.78,8814.95
46,7648.30,8904.11
47,8664.15,10291.00
48,7973.35,8962.53
49,7919.35,9149.40
50,8956.75,10731.20
51,7899.40,9061.62
52,8753.00,10604.31
53,7503.06,8717.71
54,7605.74,8675.73
55,7521.15,8619.86
56,7901.00,8873.30
57,7578.07,8764.26
58,7633.14,8686.21
59,8681.97,10300.76
60,8773.74,10529.12
61,7712.40,8856.34
62,8139.07,9149.52
63,8720.54,10436.50
64,7554.40,8704.04
65,7899.40,9072.35
66,7669.58,8745.58
67,8637.55,10224.41
68,7653.88,8770.94
69,8630.90,10197.80
70,7702.03,8885.84
71,8052.88,9180.18
72,7655.48,8736.54
73,8779.33,10612.95
74,7694.85,8943.90
75,8681.97,10537.95
76,7398.79,8566.25
77,7666.65,8850.31
78,8928.02,10763.20
79,7681.55,8876.93
80,7698.84,8879.26
81,7638.72,8443.01
82,7795.40,8751.14
83,8693.94,10409.94
84,8593.40,10299.67
85,8690.49,10436.87
86,7711.87,8826.79
87,8155.56,9321.33
88,8716.55,10426.82
89,7641.91,8691.68
90,7514.50,8674.61
91,8753.26,10377.39
92,8080.02,9210.84
93,7717.46,8984.39
94,7658.94,8728.34
95,7798.85,8896.38
96,7877.06,9119.61
97,8771.88,10339.41
98,7686.34,8815.57
99,7591.64,8792.14
100,7496.68,8671.02
101,7552.80,8814.88
102,8713.36,10553.32
103,7606.80,8688.71
104,7606.27,8773.33
105,8749.01,10369.39
106,7692.99,8617.01
107,7517.16,8641.59
108,7715.33,8889.81
109,7716.39,8604.78
110,8689.42,10305.58
111,8829.87,10548.06
112,7499.87,8719.04
113,7687.93,8807.32
114,8505.35,10194.60
115,7688.73,8887.79
116,8980.96,10734.69
117,8575.57,10129.13
118,7588.98,8741.07
119,8844.50,10559.96
120,7758.42,8932.31
121,8672.13,10253.03
122,7803.91,8983.34
123,7610.26,8758.92
124,8809.12,10699.65
125,7662.66,8709.13
126,7957.12,8968.56
127,7616.64,8646.89
128,7664.52,8844.65
129,7497.48,8723.17
130,7616.11,8782.76
131,7579.14,8737.86
132,7520.62,8784.80
133,7553.60,8666.89
134,7578.87,8827.43
135,8613.61,10321.77
136,7831.57,8823.70
137,7793.53,8956.12
138,8882.54,10617.71
139,7907.12,8823.97
140,8627.44,10295.74
141,8510.14,10033.47
142,7674.90,8781.57
143,7889.56,9103.01
144,7578.34,8671.00
145,8599.51,10307.35
146,7677.56,8900.85
147,7800.18,8785.76
148,8771.62,10520.96
149,7672.77,8831.05
150,8742.09,10481.98
151,7679.42,8943.32
152,8533.81,10106.29
153,7434.97,8571.55
154,7758.16,8936.37
155,8690.49,10486.31
156,8888.39,10622.56
157,7721.71,8660.35
158,7525.14,8784.28
159,7829.98,8967.13
160,7871.47,9062.84
161,7683.14,8661.80
162,7483.64,8648.00
163,7609.46,8749.82
164,7584.99,8538.11
165,8037.99,9137.33
166,7889.83,9077.43
167,7599.09,8825.62
168,7507.32,8633.28
