sid,Area,Delay,Power
0,7677.55,171.61,9298.09
1,7110.73,185.24,8535.38
2,6969.2,179.77,8241.08
3,7127.39,169.1,8597.24
4,7499.45,181.66,8793.09
5,7543.98,171.61,8938.51
6,7006.31,185.24,8216.05
7,7881.67,171.63,9339.3
8,7018.4,178.59,8485.62
9,7218.09,189.2,8123.79
10,7129.09,163.87,8583.34
11,7534.78,181.54,9126.83
12,7212.34,188.82,8150.27
13,7515.98,181.54,8982.2
14,7129.3,169.1,8727.71
15,7474.07,183.1,8983.92
16,7175.78,169.1,8690.82
17,7827.96,171.61,9425.32
18,7740.73,171.63,9012.28
19,7401.61,193.92,8571.05
20,7193.45,169.1,8686.99
21,7391.12,188.82,8930.14
22,7136.27,162.47,8532.08
23,6997.58,169.1,8368.94
24,7073.11,170.37,8451.66
25,7140.32,185.24,8593.43
26,7554.54,188.82,9188.22
27,7512.28,191.35,8790.53
28,7184.51,179.77,8553.66
29,7366.19,188.82,8856.61
30,7081.83,185.24,8538.45
31,7292.34,165.98,8769.14
32,7488.75,185.14,8907.22
33,7237.54,191.39,8391.84
34,6889.93,178.15,8170.62
35,7000.04,178.15,8251.77
36,6832.35,180.01,8026.54
37,7136.91,165.98,8738.67
38,7254.47,161.93,8564.33
39,7441.03,188.82,9073.95
40,7311.3,184.37,8384.37
41,7285.67,165.98,8667.59
42,7106.38,165.98,8459.99
43,7807.04,173.76,9054.12
44,7727.67,171.61,9235.38
45,7505.89,176.88,8707.52
46,7343.18,165.98,8870.04
47,8026.91,171.63,9606.56
48,7301.4,191.35,8216.63
49,6986.66,180.01,8276.17
50,7655.23,171.61,9178.79
51,7335.91,182.52,8692.26
52,7615.87,181.54,9172.44
53,7083.65,169.1,8608.88
54,6925.5,180.01,8175.84
55,7089.16,168.66,8425.48
56,7389.72,193.92,8520.21
57,7141.27,168.66,8612.84
58,6868.92,185.24,8137.94
59,7533.54,193.92,8776.12
60,7395.98,188.82,8844.72
61,7159.37,181.5,8519.01
62,7316.91,191.39,8572.08
63,7469.24,181.66,8727.8
64,7038.75,165.98,8425.6
65,7235.0,185.24,8547.64
66,7266.08,181.54,8465.27
67,7394.76,183.22,8793.89
68,6845.42,167.84,8202.75
69,7252.47,186.05,8408.63
70,6978.71,180.01,8314.99
71,7578.01,171.61,8818.01
72,6973.52,180.01,8305.67
73,7508.8,181.54,8835.74
74,7153.2,178.59,8522.58
75,7474.22,181.54,8966.01
76,6940.79,181.88,8063.09
77,7118.29,175.75,8499.53
78,7447.41,188.82,8969.3
79,6995.34,180.01,8299.16
80,7022.37,180.01,8327.31
81,7331.36,183.22,8330.52
82,7818.89,171.63,9099.03
83,7456.32,183.22,8664.79
84,7744.18,171.61,9243.3
85,7574.46,181.54,9152.61
86,7019.95,185.24,8153.03
87,7327.08,191.39,8554.28
88,7508.85,181.66,8808.62
89,6845.72,185.24,8104.42
90,7003.2,167.54,8418.86
91,7309.95,186.05,8557.07
92,7209.81,188.82,8343.01
93,7100.15,185.46,8498.32
94,7029.86,175.75,8352.24
95,7006.14,185.24,8285.94
96,6959.01,185.05,8242.87
97,7397.11,183.22,8515.1
98,7347.11,158.93,8682.03
99,7135.63,169.1,8761.59
100,7066.17,165.98,8463.27
101,7150.43,165.98,8704.5
102,7592.04,181.54,9111.75
103,7106.95,170.37,8399.51
104,7142.3,169.1,8663.99
105,7467.13,183.22,8914.17
106,7253.84,183.22,8178.8
107,6916.86,180.01,8265.8
108,7184.99,178.59,8601.94
109,7280.26,183.22,8228.82
110,7489.41,183.22,8761.79
111,7436.42,184.37,8876.89
112,7102.77,169.1,8749.11
113,6958.55,180.01,8297.03
114,7697.16,171.61,9158.05
115,7175.93,170.46,8711.43
116,7474.6,193.92,8816.65
117,7501.53,183.22,8750.04
118,7122.2,175.75,8474.19
119,7485.4,193.92,8889.5
120,7148.38,181.5,8513.99
121,7300.08,186.05,8522.69
122,7043.62,185.24,8350.86
123,7078.4,170.37,8532.31
124,7573.42,181.54,8992.49
125,7237.33,158.93,8757.86
126,7191.24,191.35,8106.45
127,6806.19,175.83,8011.78
128,7266.81,167.54,8737.13
129,7170.88,169.1,8587.56
130,6978.92,180.01,8299.66
131,7132.27,170.37,8452.87
132,7141.41,165.98,8746.3
133,7070.93,169.1,8543.8
134,7255.86,165.98,8778.07
135,7341.3,183.22,8379.03
136,6857.3,167.84,8098.31
137,7421.37,185.24,8728.93
138,7781.36,171.61,9464.29
139,7306.49,191.35,8198.74
140,7426.13,181.66,8578.25
141,7376.39,183.22,8471.64
142,7264.02,189.2,8155.7
143,7119.91,176.46,8452.08
144,7153.48,157.61,8649.63
145,7709.28,171.61,9230.96
146,7123.47,168.14,8632.63
147,7418.36,185.24,8855.48
148,7538.17,184.45,9090.87
149,6858.63,167.84,8218.96
150,7543.72,181.66,8859.13
151,7193.9,168.66,8573.43
152,7391.81,183.22,8747.48
153,6785.81,180.01,8057.09
154,7179.14,181.5,8528.39
155,7444.58,183.1,8832.28
156,7350.43,188.82,8877.84
157,7796.7,173.76,9048.44
158,7221.89,165.98,8761.0
159,7155.5,185.24,8672.61
160,6884.67,167.84,8243.79
161,7158.23,186.05,8037.73
162,7163.36,165.98,8434.6
163,7023.16,185.24,8469.74
164,7691.8,177.86,9249.53
165,7218.34,188.82,8320.45
166,6913.76,180.01,8258.1
167,7134.07,160.05,8516.59
168,7044.55,165.98,8394.74
169,7608.85,171.61,8864.12
170,7005.79,185.24,8373.55
171,6949.56,180.01,8291.44
172,7464.09,184.37,8887.62
173,7220.03,167.54,8627.31
174,7468.19,181.54,8829.63
175,7126.69,185.24,8416.29
176,7102.61,165.98,8532.01
177,6809.02,175.83,7997.82
178,7286.92,158.93,8728.02
179,7783.62,171.61,9418.91
180,7147.95,168.14,8644.31
181,7661.42,182.8,9053.85
182,7198.54,165.98,8716.11
183,6993.99,185.24,8287.94
184,7200.77,168.66,8670.32
185,7229.6,188.82,8182.41
186,7590.53,181.54,9128.14
187,6970.55,167.84,8170.1
188,7215.89,169.1,8529.21
189,7165.35,168.66,8623.77
190,7490.06,188.82,9059.26
191,7997.55,171.63,9644.27
192,7480.55,181.54,8948.19
193,7407.71,193.92,8486.8
194,6980.29,185.24,8321.55
195,6918.36,178.15,8194.93
196,7312.55,191.35,8362.79
197,7236.61,192.59,8297.8
198,7061.05,169.1,8520.19
199,7765.78,171.63,8985.29
200,7139.82,179.77,8581.08
201,7128.15,169.1,8664.47
202,7365.84,188.82,8876.71
203,7104.29,164.03,8549.99
204,7059.98,175.75,8441.17
205,7115.85,165.98,8533.24
206,7762.36,171.61,9370.61
207,7462.63,183.22,8859.33
208,7378.02,183.22,8500.2
209,7289.29,165.98,8717.74
210,7753.6,171.63,9049.67
211,7047.06,185.24,8244.14
212,7804.1,171.61,9491.79
213,6847.12,180.77,8074.18
214,7340.99,188.82,8750.16
215,6852.82,167.84,8157.14
216,7101.64,169.1,8640.29
217,7384.75,181.66,8502.54
218,7776.98,171.63,9006.21
219,7106.25,175.75,8524.63
220,7618.93,171.61,8852.5
221,6920.84,167.84,8027.51
222,7306.99,191.35,8382.4
223,6869.24,185.05,7972.17
224,7660.87,178.15,9192.67
225,7127.58,170.37,8385.84
226,7590.56,193.92,9044.44
227,7621.76,178.15,9162.18
228,7382.06,181.54,8679.31
229,7392.98,183.22,8623.2
230,7771.1,171.63,9013.48
231,7176.93,168.66,8707.76
232,7497.04,181.54,9058.7
233,7242.69,165.98,8694.79
234,6895.09,176.46,8233.79
235,7160.65,169.1,8637.66
236,7231.95,181.66,8141.04
237,7689.02,171.63,8936.05
238,7289.88,157.61,8695.48
239,7824.33,171.63,9075.66
240,7617.83,193.92,8958.22
241,7161.84,168.14,8382.59
242,7052.43,185.24,8335.14
243,7785.52,171.63,9049.81
244,7416.61,193.92,8475.33
245,7348.37,183.22,8402.57
246,7419.1,183.22,8552.21
247,6959.9,180.01,8331.06
248,7401.78,184.37,8797.26
249,7338.23,181.54,8422.6
250,7399.36,189.2,8747.0
251,6865.91,167.84,8181.55
252,7472.38,183.22,8654.04
253,6931.18,181.88,8212.9
254,7493.53,181.66,8637.74
255,6964.72,185.05,8378.18
256,7225.26,168.66,8726.39
257,7208.29,167.54,8666.74
258,7317.27,165.98,8705.89
259,7401.53,183.1,8597.34
260,7232.77,192.59,8169.75
261,6941.63,180.01,8238.01
262,7139.95,160.05,8629.58
263,7076.85,165.98,8450.34
264,7010.52,175.75,8493.95
265,7121.33,169.1,8637.66
266,7392.49,184.45,8818.82
267,7037.23,166.4,8449.52
268,6856.42,180.01,8099.44
269,7371.58,188.82,8868.6
270,7229.18,157.61,8747.88
271,7220.52,167.54,8697.76
272,7339.35,191.39,8760.24
273,7343.51,185.05,8716.55
274,7504.71,182.8,8858.98
275,7206.87,179.77,8729.47
276,7043.99,169.1,8510.03
277,7321.82,191.35,8416.65
278,7268.12,186.05,8423.71
279,6752.79,181.57,8020.72
280,7543.49,191.35,8969.24
281,7201.0,168.66,8614.05
282,6787.13,180.01,8035.75
283,7225.71,168.14,8541.96
284,7499.3,191.39,9031.44
285,7087.35,175.75,8431.81
