sid,area,power
0,18375.81,13172.99
1,19417.47,12808.84
2,18488.06,13391.65
3,19469.34,12914.24
4,18225.52,13076.46
5,18012.19,13683.98
6,19937.23,12213.96
7,19098.27,13567.50
8,18921.91,12499.57
9,19828.97,12266.55
10,19195.62,12776.46
11,19269.04,12738.45
12,17712.14,13052.94
13,18124.97,13442.58
14,17550.68,13468.68
15,17727.57,13323.97
16,19585.05,12424.65
17,18373.95,11975.01
18,17810.29,13331.08
19,18867.65,13080.96
20,19278.35,13316.94
21,18740.23,12886.54
22,18007.40,13410.10
23,18181.90,13110.23
24,18921.91,12886.71
25,19909.57,12851.52
26,18655.11,12435.01
27,18965.27,12837.65
28,19202.81,13107.15
29,18567.07,12903.44
30,18006.87,13294.97
31,19019.80,12928.25
32,18216.21,13365.32
33,18453.22,12604.37
34,18624.79,12846.54
35,18535.94,13124.44
36,19173.81,13332.01
37,19312.93,12905.87
38,18036.66,13190.50
39,18081.88,12775.02
40,18327.13,12958.98
41,18027.35,13447.81
42,18532.49,12943.39
43,19425.98,11503.71
44,19065.82,13197.57
45,17024.53,13239.36
46,18031.34,13694.56
47,17516.90,12904.61
48,18974.04,12031.42
49,19548.87,12718.19
50,18092.52,13148.81
51,18801.15,13193.83
52,17961.38,13263.20
53,18826.15,12893.77
54,18086.40,13168.32
55,19138.43,13394.44
56,18791.84,12664.20
57,18763.37,12835.19
58,18125.24,13138.25
59,17313.14,12965.31
60,20039.64,11053.15
61,18679.05,12900.34
62,17937.18,13167.90
63,18622.66,12892.28
64,19014.48,13052.82
65,19740.66,12863.61
66,18531.69,12777.03
67,18812.85,12488.49
68,17718.26,13354.98
69,18279.79,12836.10
70,19602.60,13038.61
71,20053.47,13570.00
72,18892.38,12959.58
73,19085.50,12787.91
74,19612.98,13104.05
75,18057.94,13018.58
76,19203.87,13547.42
77,18044.64,13227.33
78,19584.78,11959.31
79,19229.14,12791.95
80,18045.17,13117.00
81,18804.07,12806.44
82,18425.29,13065.39
83,18114.33,13560.46
84,17392.68,12640.31
85,18984.15,12865.25
86,19299.63,13421.41
87,19399.91,12681.65
88,19170.35,13031.30
89,18596.06,13196.44
90,18281.12,13314.73
91,18233.50,12802.63
92,18649.79,12673.54
93,19460.56,13002.87
94,17690.06,13211.71
95,18884.67,12983.10
96,19668.57,13149.26
97,17566.11,13533.06
98,19300.16,12766.54
99,19709.27,12283.68
100,18741.29,13421.55
101,18214.35,13241.66
102,19052.52,13064.69
103,19774.71,13219.45
104,17577.54,13227.87
105,18930.42,12006.26
106,18389.91,13020.18
107,17998.09,13566.86
108,19214.78,13018.74
109,19054.38,12950.77
110,19297.77,12182.26
111,17588.72,12604.41
112,18093.85,13072.48
113,19458.43,12289.25
114,18640.75,13049.08
115,18598.99,13041.98
116,18606.70,12739.52
117,18951.97,12907.93
118,18800.88,13353.30
119,19458.17,12022.04
120,19567.76,12786.72
121,16975.32,12756.77
122,20099.76,12165.24
123,18385.39,13033.31
124,18803.01,12982.61
125,19084.70,13136.09
126,17219.51,12414.72
127,18030.54,13222.41
128,18473.17,13673.36
129,19251.48,12607.63
130,17978.41,13259.21
131,19063.95,13216.41
132,20053.74,12941.80
133,18642.08,12944.39
134,17650.96,13158.45
135,19014.74,12108.65
136,18408.00,12914.19
137,18424.76,13311.30
138,17531.79,13346.42
139,18199.19,13062.84
140,18170.73,12836.97
141,18327.93,12839.24
142,19349.11,12338.42
143,18378.47,13414.42
144,18169.40,13132.94
145,18100.50,13259.56
146,19435.56,12930.47
147,18305.32,13292.54
148,19064.75,12426.87
149,18015.65,13420.36
150,18871.37,12970.19
151,19293.78,13318.94
152,18595.26,12770.40
153,18410.66,13256.13
154,19764.60,12396.26
155,19050.92,12107.91
156,19513.76,12908.30
157,19239.51,11181.98
158,17897.81,13232.67
159,19347.51,12895.31
160,19637.71,12368.67
161,18809.66,11951.00
162,19366.66,12869.06
163,17420.07,13457.80
164,18778.80,13102.26
165,18245.74,12701.77
166,20023.42,12674.58
167,18048.37,13614.69
168,18286.17,13025.47
169,18155.03,13488.05
170,19954.52,12240.02
171,19470.40,13002.21
172,17987.45,12401.75
173,18850.62,13034.34
174,18894.78,12479.89
175,18529.56,13502.32
176,19815.14,11829.03
177,17303.83,12624.95
178,19512.70,13206.02
179,18681.98,13020.24
180,19998.94,13382.27
181,18426.35,12653.79
182,17516.90,13266.82
183,19140.03,12869.40
184,18917.12,12834.74
185,19370.65,13709.88
186,19059.96,12680.41
187,19047.73,12601.75
188,18219.40,13322.50
189,19107.04,13374.38
190,19288.72,12757.65
191,17930.00,13315.00
192,19359.21,12295.08
193,18694.75,13105.87
194,19342.72,12857.88
195,19134.71,13235.53
196,18486.73,12269.16
197,19279.15,12616.10
198,18326.87,13092.72
199,17698.58,12300.05
200,18614.95,13132.50
201,19328.89,12380.66
202,19599.68,11649.72
203,16871.32,13032.85
204,18872.17,13268.98
205,19881.64,12744.79
206,19001.44,13385.25
207,19045.07,12838.36
208,18301.07,13066.69
209,19260.00,13292.96
210,19149.87,11145.48
211,18619.47,13208.30
212,19881.37,12603.95
213,18655.38,13411.09
214,19206.00,13147.96
215,18401.88,13145.99
216,19331.55,13172.23
217,18014.85,12721.81
218,18197.86,13124.93
219,19927.12,12617.50
220,18849.56,13066.26
221,18542.86,13780.67
222,17702.57,12550.89
223,18221.27,13291.24
224,19357.62,12521.73
225,19053.58,13212.99
226,17975.48,13138.86
227,18268.61,13592.05
228,18885.73,13117.31
229,18794.76,12267.12
230,18729.59,11825.26
231,19636.39,12508.24
232,19016.07,13019.64
233,19555.79,12558.39
234,18494.98,13535.40
235,19623.62,12514.50
236,18233.50,13004.28
237,18143.06,12244.26
238,18645.27,13564.39
239,18193.60,13214.80
240,16947.66,12914.27
241,17852.06,13456.94
242,19580.53,12720.08
243,19353.89,11481.09
244,19328.09,12932.10
245,19275.69,12853.49
246,18381.66,13398.30
247,19240.31,13230.77
248,19081.24,12597.43
249,19254.41,12505.75
250,18618.14,13189.29
