sid,Area,Delay,Power
0,18012.43,444.02,14657.34
1,18956.94,438.78,14345.62
2,18560.76,445.7,15198.35
3,19336.98,446.3,14501.12
4,18264.36,439.77,14912.85
5,17284.32,441.29,14757.34
6,20432.38,450.88,14577.73
7,19329.79,443.6,15610.03
8,19522.98,464.83,14647.6
9,19966.96,453.61,14398.96
10,19754.23,469.09,14562.05
11,18777.36,436.63,14243.87
12,17964.4,455.21,14502.97
13,17565.82,440.63,14665.32
14,17430.98,436.17,14803.63
15,17866.71,437.26,14980.05
16,20631.9,437.28,15197.91
17,19206.31,482.82,14403.15
18,17839.96,438.59,14903.59
19,19070.31,433.67,15212.03
20,19009.2,447.97,14701.93
21,19341.93,437.38,15225.75
22,17271.98,449.11,14208.78
23,17950.32,442.61,14428.49
24,18982.73,448.9,14711.54
25,20178.67,429.91,15517.25
26,18427.56,438.22,14064.59
27,19262.14,440.74,14876.43
28,19639.41,445.78,15073.34
29,18689.55,439.98,14588.5
30,17417.27,439.96,14470.75
31,19834.06,446.41,15233.47
32,17414.06,443.15,14277.3
33,18510.32,465.25,14138.62
34,17643.99,450.65,13824.15
35,17754.31,448.65,14205.6
36,19008.4,446.63,15055.06
37,19020.52,437.27,14473.54
38,17992.92,450.1,14473.13
39,18479.36,438.2,14637.3
40,18563.29,444.53,14749.29
41,18715.57,442.96,15277.68
42,17627.54,443.93,13687.04
43,19423.79,492.26,13875.48
44,18679.16,443.43,14583.79
45,17210.21,455.61,14652.83
46,17878.51,444.19,14665.5
47,17797.5,449.83,14444.04
48,19211.31,453.68,13991.36
49,19562.39,447.56,14813.79
50,17988.61,441.73,14452.09
51,18815.45,446.53,15046.92
52,18123.63,437.03,14952.71
53,19331.81,461.0,14637.64
54,18751.77,464.75,14982.16
55,18822.89,446.72,15015.61
56,18785.97,440.82,14611.78
57,17909.19,441.29,14085.94
58,18050.06,450.22,14454.77
59,18242.66,441.73,15106.66
60,21397.48,485.57,14236.53
61,17891.19,452.29,14249.14
62,17293.33,442.63,14141.68
63,19431.96,435.32,15629.23
64,18824.24,450.29,14712.04
65,19603.53,446.2,14652.96
66,17664.81,446.34,13789.74
67,18830.47,446.46,14216.4
68,16966.73,443.64,14140.59
69,17803.78,455.33,13901.11
70,19493.66,444.8,14875.14
71,19833.37,443.59,15482.93
72,19259.07,446.53,14953.41
73,19553.85,440.84,14767.68
74,19024.51,443.02,14147.77
75,18261.03,437.66,14864.03
76,18847.33,449.38,15100.78
77,17755.91,458.72,14291.77
78,19182.75,454.53,13854.02
79,19458.15,444.58,14787.43
80,18398.15,438.67,15223.44
81,19216.79,435.79,15276.7
82,18341.88,444.38,14617.39
83,17521.81,442.61,14622.47
84,17846.22,476.16,14692.4
85,18622.63,443.3,14537.43
86,19261.9,452.74,14898.53
87,19981.83,438.46,14965.81
88,18737.86,437.79,14889.09
89,18440.59,446.28,14705.64
90,18210.35,442.54,14550.03
91,18244.56,450.42,14434.79
92,18690.12,444.31,14221.74
93,19475.95,448.87,14712.32
94,17298.98,463.08,14044.31
95,19771.48,461.85,15095.81
96,19947.24,448.76,15171.29
97,17768.6,435.25,15218.76
98,19152.62,452.62,14446.13
99,20300.75,465.09,14483.91
100,18202.35,448.06,14478.8
101,18706.69,435.63,14914.39
102,19757.03,436.47,15306.64
103,19208.57,449.64,14558.02
104,17883.61,438.72,14735.75
105,18959.8,443.08,13602.54
106,18049.57,444.57,14557.38
107,18292.73,435.41,15417.49
108,19644.9,447.17,15227.75
109,18316.48,443.39,14254.72
110,19514.84,440.01,14470.85
111,17989.69,459.58,14472.79
112,17603.06,444.54,14094.57
113,20465.29,447.66,14844.84
114,18678.67,433.43,15358.05
115,18557.38,446.46,14416.52
116,18905.51,441.47,14875.36
117,19384.17,436.14,14910.46
118,18344.91,445.78,14484.36
119,20260.4,443.59,14831.29
120,19184.23,447.34,14675.34
121,17402.22,457.58,14268.17
122,20238.05,453.1,14462.66
123,18538.9,451.44,14681.81
124,18899.26,438.24,14753.62
125,19522.39,446.87,15030.81
126,17949.92,452.56,14358.38
127,18410.63,445.64,15147.22
128,18630.75,442.58,15382.31
129,19548.62,457.81,14337.92
130,19145.22,434.8,15735.03
131,18973.19,441.1,14908.61
132,19327.76,435.1,14632.3
133,19810.6,456.8,14999.2
134,18635.49,454.94,15091.7
135,19011.25,453.61,13693.19
136,18784.16,439.79,14987.57
137,18124.13,454.03,14522.33
138,18112.79,435.41,15497.04
139,17510.13,450.87,14176.55
140,18138.82,442.99,14666.15
141,17923.08,452.18,14138.65
142,19825.52,452.19,14755.15
143,18284.76,445.46,14888.25
144,18507.4,442.22,15102.14
145,18189.69,434.3,15000.73
146,19141.67,446.97,14718.52
147,19128.88,452.75,15565.53
148,18848.1,439.52,14233.7
149,17425.52,439.33,14708.73
150,18835.75,437.22,15138.64
151,18603.07,441.5,14376.22
152,18930.92,439.02,15105.96
153,18252.97,438.07,14978.43
154,20178.13,446.05,14679.64
155,20123.12,444.98,14693.74
156,19192.49,436.2,14536.9
157,19264.11,492.12,13625.78
158,18466.93,435.32,15153.71
159,19149.73,432.52,14988.86
160,20298.49,444.95,14891.5
161,19799.79,461.79,14481.37
162,20265.62,464.81,14699.26
163,17312.13,437.33,14706.58
164,19260.5,464.05,14809.3
165,19156.72,452.48,14919.15
166,20168.2,433.78,15109.24
167,17860.28,438.9,15061.36
168,17908.23,446.78,14347.85
169,17678.69,443.75,14622.49
170,20823.89,436.46,15535.9
171,19528.65,450.33,15140.27
172,18336.0,459.61,14377.19
173,18506.02,447.71,14362.97
174,19100.71,438.15,14645.59
175,18312.57,442.35,14997.39
176,20624.17,451.88,14416.84
177,18087.85,451.16,14710.47
178,20336.83,449.38,15349.03
179,19035.69,437.16,15371.13
180,19571.33,447.14,15150.52
181,18511.24,460.08,14318.24
182,17676.9,439.27,14404.42
183,19136.62,435.6,14794.47
184,19400.52,445.44,14834.03
185,18528.03,443.37,14936.62
186,19242.34,445.76,14518.42
187,19592.35,462.82,14607.04
188,17963.29,443.78,14570.28
189,18968.86,442.4,14743.44
190,19388.94,432.47,15351.44
191,17213.08,443.45,14313.25
192,19175.44,447.25,14382.83
193,18747.21,444.89,14669.37
194,19092.83,443.93,14440.18
195,18074.8,447.32,14463.03
196,17943.07,445.03,14070.22
197,19672.06,447.18,14730.61
198,18680.53,436.74,14733.27
199,17648.19,484.09,14190.81
200,19050.07,444.22,15284.73
201,20538.58,457.34,14992.48
202,19150.22,453.06,13593.58
203,17192.1,458.93,14394.81
204,18429.69,445.46,14856.54
205,20301.12,445.46,15471.3
206,18495.78,439.97,14922.78
207,19147.2,435.35,14953.1
208,18937.04,440.84,15402.2
209,19316.41,440.0,14801.16
210,18488.16,492.46,13080.4
211,18902.08,448.36,15293.16
212,21349.5,441.25,15862.45
213,19044.49,462.86,15022.87
214,19001.44,441.63,14960.37
215,17832.8,445.98,14700.59
216,19403.61,442.14,14927.08
217,18020.04,458.85,14191.58
218,18138.25,447.1,14699.69
219,20194.26,451.42,14867.29
220,18777.7,443.16,14626.09
221,17893.51,443.7,15100.19
222,17749.43,443.24,14183.4
223,18939.88,459.38,15144.1
224,20130.4,446.79,15017.99
225,18928.67,444.21,14814.81
226,17776.44,435.77,14661.84
227,18727.31,430.55,15784.03
228,18701.9,438.92,14676.59
229,18389.59,449.99,13819.27
230,18373.27,491.13,13759.0
231,19961.78,454.58,14259.48
232,19271.72,430.15,15357.13
233,19727.45,452.67,14375.86
234,17692.81,449.28,14336.74
235,19716.2,452.96,14341.19
236,17317.54,450.27,14080.48
237,17972.19,480.82,14352.27
238,18176.21,445.73,14844.72
239,17735.17,443.08,14694.13
240,17620.99,446.05,14783.91
241,17740.17,440.02,14830.86
242,19661.11,449.71,14558.58
243,19416.36,492.46,13865.6
244,19845.03,436.47,15329.71
245,18757.77,446.74,14436.73
246,18544.08,434.31,15117.74
247,19611.87,448.73,15407.9
248,19434.5,448.42,14668.56
249,19263.43,450.02,14234.78
250,18030.36,440.6,14426.56
251,18510.2,445.91,14326.37
252,18744.04,429.34,15692.38
253,19133.39,449.86,14720.17
254,19933.67,439.62,15170.01
255,17748.94,444.95,14189.49
256,21236.18,441.74,16021.26
257,20282.11,462.88,14814.93
258,17912.58,446.37,14430.53
259,17928.2,456.25,13994.16
260,18972.29,470.13,13978.56
261,20463.21,454.35,14112.13
262,17416.03,455.04,13756.79
263,18765.76,451.96,14485.61
264,19766.75,456.04,14820.79
265,18047.99,434.7,14631.69
266,18418.37,432.64,15229.34
267,18235.88,442.33,15066.27
268,19819.76,465.08,14670.84
269,18647.49,438.73,14616.01
270,18375.41,450.06,14137.51
271,19557.9,445.24,13964.12
272,18217.29,444.75,14712.58
273,19342.93,447.79,15798.63
274,18012.88,448.89,14335.37
275,18915.35,438.47,14949.27
276,19378.19,445.22,14223.2
277,18289.52,447.81,14336.08
278,18715.94,437.27,15370.83
279,19256.72,454.83,14107.06
280,18938.14,442.26,14045.86
281,19793.02,442.83,14623.73
282,18391.75,447.25,14707.31
283,18323.82,448.22,14954.14
284,19417.08,443.88,13899.45
285,17999.05,459.39,14648.77
286,19966.49,465.53,14966.65
287,17507.24,438.49,14543.59
288,18942.15,465.06,15022.57
289,19532.61,460.52,14755.28
290,19064.49,450.95,14878.38
291,17719.3,435.9,14957.68
292,18960.37,437.73,14485.97
293,19794.68,440.24,15181.68
294,18748.9,469.37,13976.5
295,19678.57,439.97,14588.67
296,17846.71,432.26,14923.01
297,17966.54,449.79,14598.78
298,18226.0,437.4,14626.29
299,20516.02,450.16,15457.23
300,18455.74,447.39,15134.86
301,19073.46,460.76,14538.03
302,20207.57,455.34,15081.62
303,18815.79,489.54,14291.69
304,19725.56,443.3,14658.61
305,18884.81,434.35,14613.02
306,19200.36,468.56,14448.79
307,19421.51,448.32,14804.64
308,19134.99,447.18,14377.57
309,19055.72,452.81,14195.14
310,18031.48,447.31,14697.13
311,17940.36,459.05,14608.1
312,17828.21,433.66,14674.33
313,18326.35,453.82,14833.16
314,19413.49,451.4,14574.16
315,19485.38,455.9,14593.05
316,17652.2,442.01,14870.76
317,19758.17,463.88,15104.46
318,17728.67,437.54,14523.71
319,19157.96,452.05,14682.6
320,18599.02,439.09,14554.17
321,19619.37,454.54,14798.23
322,18734.17,463.56,14897.14
323,19421.98,433.15,15807.8
324,18256.52,450.94,14694.96
325,19303.25,441.26,13947.58
326,18782.75,442.19,14662.42
327,19091.59,444.44,14436.72
328,18350.96,477.98,14497.24
329,19179.64,491.15,13557.24
330,17201.03,442.21,14436.25
331,18907.59,481.7,14444.49
332,18291.94,446.11,14722.86
333,18347.45,438.85,14889.63
334,18333.74,439.51,14192.42
335,18641.05,441.15,15013.31
336,17688.53,436.95,14464.73
337,18501.16,443.5,14731.73
338,19582.77,445.13,15360.22
339,18209.98,441.32,15022.93
340,17622.72,440.94,14742.91
341,20160.49,452.82,14476.92
342,17565.1,446.35,13898.47
343,17837.42,447.23,14423.0
344,18875.38,436.16,14596.03
345,19129.95,435.94,14840.6
346,18522.64,456.28,14810.18
347,18878.98,436.23,15655.63
348,18780.97,444.73,14666.09
349,18476.36,457.2,14083.35
350,18446.48,452.13,14313.71
351,18949.77,452.1,14839.02
352,19232.85,480.87,14215.63
353,19012.16,452.47,14095.81
354,20380.66,432.41,15901.07
355,19397.99,448.76,13977.76
356,18439.01,444.96,14646.58
357,19728.69,440.16,15269.11
358,20197.26,443.76,15404.56
359,19362.97,447.98,14377.11
360,19404.13,447.45,14643.88
361,19117.2,432.18,15623.03
362,18987.52,437.04,15546.0
363,18252.12,455.08,14571.03
364,18941.59,445.66,14952.62
365,18401.04,446.81,14176.49
366,18577.01,442.14,15204.4
367,19690.71,446.84,15210.11
368,18271.62,451.63,14652.24
369,18337.32,454.2,15112.31
370,18345.48,446.91,14285.16
371,19369.3,437.84,15255.63
372,19880.21,441.1,15601.06
373,19095.5,444.08,14466.55
374,18282.8,455.75,14277.1
375,18979.03,440.72,14643.56
376,19678.24,456.18,14479.61
377,18176.32,457.17,14831.71
378,19210.01,452.94,14861.35
379,18371.41,449.26,14691.64
380,18390.38,490.16,13937.15
381,18819.59,441.73,14634.67
382,19987.51,453.48,14302.3
383,17740.5,439.77,14644.8
384,18554.76,457.3,14214.24
385,17608.82,482.28,14105.76
386,17559.51,436.63,14872.99
387,17394.4,436.85,14274.37
388,19192.01,443.9,14372.03
389,19302.64,447.39,14874.6
390,18412.38,469.81,13696.35
391,18368.03,456.62,14511.12
392,18705.18,451.0,13775.54
393,19191.28,435.14,14925.44
394,20086.67,451.89,14783.16
395,19272.06,444.42,15003.6
396,18941.26,445.49,15056.63
397,18741.28,433.12,15383.26
398,18884.2,443.46,14846.99
399,20073.52,453.44,14338.9
400,19369.97,449.67,14907.72
401,19823.47,453.76,14858.3
402,18022.72,440.45,14942.31
403,17524.84,432.87,14874.06
404,18856.0,444.32,15025.44
405,19338.25,451.02,14644.52
406,19462.41,444.56,14556.34
407,19708.74,464.38,15000.38
408,18738.07,452.01,15136.34
409,17571.39,446.47,14453.83
410,19696.04,451.06,15145.2
411,18376.55,444.5,14804.79
412,18068.13,442.83,14575.04
413,17892.84,446.86,14571.88
414,17758.9,445.11,14311.89
415,17507.36,436.08,14366.75
416,18747.84,429.97,15393.04
417,18091.45,441.95,15060.22
418,18389.36,446.56,14433.08
419,18596.9,446.14,14801.09
420,19233.33,454.76,15282.69
421,18931.42,466.88,14333.36
422,18293.83,440.53,14821.53
423,18853.75,447.49,14726.62
424,18451.89,489.6,14411.74
425,18501.01,457.25,14813.83
426,19092.84,459.61,14193.77
427,17537.96,442.2,14404.5
428,20932.76,494.18,13390.77
429,17904.23,445.88,14628.06
430,19262.39,443.16,15596.97
431,19389.72,458.93,14214.58
432,18465.77,445.38,14549.27
433,17165.79,448.12,14120.25
434,19029.33,446.46,14847.22
435,17491.67,442.04,14533.48
436,18162.85,435.3,15197.26
437,17285.1,449.38,14223.77
438,18748.3,447.19,14997.02
439,18609.63,434.35,14340.62
440,19005.29,442.7,14316.25
441,20885.02,449.16,15051.6
442,19103.38,439.71,14023.89
443,17218.76,437.67,14574.41
444,18281.49,443.51,14640.12
445,18947.56,458.8,14978.91
446,19222.32,451.63,13662.61
447,17782.59,436.76,14861.61
448,19578.19,441.65,15040.35
449,17547.1,440.93,14474.2
450,17622.82,440.4,14268.59
451,18822.72,467.28,14403.51
452,19404.55,448.51,14752.86
453,18889.2,447.48,14583.37
454,20450.88,439.95,15206.41
455,18600.57,472.03,14300.64
456,18562.56,451.18,14841.82
457,18680.02,449.95,14588.64
458,18211.72,461.93,13897.98
459,19255.0,441.1,14953.72
460,19397.38,436.25,14952.18
461,18380.42,438.54,14709.98
462,18467.11,447.42,14944.86
463,18704.88,446.34,14526.61
464,18145.39,450.98,14467.81
465,19146.26,438.5,14659.48
466,18185.56,437.35,14775.81
467,19679.5,442.37,15619.86
468,18723.36,438.97,14999.64
469,18535.9,439.2,14688.71
470,18867.42,451.76,14099.08
471,18445.16,440.28,14420.36
472,18160.04,441.72,14199.16
473,17384.1,473.91,14173.0
474,17745.19,444.15,14529.82
475,18271.68,478.1,14282.11
476,18273.07,461.49,14573.48
477,19532.18,438.42,15048.01
478,18072.4,449.38,14172.46
479,18055.49,440.6,14308.88
480,18084.19,433.74,14892.95
481,18600.58,454.57,13859.01
482,18840.89,444.48,14858.61
483,19321.39,435.59,14774.24
484,19228.9,469.41,14571.05
485,19656.43,463.45,14440.95
486,18909.62,439.55,15010.61
487,19088.38,436.23,14702.43
488,19570.04,443.95,15476.57
489,18314.1,445.65,14498.81
490,19346.95,445.06,14728.91
491,17859.6,434.67,14391.75
492,18745.74,449.3,14259.39
493,18267.64,443.58,14174.01
494,19062.31,440.98,14690.85
495,20437.72,436.71,15368.17
496,18537.97,442.13,15312.76
497,17722.93,444.84,14891.51
498,19013.75,446.04,14734.89
499,19330.86,443.4,14711.16
