sid,Area,Delay,Power
0,3540.2,523.27,3397.96
1,3431.67,524.01,3324.09
2,3525.06,524.58,3391.73
3,3453.14,526.5,3332.84
4,3618.83,522.6,3392.03
5,3465.56,524.01,3344.46
6,3453.54,525.25,3344.61
7,3463.97,525.98,3330.65
8,3492.68,524.93,3338.61
9,3609.3,522.6,3439.81
10,3589.02,524.87,3406.74
11,3492.02,524.01,3364.02
12,3381.88,526.68,3318.15
13,3592.7,523.34,3407.91
14,3430.82,524.01,3299.68
15,3551.12,526.5,3425.64
16,3445.14,524.6,3305.86
17,3619.55,522.72,3439.11
18,3738.89,521.5,3456.02
19,3505.67,523.27,3336.1
20,3438.78,525.19,3327.08
21,3578.53,523.34,3412.89
22,3484.59,523.27,3327.64
23,3486.31,523.27,3324.01
24,3511.92,524.58,3348.08
25,3438.9,524.01,3328.61
26,3490.29,523.27,3358.57
27,3559.22,524.91,3362.66
28,3411.48,526.5,3319.1
29,3451.74,525.08,3356.86
30,3404.93,524.01,3311.23
31,3514.05,524.35,3346.3
32,3527.0,524.72,3391.08
33,3489.95,525.68,3381.21
34,3463.55,524.01,3344.36
35,3478.32,525.46,3349.62
36,3467.34,526.5,3367.3
37,3485.19,524.01,3341.35
38,3409.34,525.63,3313.29
39,3686.93,522.72,3464.02
40,3553.72,524.96,3420.42
41,3552.52,524.72,3374.61
42,3493.87,523.27,3332.34
43,3591.29,522.72,3372.21
44,3568.3,524.72,3425.11
45,3477.03,524.58,3355.7
46,3446.14,526.12,3317.38
47,3491.76,525.35,3340.63
48,3623.97,523.34,3400.93
49,3434.31,526.35,3337.31
50,3538.11,523.27,3385.14
51,3369.33,526.49,3301.84
52,3689.42,522.75,3458.02
53,3590.5,524.34,3394.11
54,3529.9,524.58,3385.86
55,3341.15,526.35,3253.81
56,3522.88,524.01,3339.52
57,3499.54,523.76,3334.42
58,3420.05,524.01,3314.09
59,3561.82,524.58,3375.74
60,3579.86,522.6,3412.23
61,3469.48,525.87,3327.63
62,3438.04,524.01,3324.81
63,3498.33,523.27,3319.86
64,3416.24,524.01,3283.49
65,3576.5,523.89,3414.61
66,3521.18,523.27,3379.49
67,3489.84,524.01,3333.2
68,3507.96,523.27,3367.8
69,3572.33,524.35,3382.07
70,3447.43,526.39,3328.18
71,3544.97,523.34,3398.55
72,3461.29,526.72,3387.99
73,3621.91,523.52,3429.2
74,3444.38,526.35,3320.1
75,3645.11,523.74,3443.26
76,3469.23,524.83,3366.64
77,3419.41,526.35,3308.27
78,3548.1,522.61,3409.28
79,3470.09,525.25,3340.79
80,3327.9,526.35,3284.89
81,3504.21,524.6,3360.85
82,3575.63,522.72,3382.88
83,3601.17,523.34,3389.03
84,3549.74,523.34,3385.88
85,3447.95,524.01,3345.46
86,3346.79,526.0,3293.19
87,3638.19,522.38,3450.18
88,3547.24,523.27,3358.91
89,3429.3,524.01,3318.41
90,3441.46,524.01,3310.15
91,3598.9,524.25,3405.09
92,3602.39,523.26,3418.49
93,3435.63,526.35,3329.84
94,3560.41,524.58,3377.94
95,3547.93,525.58,3397.98
96,3466.84,525.45,3362.78
97,3465.52,525.33,3308.25
98,3502.08,526.09,3351.28
99,3472.16,526.68,3330.75
100,3498.3,523.27,3323.18
101,3412.0,524.01,3274.07
102,3370.23,530.86,3301.68
103,3522.67,524.95,3361.03
104,3492.16,524.01,3337.03
105,3503.9,523.56,3347.59
106,3501.01,524.01,3336.84
107,3479.7,524.01,3347.48
108,3446.14,526.05,3323.19
109,3512.44,524.01,3332.1
110,3520.86,523.27,3342.05
111,3607.41,523.52,3450.42
112,3460.0,524.01,3303.96
113,3537.82,523.95,3387.52
114,3533.84,522.6,3382.25
115,3481.01,524.6,3320.97
116,3493.9,526.5,3342.71
117,3452.92,524.01,3309.55
118,3431.64,525.91,3317.65
119,3493.25,525.47,3347.64
120,3479.27,525.66,3357.36
121,3546.11,525.68,3369.32
122,3471.0,525.58,3363.28
123,3432.75,525.58,3315.75
124,3620.37,522.02,3433.25
125,3496.12,526.35,3366.08
126,3571.46,523.34,3375.65
127,3535.47,525.58,3376.58
128,3467.67,525.25,3317.16
129,3453.72,526.35,3330.75
130,3535.08,524.88,3386.33
131,3490.56,525.85,3352.51
132,3432.45,523.56,3289.95
133,3520.44,525.58,3369.56
134,3520.99,525.58,3358.94
135,3581.54,522.72,3373.43
136,3489.41,523.27,3357.61
137,3336.42,525.25,3278.07
138,3456.27,523.56,3342.74
139,3602.09,523.34,3375.35
140,3491.11,524.01,3328.41
141,3592.69,523.01,3383.34
142,3543.06,523.34,3389.12
143,3354.99,526.39,3311.44
144,3482.5,523.27,3323.24
145,3596.38,524.68,3451.92
146,3457.8,524.01,3347.9
147,3501.24,526.21,3403.21
148,3485.79,524.01,3362.55
149,3486.55,523.56,3361.09
150,3454.65,524.01,3303.19
151,3515.79,525.58,3356.97
152,3489.73,526.22,3366.04
153,3544.73,523.4,3393.1
154,3545.71,524.62,3394.19
155,3513.75,525.1,3383.8
156,3479.72,524.01,3364.39
157,3642.06,522.72,3405.86
158,3492.08,524.01,3326.24
159,3459.59,524.01,3347.91
160,3479.03,523.27,3356.55
161,3484.49,524.86,3321.81
162,3468.63,525.58,3336.53
163,3384.49,526.08,3304.85
164,3515.57,526.05,3400.07
165,3500.62,525.91,3404.04
166,3420.55,523.71,3322.55
167,3406.42,524.01,3288.4
168,3486.92,523.27,3323.66
169,3597.77,522.72,3419.16
170,3420.95,523.89,3320.76
171,3554.27,524.91,3399.45
172,3540.14,524.25,3393.99
173,3491.94,526.22,3331.03
174,3622.55,523.34,3417.87
175,3441.56,526.39,3343.3
176,3526.1,523.27,3358.52
177,3421.66,526.35,3348.35
178,3461.64,525.66,3315.46
179,3539.42,523.27,3403.43
180,3450.98,524.01,3338.64
181,3471.31,526.09,3360.87
182,3442.88,523.71,3297.89
183,3452.95,524.01,3330.29
184,3456.97,524.58,3324.97
185,3625.42,522.6,3435.59
186,3511.62,524.92,3378.78
187,3379.28,526.35,3319.82
188,3448.51,526.46,3327.67
189,3447.62,525.54,3324.26
190,3501.19,524.01,3359.85
191,3528.89,523.27,3344.51
192,3501.77,523.56,3372.58
193,3596.86,524.68,3401.98
194,3454.37,524.01,3333.22
195,3470.56,524.01,3352.05
196,3487.93,524.01,3310.03
197,3580.82,524.58,3432.83
198,3448.95,524.6,3303.06
199,3593.96,522.6,3395.91
200,3485.46,524.95,3374.72
201,3502.77,525.69,3369.15
202,3535.51,523.27,3401.28
203,3553.29,524.72,3381.6
204,3455.58,525.91,3346.41
205,3485.4,523.27,3329.66
206,3522.53,523.27,3383.11
207,3578.74,524.96,3382.25
208,3436.29,525.47,3301.06
209,3427.28,525.33,3308.08
210,3483.98,523.27,3327.37
211,3503.26,525.25,3388.89
212,3503.85,523.27,3377.76
213,3560.39,524.8,3381.56
