sid,area,power
0,12872.27,15229.16
1,11007.61,12317.73
2,11423.64,12707.14
3,11615.95,12891.29
4,12997.29,15367.20
5,11075.97,12397.43
6,11244.35,12486.49
7,13131.09,15495.50
8,11330.00,12678.91
9,11116.67,12372.92
10,11570.47,12781.25
11,12892.49,15268.58
12,10981.28,12223.09
13,12776.78,15091.76
14,11139.55,12492.92
15,12929.99,15288.66
16,11053.10,12394.70
17,12978.67,15338.03
18,11273.61,12284.72
19,11285.32,12399.60
20,11301.28,12533.23
21,12835.03,15095.96
22,11028.63,12410.05
23,11075.18,12437.96
24,11298.08,12674.28
25,10996.97,12312.51
26,12930.79,15281.19
27,13041.18,15409.16
28,11456.35,12750.87
29,12941.96,15320.94
30,11275.47,12598.66
31,11297.55,12585.83
32,12734.22,14982.31
33,10968.24,12302.09
34,11295.42,12606.27
35,11685.38,12760.07
36,11776.35,12917.61
37,11124.65,12483.80
38,11166.41,12513.99
39,12861.63,15270.96
40,11032.62,12264.56
41,11343.84,12654.45
42,11112.95,12523.20
43,11430.29,12593.65
44,13069.91,15400.71
45,10936.59,12277.76
46,11263.24,12546.12
47,13025.22,15211.43
48,11222.27,12256.65
49,11244.88,12488.65
50,12746.19,15114.12
51,11416.99,12674.88
52,12719.85,15046.97
53,11577.38,12763.03
54,11098.85,12348.45
55,11214.56,12513.40
56,11441.72,12430.48
57,11136.62,12460.89
58,11358.47,12650.97
59,12920.68,15172.92
60,12701.77,14878.78
61,11236.90,12579.76
62,11260.84,12605.19
63,13160.88,15308.20
64,11102.04,12438.44
65,11381.34,12634.55
66,11244.09,12599.79
67,13049.96,15228.13
68,11262.44,12600.53
69,12906.05,15155.17
70,11789.92,12920.20
71,11153.91,12450.17
72,11393.05,12665.19
73,12770.93,15048.87
74,11293.83,12553.74
75,12860.04,15213.37
76,11310.85,12623.34
77,11150.19,12493.53
78,12654.42,14884.03
79,11698.68,12831.85
80,11656.12,12738.84
81,11352.88,12434.21
82,11199.93,12314.15
83,13157.42,15484.67
84,12352.77,14304.85
85,13081.88,15483.15
86,11282.66,12528.86
87,11218.82,12473.87
88,13134.55,15286.16
89,11093.80,12465.33
90,11007.88,12419.22
91,12833.70,15164.28
92,11273.61,12596.90
93,11425.76,12709.14
94,11193.01,12572.09
95,11099.38,12304.34
96,11203.39,12512.40
97,12921.48,15273.27
98,11283.72,12645.27
99,11525.51,12716.57
100,11178.12,12475.66
101,11202.06,12517.10
102,12727.83,15037.70
103,11104.97,12415.96
104,11175.72,12564.04
105,13172.05,15390.34
106,11306.33,12252.35
107,11416.72,12739.26
108,11083.16,12386.90
109,11405.81,12471.10
110,13292.02,15494.81
111,12883.98,15108.23
112,11147.53,12525.03
113,11536.15,12788.56
114,12549.08,14956.85
115,11142.74,12469.13
116,13023.09,15202.40
117,12938.51,15079.23
118,11249.41,12544.17
119,12900.47,15015.17
120,11167.48,12483.01
121,13030.28,15181.93
122,11189.56,12390.01
123,11187.69,12567.78
124,12793.80,15229.76
125,11554.77,12715.31
126,11241.43,12295.14
127,11768.64,12838.28
128,11309.79,12641.95
129,11639.89,12808.21
130,11688.31,12822.23
131,11135.82,12472.48
132,11043.52,12406.33
133,11229.99,12536.60
134,11588.82,12792.25
135,12656.55,14524.58
136,11194.08,12495.77
137,11781.67,13010.83
138,12846.47,15119.77
139,11231.58,12187.63
140,13046.77,15360.72
141,12969.36,15311.66
142,11064.27,12393.96
143,11382.67,12730.39
144,11103.64,12474.80
145,12761.08,15164.71
146,11303.14,12678.41
147,11311.38,12579.13
148,13045.70,15340.98
149,11255.79,12608.78
150,13258.50,15648.11
151,11267.49,12484.28
152,13106.09,15456.64
153,11214.03,12575.39
154,11160.30,12491.28
155,12794.60,15115.43
156,12977.08,15385.83
157,11419.38,12607.76
158,11188.49,12460.31
159,11119.86,12490.18
160,11241.16,12574.04
161,11166.68,12122.77
162,11677.40,12825.04
163,11347.56,12633.66
164,11323.09,12626.40
165,11035.01,12296.08
166,11131.04,12428.33
167,11172.00,12538.39
168,11056.56,12371.35
169,10937.12,12241.24
170,10997.50,12290.51
171,11355.01,12615.15
172,12833.17,15180.32
173,11553.18,12686.71
174,12792.74,15222.62
175,11287.44,12519.62
176,11101.51,12481.21
177,11290.90,12553.65
178,11689.64,12839.86
179,12709.48,14874.51
180,11393.05,12756.13
181,11273.88,12606.40
182,11155.24,12441.36
183,11187.16,12483.41
184,11316.97,12631.80
185,11029.42,12214.36
186,12848.07,15277.53
187,11367.24,12664.43
188,11282.39,12601.00
189,11206.31,12568.41
190,13055.28,15430.82
191,13165.14,15322.10
192,12861.10,15160.48
193,11231.32,12181.78
194,11064.54,12388.84
195,11279.46,12619.13
196,11386.93,12401.68
197,11181.04,12351.60
198,11095.39,12407.51
199,11335.32,12436.00
200,11491.73,12765.30
201,11578.18,12744.90
202,12942.23,15275.67
203,11147.00,12535.12
204,11109.49,12433.86
205,11033.15,12375.06
206,12865.36,15249.09
207,13081.35,15428.03
208,13151.84,15416.94
209,11135.03,12395.56
210,11559.03,12658.53
211,11147.26,12482.30
212,12613.19,14781.99
213,11260.05,12521.52
214,12690.59,15066.94
215,11244.88,12599.63
216,11246.48,12585.36
217,12678.09,14871.40
218,11335.59,12304.96
219,11166.15,12472.60
220,11172.00,12442.25
221,11317.77,12577.62
222,11385.33,12446.18
223,11246.75,12508.71
224,11930.90,13022.91
225,11457.42,12666.04
226,12986.39,15195.92
227,11725.01,12903.74
228,11295.16,12650.48
229,13145.99,15515.93
230,11423.10,12610.51
231,11266.96,12573.94
232,13047.03,15508.02
233,11544.40,12729.51
234,11241.69,12573.20
235,11636.17,12823.90
236,11299.68,12308.74
237,11451.03,12596.23
238,11381.87,12621.52
239,11158.97,12218.87
240,12844.08,15011.02
241,11369.64,12697.24
242,11359.00,12584.20
243,11496.25,12681.75
