sid,Area,Delay,Power
0,11350.52,506.67,12885.99
1,10921.55,514.13,12267.47
2,11080.48,520.86,12578.68
3,11324.41,510.35,12789.97
4,11194.77,520.23,12614.25
5,11047.75,513.58,12581.17
6,10964.46,508.1,12494.53
7,11198.69,521.55,12663.96
8,11250.78,517.58,12764.44
9,11092.61,503.64,12534.88
10,10894.69,511.67,12334.37
11,11017.35,499.33,12564.09
12,11280.61,517.79,12877.92
13,10929.05,514.9,12298.74
14,11093.86,506.24,12654.34
15,11048.7,511.1,12544.55
16,10882.01,491.74,12441.96
17,11638.89,514.16,13014.51
18,11149.3,519.48,12432.5
19,11232.68,493.69,12840.59
20,11335.57,496.53,12868.37
21,11434.91,487.37,13039.62
22,10979.76,527.03,12503.16
23,11057.92,511.33,12556.5
24,11323.82,504.24,12838.03
25,11177.19,491.95,12573.73
26,11081.72,492.44,12617.5
27,11254.58,501.33,12723.72
28,11161.64,502.92,12675.15
29,10889.29,512.74,12257.17
30,10944.66,519.27,12289.02
31,11158.19,501.04,12638.16
32,11140.77,520.09,12558.33
33,11231.93,517.65,12828.25
34,11348.36,509.4,12792.6
35,11319.42,518.87,12789.84
36,10933.64,523.14,12272.31
37,10797.98,508.74,12267.85
38,11027.01,514.25,12548.82
39,10906.79,507.89,12291.84
40,11161.03,509.83,12631.31
41,11118.04,522.38,12593.66
42,11049.85,515.84,12562.2
43,11613.37,499.95,12891.01
44,11480.97,521.92,12717.51
45,11103.12,528.55,12654.7
46,11185.31,509.88,12690.72
47,11084.54,509.57,12396.92
48,11173.53,489.62,12485.29
49,10913.17,504.32,12347.12
50,11041.68,520.14,12560.61
51,10790.73,516.33,12271.32
52,11214.98,522.96,12752.76
53,10792.07,518.79,12156.65
54,10987.5,531.22,12484.33
55,11295.01,516.63,12802.46
56,11051.11,507.47,12589.39
57,11142.02,487.52,12678.09
58,11353.93,508.74,12836.97
59,11064.84,530.68,12374.16
60,11587.87,502.43,12966.97
61,11215.4,512.84,12726.58
62,11254.33,512.56,12798.68
63,11159.87,492.5,12731.67
64,11109.86,497.49,12673.55
65,10950.93,498.21,12389.58
66,11406.97,484.89,12970.58
67,11281.65,500.98,12825.53
68,11259.7,507.84,12724.25
69,11088.47,517.15,12471.86
70,11295.32,502.24,12765.05
71,11033.55,514.9,12473.75
72,10929.64,504.43,12447.62
73,11327.49,498.58,12897.7
74,10995.45,515.75,12446.98
75,10890.74,509.56,12376.36
76,11380.16,516.28,12913.35
77,11089.55,537.45,12586.71
78,11050.08,503.76,12458.49
79,11278.39,505.18,12753.13
80,11067.53,514.81,12452.08
81,11414.06,504.1,13052.62
82,11299.42,497.57,12766.97
83,11144.09,498.95,12582.2
84,10920.2,530.86,12375.17
85,11748.44,505.37,13259.84
86,11247.94,521.67,12753.38
87,11027.61,512.79,12453.64
88,10938.97,505.11,12478.91
89,11313.62,500.35,12797.64
90,10814.78,514.55,12335.89
91,11115.68,515.2,12451.56
92,11803.78,488.65,13190.83
93,11146.8,508.22,12681.23
94,11252.22,514.59,12769.14
95,10971.88,517.49,12394.59
96,11113.64,517.48,12579.51
97,10937.92,520.7,12173.29
98,11260.63,502.24,12755.28
99,10890.61,511.78,12277.78
100,10824.24,529.86,12324.27
101,10730.84,514.01,12209.36
102,11113.62,526.29,12546.04
103,11091.39,493.77,12575.44
104,11125.18,505.69,12654.6
105,11091.99,503.48,12631.35
106,11045.2,511.29,12564.78
107,11477.45,502.95,12927.82
108,11140.1,511.75,12542.85
109,11104.47,495.33,12706.8
110,11460.71,483.49,13040.0
111,11163.37,506.57,12634.96
112,11107.46,513.44,12661.66
113,10933.38,498.3,12414.15
114,11104.24,513.06,12629.82
115,10936.11,497.83,12464.05
116,11182.96,507.17,12631.72
117,10891.99,512.45,12441.09
118,11295.53,510.42,12807.62
119,11234.23,507.17,12760.39
120,11034.06,513.46,12524.02
121,11237.02,515.03,12593.64
122,10889.15,509.2,12384.37
123,11205.04,511.82,12712.78
124,11320.69,486.2,12768.54
125,11055.02,530.0,12431.3
126,11192.38,506.35,12488.19
127,11009.78,541.05,12293.13
128,11469.59,526.88,12909.97
129,10995.2,519.75,12415.8
130,11118.98,511.85,12522.84
131,11126.55,505.22,12555.38
132,10923.79,496.22,12486.97
133,10900.14,523.45,12390.07
134,10885.71,532.17,12296.48
135,10989.92,504.07,12274.45
136,11279.96,514.42,12758.29
137,11166.02,504.14,12602.52
138,11319.54,508.02,12941.66
139,11146.67,499.49,12430.51
140,11319.2,505.72,12928.11
141,11156.04,507.9,12748.62
142,11358.99,508.17,12917.64
143,11168.47,521.34,12555.41
144,11059.93,509.36,12552.47
145,11072.3,519.6,12481.83
146,11259.26,517.56,12689.75
147,11208.38,521.29,12713.65
148,11236.95,503.37,12784.95
149,11230.03,498.43,12688.74
150,11203.01,510.56,12806.1
151,11034.93,513.57,12468.37
152,11179.21,506.83,12671.15
153,10965.27,521.02,12342.4
154,11084.0,499.96,12546.32
155,11111.85,510.82,12632.61
156,11183.72,492.07,12697.42
157,11588.44,498.51,12902.33
158,10890.29,498.63,12430.64
159,11087.67,489.33,12548.98
160,11335.72,503.99,12751.26
161,11194.23,506.25,12599.44
162,11076.53,511.71,12533.15
163,11040.53,518.87,12417.11
164,11556.95,514.35,13031.14
165,11188.09,521.34,12757.55
166,11171.64,487.1,12597.87
