sid,Area,Delay,Power
0,40980.48,504.54,43018.67
1,38691.37,482.74,44949.82
2,41009.69,483.07,47037.73
3,38759.61,477.36,41578.05
4,41120.16,525.88,42945.2
5,41008.98,483.34,46929.66
6,40845.7,496.58,46932.53
7,40925.43,515.79,42869.42
8,41038.11,509.78,47211.98
9,41189.61,481.81,47062.96
10,40835.2,507.96,43548.93
11,40986.83,485.73,42863.96
12,40998.5,492.37,46908.25
13,40950.2,492.35,42724.23
14,40857.56,482.6,46885.64
15,40939.02,483.2,42744.6
16,38638.67,497.82,44791.7
17,41191.19,485.95,42997.88
18,41000.06,505.87,46602.59
19,40939.26,489.71,46819.48
20,38951.14,491.21,44858.71
21,40954.06,515.99,42870.64
22,40953.13,500.18,46989.53
23,40885.67,493.7,47094.93
24,41092.37,497.26,46873.29
25,40857.06,505.2,46825.14
26,40942.37,485.73,42907.73
27,40979.5,498.39,42850.62
28,38779.48,493.35,41417.02
29,40937.42,491.22,42641.68
30,38810.0,477.73,44873.57
31,40926.86,487.78,43372.05
32,40929.24,501.08,42678.77
33,40977.61,507.26,43214.0
34,40922.25,481.86,46954.61
35,40894.86,496.47,46593.69
36,40876.54,484.49,43440.1
37,40876.35,486.28,43358.52
38,40750.07,518.62,46740.61
39,40939.88,489.75,42723.07
40,41068.8,487.93,43463.86
41,38969.98,482.56,41395.34
42,41038.62,480.64,47034.63
43,41173.28,523.71,47048.13
44,40910.13,482.37,42715.11
45,40951.2,528.9,43412.15
46,40875.15,524.74,43256.02
47,40969.39,508.31,42617.51
48,41126.9,482.76,46645.87
49,40908.07,511.2,46858.07
50,40858.46,496.33,42703.89
51,40847.26,503.28,46918.15
52,41028.35,492.76,42943.79
53,40876.76,505.94,43019.11
54,40900.81,531.91,46716.88
55,40712.89,507.01,43054.72
56,40953.05,479.72,47115.72
57,38749.07,489.37,44889.34
58,40923.91,489.29,46858.79
59,41001.13,514.07,42633.95
60,41248.98,489.8,43073.14
61,41033.4,485.04,47069.96
62,41005.76,483.07,46945.92
63,40965.58,487.39,42840.52
64,40972.76,498.93,47012.9
65,39076.37,510.06,41212.18
66,40984.15,477.2,47025.69
67,40840.42,496.57,42938.5
68,40983.71,496.4,47063.2
69,41027.38,487.54,42780.93
70,38861.12,494.03,41433.43
71,41122.72,484.62,47001.54
72,38758.03,484.49,41512.75
73,41091.15,492.65,42887.04
74,38946.41,500.12,44980.58
75,41001.01,481.99,42907.36
76,40931.27,494.62,43351.33
77,41037.38,493.34,43501.93
78,41072.31,507.69,42874.78
79,38594.41,488.65,44611.56
80,40921.76,491.12,46649.66
81,38801.63,490.16,44913.72
82,41069.21,473.0,47007.02
83,40956.88,497.21,42880.69
84,41365.67,506.02,43203.26
85,40820.09,487.62,42783.54
86,40917.01,513.45,46872.04
87,40923.13,488.48,46714.48
88,40890.67,487.36,42931.22
89,41032.0,483.98,46891.97
90,40775.72,479.74,47009.3
91,40908.45,507.29,42591.44
92,40931.83,495.11,46819.47
93,41012.47,494.85,46997.85
94,41084.05,502.26,43609.23
95,41031.21,500.92,46561.61
96,38741.75,474.9,41434.66
97,40922.11,493.25,42664.74
98,41053.29,493.49,47038.99
99,38698.98,512.2,44868.52
100,40870.73,506.33,46823.09
101,40864.19,482.87,46863.18
102,40925.87,496.79,42640.14
103,40992.11,477.03,47166.91
104,40945.98,469.66,46883.68
105,40867.09,490.45,42815.17
106,40984.67,483.76,46864.84
107,40838.22,487.88,46832.05
108,41062.89,488.92,43534.35
109,40958.23,476.94,46801.72
110,40907.02,506.35,42859.84
111,41103.67,491.55,42831.47
112,40951.67,487.28,46973.96
113,40965.01,487.19,46707.11
114,40990.2,497.84,42866.25
115,40867.91,489.75,47061.08
116,40999.41,506.93,42921.69
117,40845.21,487.41,42894.33
118,41015.36,474.79,43520.79
119,40992.32,493.59,42861.98
120,41029.59,487.95,46963.55
121,41042.81,494.21,42891.8
122,40954.44,489.39,46814.92
123,40960.51,481.56,47044.73
124,41079.66,481.8,42951.59
125,40862.67,516.98,46393.98
126,41079.29,500.6,43042.23
127,40929.19,523.23,46572.25
128,41032.61,485.27,43412.18
129,38755.4,496.89,44827.42
130,41003.24,509.15,46622.82
131,39062.27,497.82,44657.35
132,38828.52,474.58,44859.01
133,38706.05,504.23,41271.95
134,40906.41,496.77,46821.57
135,41109.49,489.75,42913.05
136,40932.67,478.02,47028.82
137,40845.3,481.2,43472.82
138,40977.02,481.06,42844.2
139,41113.76,489.66,46843.59
140,40846.37,502.33,42843.33
141,40887.75,508.68,42908.6
142,41090.47,504.19,46781.02
143,40951.92,507.65,43353.81
144,40981.75,487.37,47099.32
145,41016.42,482.37,42765.56
146,40897.41,524.64,46944.17
147,40926.11,506.15,43448.62
148,40884.4,510.1,42833.76
149,41043.04,462.58,47099.9
150,40956.72,497.37,42808.73
151,40873.21,488.04,46759.42
152,40974.57,489.79,42841.7
153,40756.31,492.59,47026.87
154,41034.81,492.06,46724.62
155,40989.63,489.79,42750.84
156,40954.26,489.57,42885.26
157,41134.81,506.43,47037.7
158,38816.32,503.37,44858.12
159,38756.4,482.56,44881.14
160,41048.02,482.02,47297.33
161,41086.19,511.57,43404.12
162,40996.87,510.19,43310.26
163,38689.12,477.31,45027.93
164,41017.27,511.54,46951.18
165,41045.88,500.66,43228.23
166,38685.77,507.06,44999.81
167,40915.24,469.64,46987.58
168,40821.58,485.88,46953.55
169,40955.53,487.65,46546.82
170,40944.4,482.52,46880.73
171,40805.41,493.67,46917.67
172,41025.52,511.57,42666.52
173,40888.09,493.85,46961.18
174,41099.54,495.11,42881.65
175,40914.01,479.53,46802.06
176,41072.45,480.37,47269.41
177,40990.43,500.41,46825.59
178,40861.39,501.58,46898.18
179,40975.25,504.96,42998.05
180,41027.11,479.43,46995.22
181,41029.34,502.91,43561.62
182,40978.81,468.26,47179.78
183,40850.37,488.72,47028.9
184,40902.18,482.5,46810.97
185,41120.68,504.76,47000.86
186,40973.54,500.61,42602.77
187,40978.25,499.55,43621.54
188,39002.61,495.51,41514.89
189,40972.19,480.2,43667.47
190,40929.43,483.7,42857.16
191,40888.5,489.63,42980.59
192,40893.82,487.74,42885.41
193,40967.75,497.0,46486.66
194,38818.47,483.06,44970.59
195,41002.51,485.66,47024.4
196,41038.79,492.22,46888.66
197,40982.8,487.13,43224.59
198,38721.2,484.93,44854.42
199,41223.29,501.41,47147.05
200,38754.41,496.78,41615.74
201,40899.79,499.42,46751.48
202,41010.17,488.65,42824.66
203,41038.44,491.2,46934.75
204,40986.03,494.67,43534.36
205,41001.37,489.29,47211.7
206,40898.05,478.18,42989.96
207,40978.75,489.79,42742.64
208,40973.74,499.14,42913.21
209,40878.45,473.41,46863.79
210,41130.64,506.52,47186.98
211,40833.7,499.84,46849.51
212,40972.84,486.31,42795.62
213,40890.46,497.93,43490.08
214,40980.01,484.93,42819.77
215,40977.57,476.05,47262.79
216,40873.65,495.23,46972.76
217,41042.02,504.4,42829.55
218,41060.98,482.13,46919.53
219,40901.74,508.87,43100.97
220,41108.13,478.64,46716.77
221,41056.03,468.85,47056.01
222,41067.56,489.9,46910.13
223,40929.13,516.35,43549.05
224,38786.06,498.11,41655.4
225,40946.88,481.25,46637.69
226,40955.91,487.94,42627.77
227,40885.38,481.8,46906.06
228,40986.56,491.21,46902.31
229,40981.15,484.94,42923.84
230,41234.53,486.64,47114.39
231,40844.78,514.29,43280.87
232,40903.06,483.14,42763.8
233,40973.67,515.94,46565.27
234,40972.94,495.65,47035.47
235,40865.19,487.1,46857.69
236,40849.94,465.46,46815.75
237,41214.68,486.64,47124.62
238,40948.88,521.61,46684.05
239,40979.46,476.49,46812.82
240,41026.7,506.95,42897.88
241,40933.55,472.81,46633.43
242,40866.61,470.8,46834.55
243,41229.27,507.78,47113.08
244,41087.62,507.72,47057.73
245,41031.99,482.86,42850.79
246,40904.32,516.05,43058.38
247,40876.17,497.51,46706.83
248,40885.29,502.31,42572.12
249,40983.46,508.51,46668.91
250,40955.22,509.05,42857.36
251,40964.88,477.9,47210.71
252,40970.31,503.66,42712.51
253,40796.55,477.0,46969.89
254,40919.8,496.49,42930.83
255,40891.38,484.93,46855.3
256,40856.59,497.96,43341.68
257,38888.77,497.35,44608.13
258,41016.43,497.34,43395.43
259,40918.32,535.03,42822.5
260,40921.3,517.27,43181.64
261,40940.95,476.05,46959.89
262,40928.42,513.16,46962.09
263,40896.68,504.05,46980.57
264,41024.42,498.93,43283.91
265,38716.39,477.73,45086.4
266,40925.26,486.16,43052.15
267,40919.44,470.34,46978.5
268,40868.24,506.38,43307.36
269,41029.46,502.09,42685.19
270,40964.28,479.39,46853.39
271,38745.98,487.05,44809.25
272,41059.79,497.66,42856.29
273,40970.88,483.05,43545.03
274,40965.11,488.43,43466.77
275,38682.69,484.44,44864.48
276,40936.32,485.11,46963.51
277,41015.58,487.2,42918.91
278,41029.07,495.38,42776.05
279,40800.97,492.28,46965.49
280,41008.55,487.11,42832.5
281,39003.0,491.35,44837.88
282,40770.99,490.23,46850.26
283,40974.9,477.46,46973.21
284,40906.58,489.9,42873.39
285,40989.51,485.13,43503.96
286,41085.65,515.37,47084.96
287,40983.14,479.6,46909.37
288,40989.62,527.03,46759.14
289,41029.0,529.03,46923.57
290,41051.66,489.54,42905.83
291,41013.26,481.83,42807.67
292,40987.37,469.4,47152.44
293,41023.28,485.11,47067.27
294,40960.86,503.86,42817.4
295,38700.66,513.67,44885.89
296,41002.49,476.59,42856.51
297,40863.04,488.86,46740.79
298,40964.86,500.18,42980.68
299,38741.1,486.19,45091.23
300,40782.57,495.37,46831.53
301,41003.43,511.57,46898.32
302,40906.02,494.57,43366.47
303,41166.6,484.06,43336.52
304,41035.93,486.26,43100.73
305,38658.86,488.64,44812.38
306,41029.91,508.91,47037.15
307,41009.33,519.1,42821.85
308,40962.58,484.5,42905.62
309,38901.52,490.65,41108.41
310,41075.72,503.64,43195.25
311,41091.53,487.02,42974.34
312,40790.74,481.33,46871.82
313,40896.59,498.59,46860.88
314,40965.47,492.75,42974.99
315,41083.96,504.87,46841.33
316,40940.74,479.07,42631.78
317,41067.41,503.19,47288.01
318,40890.86,493.44,42847.88
319,41100.9,513.9,42908.33
320,41010.36,486.1,42818.26
321,40796.03,506.91,46867.58
322,40948.94,494.3,43438.05
