sid,area,power
0,19371.71,18489.75
1,19502.59,18776.52
2,19379.43,18702.74
3,19518.02,18745.89
4,19691.71,18797.64
5,19221.69,18339.18
6,19402.84,18773.63
7,19473.06,18729.63
8,19537.43,18775.24
9,19391.40,18554.98
10,19396.19,18700.46
11,19847.06,18793.53
12,19344.85,18527.79
13,19687.72,18749.85
14,19420.66,18646.21
15,19441.14,18649.37
16,19745.18,18979.94
17,19611.12,18511.50
18,19333.94,18439.17
19,19742.52,18866.82
20,19556.32,18820.69
21,19554.19,18552.29
22,19313.20,18502.43
23,19353.89,18686.34
24,19538.23,18754.03
25,19441.94,18605.84
26,19878.71,18831.73
27,19740.12,18754.68
28,19629.74,19005.57
29,19221.16,18361.49
30,19498.07,18865.26
31,19506.58,18801.85
32,19254.14,18378.21
33,19448.59,18723.18
34,19484.77,18688.63
35,19464.55,18637.04
36,19332.35,18527.62
37,19536.90,18775.96
38,19183.92,18460.60
39,19650.75,18641.79
40,19736.40,18821.29
41,19592.50,18891.65
42,19469.60,18736.16
43,19987.51,18867.09
44,19487.96,18503.02
45,19254.94,18274.89
46,19569.89,18999.17
47,19585.85,18774.91
48,19704.21,18871.06
49,19630.53,18950.88
50,19301.23,18385.20
51,19599.41,18998.69
52,19506.31,18702.58
53,19448.06,18669.49
54,19305.21,18512.51
55,19270.10,18549.24
56,19758.75,19007.92
57,19776.57,19045.85
58,19358.95,18686.01
59,19590.63,18734.53
60,19685.06,18488.82
61,19276.75,18785.97
62,19547.28,18738.93
63,19581.86,18631.71
64,19323.57,18506.37
65,19769.65,19129.68
66,19531.32,18634.11
67,19643.30,18738.26
68,19384.22,18657.66
69,19370.65,18421.74
70,19519.88,18948.36
71,19503.92,18682.37
72,19499.40,18639.91
73,19655.01,18730.47
74,19411.62,18661.88
75,19566.43,18760.19
76,19448.32,18772.78
77,19235.79,18593.34
78,19462.69,18528.53
79,19561.64,18872.17
80,19422.79,18582.72
81,19913.82,18964.95
82,19414.28,18579.13
83,19490.88,18477.83
84,19951.33,18830.67
85,19540.89,18653.90
86,19281.28,18783.63
87,19606.06,18761.17
88,19469.60,18544.50
89,19397.25,18682.48
90,19450.98,18767.41
91,19394.06,18657.03
92,19634.26,18819.35
93,19522.27,18936.80
94,19212.65,18382.05
95,19463.49,18736.33
96,19533.71,18743.26
97,19362.41,18514.80
98,19436.89,18755.08
99,19460.83,18560.32
100,19384.75,18571.51
101,19400.44,18511.91
102,19551.27,18581.86
103,19427.84,18695.48
104,19583.19,18811.66
105,19386.08,18572.20
106,19704.75,18911.42
107,19532.65,18709.13
108,19385.28,18760.04
109,19879.51,18916.87
110,19580.53,18705.87
111,19165.83,18268.30
112,19606.33,18939.38
113,19736.40,18787.50
114,19318.25,18464.75
115,19603.14,18884.00
116,19433.43,18603.67
117,19644.90,18778.35
118,19375.44,18786.18
119,19495.41,18688.91
120,19363.74,18716.23
121,19261.06,18351.28
122,19498.07,18633.33
123,19182.06,18495.22
124,19660.06,18691.37
125,19220.63,18501.73
126,19768.32,18796.37
127,19381.03,18612.67
128,19115.56,18324.98
129,19526.53,18845.16
130,19621.22,18734.45
131,19447.79,18755.47
132,19543.29,18832.07
133,19449.12,18681.58
134,19428.37,18819.57
135,19496.20,18631.11
136,19366.40,18658.83
137,19359.21,18711.24
138,19464.28,18640.51
139,19849.45,19079.15
140,19651.02,18711.46
141,19475.72,18482.19
142,19609.52,18764.01
143,19486.36,18956.77
144,19222.22,18543.85
145,19506.04,18540.89
146,19381.56,18600.57
147,19382.62,18671.06
148,19638.51,18591.17
149,19511.90,18814.83
150,19518.02,18678.60
151,19474.12,18790.17
152,19601.54,18703.79
153,19452.85,18701.53
154,19427.84,18732.87
155,19224.88,18375.45
156,19653.14,18633.28
157,19964.90,18845.17
158,19531.32,18894.88
159,19700.23,18922.81
160,19462.95,18783.68
161,19568.29,18796.54
162,19463.75,18818.23
163,19682.40,18972.39
164,19194.83,18511.65
165,19447.26,18574.60
166,19835.35,19121.00
167,19291.12,18522.38
168,19213.98,18458.09
169,19453.11,18506.45
170,19561.91,18651.03
171,19611.65,18729.08
172,19344.85,18409.22
173,19713.26,19062.17
174,19851.85,18778.30
175,19175.94,18569.95
176,19567.23,18829.92
177,19571.48,18886.92
178,19554.19,18771.02
179,19495.41,18650.60
180,19526.79,18823.90
181,19447.79,18714.12
182,19687.46,18835.29
183,19908.50,19276.41
184,19399.11,18559.37
185,19688.52,18838.46
186,19468.54,18663.65
187,19635.32,19056.01
188,19447.26,18893.79
189,19655.80,18794.70
190,19644.37,18641.02
191,19303.09,18422.52
192,19318.52,18407.22
193,19741.72,18969.57
194,19454.97,18541.89
195,19406.03,18754.05
196,20005.86,19181.60
197,19508.71,18712.88
198,19639.84,18793.05
199,19798.38,18839.12
200,19566.43,18957.14
201,19502.06,18745.78
202,19630.27,18775.11
203,19551.80,18780.10
