sid,Area,Delay,Power
0,22513.46,12664.57,22675.54
1,22077.04,12606.41,22111.46
2,22154.76,12799.28,22221.82
3,22553.07,12390.95,22502.52
4,22798.74,12856.79,22910.17
5,22422.26,12779.56,22549.62
6,21797.0,12749.53,21827.34
7,22553.96,12859.39,22682.38
8,22455.84,12816.2,22440.77
9,22829.32,12719.02,22964.57
10,21927.63,12913.17,21957.62
11,23077.34,12652.28,23138.12
12,22260.76,12679.43,22440.92
13,22785.39,12676.12,22936.02
14,22266.0,12621.68,22448.19
15,22696.09,12706.87,22804.93
16,22996.92,12573.42,23077.2
17,22854.55,12807.72,23077.27
18,22218.99,12847.4,22446.22
19,22722.46,12763.79,22816.83
20,22700.84,12641.51,22867.68
21,22749.87,12537.27,22878.04
22,22189.41,12733.14,22382.4
23,22246.79,12769.46,22446.57
24,22211.86,12898.87,22176.91
25,22631.68,12343.74,22788.54
26,22944.75,12585.12,22912.48
27,23061.72,12642.85,22955.05
28,22725.55,12669.93,22774.3
29,22457.85,12722.42,22506.46
30,22180.12,12623.62,22328.32
31,22233.93,12702.68,22269.02
32,22211.16,12949.25,22260.78
33,22810.69,12638.65,22997.28
34,22534.54,12657.24,22652.29
35,22286.61,12925.27,22252.43
36,22265.79,12783.76,22306.96
37,22700.15,12664.2,22852.82
38,21780.0,12946.11,21881.45
39,23260.66,12569.09,23319.38
40,23001.53,12611.57,23072.67
41,22593.32,12702.64,22692.99
42,22097.16,12814.81,22196.33
43,23764.45,12451.04,23760.53
44,22795.81,12773.4,22934.7
45,22382.18,13030.25,22453.65
46,22667.73,12499.06,22764.17
47,22226.1,12731.54,22115.62
48,22922.16,12624.42,23050.97
49,22249.75,12861.51,22225.04
50,22336.55,12917.36,22382.16
51,22636.43,12739.23,22797.0
52,22382.02,12787.73,22433.68
53,22003.19,12934.87,21969.16
54,22306.46,13136.12,22453.47
55,22084.85,12828.55,22191.88
56,22998.91,12482.18,23008.49
57,22772.74,12466.35,22874.56
58,22216.16,12701.79,22344.95
59,22745.62,12940.58,22837.48
60,23391.54,12713.05,23450.35
61,22020.87,12787.71,22195.45
62,22573.43,12731.67,22729.9
63,22890.86,12530.48,22997.99
64,22319.11,12717.52,22388.89
65,22481.94,12479.08,22420.29
66,22669.94,12507.03,22779.44
67,22804.7,12534.19,22994.47
68,22646.95,12822.45,22793.13
69,22278.14,12855.14,22317.09
70,22437.26,12501.6,22535.27
71,22434.9,12801.36,22576.89
72,22859.71,12869.08,22935.6
73,22537.77,12644.84,22531.45
74,22173.57,12515.2,22151.14
75,22754.31,12729.36,22912.78
76,22358.14,12854.37,22449.08
77,22230.0,12874.34,22374.38
78,22977.94,12402.18,23042.93
79,22325.77,12711.27,22333.91
80,22146.31,12837.68,22108.66
81,23476.54,12523.12,23647.44
82,22643.54,12596.99,22751.97
83,22406.77,12909.24,22496.23
84,23539.5,12952.21,23643.89
85,22483.56,12728.75,22590.38
86,22129.96,12761.48,22309.53
87,22979.2,12335.89,23062.67
88,22589.85,12607.0,22598.67
89,22213.6,12738.85,22267.91
90,22371.91,12871.03,22454.48
91,22226.86,12614.32,22273.64
92,22891.91,12562.31,22904.86
93,22480.34,12523.85,22504.97
94,22067.39,12905.9,22135.5
95,22156.94,12964.82,22256.26
96,22705.45,12738.18,22819.07
97,22580.74,12682.65,22668.49
98,22016.7,12896.58,22056.25
99,21996.2,12930.73,21995.39
100,22120.84,12927.17,22154.33
101,22171.22,12731.08,22277.24
102,22686.68,12748.43,22705.68
103,22056.25,12730.08,22199.0
104,22570.94,12607.41,22791.75
105,22308.27,12673.19,22401.27
106,22839.36,12716.73,22887.3
107,22866.99,12726.47,23126.91
108,22282.81,12795.8,22376.17
109,23601.98,12565.22,23801.47
110,22486.46,12631.95,22453.79
111,22517.03,12840.44,22520.7
112,22449.75,12746.37,22581.16
113,22791.0,12629.67,22736.64
114,22083.27,12900.21,22127.78
115,22722.16,12547.89,22870.12
116,22708.22,12504.12,22683.29
117,22740.54,12778.93,22896.53
118,22177.8,12733.46,22416.62
119,22537.3,12687.83,22599.79
120,22055.43,12919.39,22191.13
121,21932.06,12853.22,21981.91
122,22252.53,12759.01,22207.04
123,21867.03,12838.96,21986.33
124,22694.81,12753.34,22774.09
125,21885.51,12945.0,21947.8
126,22915.24,12861.9,22836.33
127,22135.18,12982.07,22175.29
128,22097.74,12726.98,22284.47
129,22021.58,12986.66,22058.82
130,22529.89,12507.92,22551.52
131,22487.25,12620.45,22585.36
132,22254.89,12605.67,22326.17
133,22083.62,12946.86,22138.06
134,22102.87,13003.27,22233.76
135,22441.5,12700.74,22596.9
136,22370.22,12818.5,22527.27
137,22302.2,12696.15,22472.87
138,22665.09,12767.42,22856.09
139,22780.99,12620.28,22868.19
140,22502.0,12710.45,22567.09
141,22699.24,12814.66,22900.4
142,22858.01,12704.43,22986.96
143,22452.46,12848.21,22676.59
144,22314.43,12681.43,22523.36
145,22678.28,12794.5,22733.71
146,22442.07,12823.37,22654.52
147,22323.46,12942.17,22398.48
148,22914.09,12537.13,22975.43
149,22416.28,12741.05,22639.25
150,22773.7,12784.57,22848.79
151,22497.36,12731.82,22677.79
152,22937.62,12557.45,22879.7
153,22571.92,12526.71,22795.43
154,22164.12,12807.39,22163.95
155,22092.13,12602.05,22174.23
156,22652.57,12530.07,22786.86
157,23718.47,12489.45,23716.18
158,22555.23,12664.0,22705.31
159,22762.43,12507.26,22921.15
160,22534.39,12603.73,22746.12
161,22698.71,12795.26,22817.22
162,22512.42,12540.17,22526.88
163,22718.91,12687.17,22850.99
164,21952.43,12871.89,22166.47
165,22450.7,12880.6,22485.0
166,23076.98,12436.22,23149.29
167,22376.24,12796.55,22570.6
168,22096.08,12693.82,22230.78
169,22567.85,12790.59,22692.04
170,22312.42,12682.24,22299.67
