sid,Area,Delay,Power
0,649.23,241.24,694.3
1,646.93,235.68,681.15
2,634.77,248.17,674.91
3,650.77,240.01,683.99
4,654.81,239.01,685.54
5,649.09,241.0,684.98
6,648.99,237.92,681.29
7,654.3,244.25,681.08
8,641.01,239.13,668.71
9,669.11,252.45,707.06
10,653.6,235.57,673.29
11,646.61,244.52,681.55
12,649.29,242.33,666.54
13,654.74,247.3,680.54
14,644.7,235.36,690.23
15,654.59,252.56,683.17
16,639.12,237.0,686.23
17,673.51,238.19,700.55
18,641.55,243.48,679.61
19,647.08,233.77,674.29
20,623.47,253.98,671.74
21,667.03,233.2,691.42
22,649.7,240.97,695.9
23,624.45,239.6,660.78
24,641.18,237.21,677.2
25,629.88,236.98,670.22
26,635.51,241.24,672.67
27,655.66,240.56,686.68
28,616.13,240.5,674.68
29,643.9,241.29,675.28
30,637.27,239.38,684.73
31,649.6,236.75,689.35
32,648.2,246.91,677.43
33,662.89,240.78,688.03
34,649.98,241.96,697.62
35,644.64,247.85,681.55
36,632.53,252.88,680.76
37,623.68,240.48,675.01
38,636.79,245.18,688.07
39,658.12,235.52,693.72
40,669.37,237.92,701.34
41,635.76,240.5,683.25
42,639.83,235.63,665.41
43,663.73,238.27,687.45
44,650.05,242.79,679.59
45,657.32,245.0,682.29
46,658.81,239.32,697.0
47,654.11,243.06,669.77
48,671.01,237.0,693.08
49,641.18,237.05,675.18
50,658.5,235.21,690.5
51,615.52,256.46,665.48
52,654.56,244.33,677.75
53,640.1,236.34,667.34
54,631.09,245.11,685.73
55,641.68,250.58,681.07
56,649.73,239.84,680.88
57,621.47,236.5,677.19
58,637.59,249.47,675.65
59,646.12,242.81,675.79
60,662.14,232.45,691.95
61,655.75,252.79,689.82
62,650.22,243.42,684.05
63,661.25,238.86,682.22
64,654.78,240.2,691.59
65,630.61,240.3,671.27
66,659.27,238.9,683.61
67,683.46,233.63,701.03
68,638.59,233.75,680.11
69,645.68,249.32,689.46
70,645.74,235.54,676.38
71,661.25,239.96,680.43
72,638.5,236.48,680.91
73,642.4,246.2,675.93
74,624.79,241.56,657.24
75,647.97,242.36,662.44
76,639.59,241.78,692.81
77,634.53,237.11,690.59
78,661.24,237.18,690.85
79,634.81,242.98,674.14
80,635.91,241.61,670.63
81,656.64,236.75,690.1
82,669.74,242.33,706.57
83,651.2,237.99,671.71
84,658.7,243.72,696.61
85,642.58,240.49,669.57
86,640.35,236.98,682.1
87,656.48,239.0,679.98
88,651.64,238.86,678.73
89,643.98,236.98,683.66
90,638.46,239.54,688.72
91,668.39,253.72,687.36
92,663.87,233.13,686.43
93,642.21,239.8,679.65
94,644.59,248.39,704.4
95,618.07,245.26,676.37
