sid,Area,Delay,Power
0,19502.23,6007.65,17277.46
1,20320.97,5833.08,18641.35
2,19914.92,5949.16,17905.8
3,20282.51,5897.34,18391.37
4,19390.44,6051.49,17073.7
5,19387.25,6013.49,17182.85
6,19863.69,5918.46,17764.26
7,19691.2,5974.98,17590.72
8,19772.96,6005.86,17651.15
9,19398.99,6012.48,17076.11
10,20077.07,5969.52,18049.74
11,19707.2,6028.4,17472.31
12,19937.35,6010.36,17872.53
13,19845.96,5986.97,17774.76
14,19868.46,5987.19,17791.32
15,20146.64,5899.95,18381.92
16,20094.23,5892.5,18226.62
17,19821.84,6033.28,17548.96
18,19961.77,5919.16,17861.65
19,19576.85,6076.57,17266.44
20,20400.95,5894.08,18695.74
21,19777.28,5897.86,17673.94
22,20020.22,5890.79,17896.87
23,20074.73,5954.0,18133.35
24,19724.78,5916.96,17649.42
25,19906.62,5992.58,17812.71
26,19660.64,6020.08,17495.52
27,19503.0,6006.67,17235.54
28,20207.6,5930.74,18294.0
29,20271.44,5826.06,18556.79
30,20149.78,5919.42,18146.54
31,20213.94,6013.25,18170.73
32,19680.23,5987.8,17474.65
33,19750.38,5979.65,17578.02
34,20059.49,5912.01,18115.86
35,19586.85,6013.37,17207.61
36,20285.48,6011.94,18274.35
37,20366.09,5877.9,18648.97
38,20305.87,5854.75,18575.91
39,19497.55,6014.17,17059.4
40,19862.36,5943.06,17879.7
41,20023.39,6008.18,18054.76
42,19602.68,6016.53,17433.32
43,19733.48,6031.32,17529.6
44,19916.16,5895.01,17847.75
45,19806.64,5975.67,17687.03
46,20462.6,5963.41,18469.99
47,19754.07,5994.93,17680.14
48,19505.22,6016.95,17114.46
49,19458.22,6030.92,17062.54
50,20033.38,5916.46,18037.46
51,19876.86,5922.81,17916.35
52,19390.38,6028.56,16918.03
53,19910.82,6079.11,17584.61
54,19918.71,6053.53,17872.95
55,20206.4,6010.51,18129.58
56,19591.63,6015.08,17429.06
57,20300.28,5851.43,18539.92
58,20019.25,5924.67,18117.72
59,19718.87,6030.63,17598.32
60,19852.78,6032.73,17684.4
61,19859.79,5955.64,17757.62
62,19747.11,6010.71,17643.91
63,19577.09,6053.89,17278.69
64,19938.51,5907.02,17887.45
65,19788.67,5943.23,17746.81
66,20614.13,5762.05,19067.8
67,19966.26,5899.9,17864.46
68,20093.51,5915.2,18109.43
69,19732.18,5915.2,17598.82
70,20478.09,5895.87,18467.61
71,19599.15,6010.58,17381.31
72,19760.59,5914.78,17675.83
73,20198.13,5939.93,18419.71
74,20232.5,5851.53,18439.46
75,19847.77,5968.94,17716.27
76,19828.12,6005.97,17782.4
77,20814.86,5904.48,18834.42
78,19429.97,6012.47,17036.9
79,19722.15,5947.42,17635.49
80,19555.06,6012.04,17280.54
81,20076.19,5929.27,18146.41
82,19374.59,6012.84,16973.2
83,19522.0,6055.96,17165.64
84,20028.64,6036.83,18032.35
85,20020.42,5893.94,18039.27
86,20290.94,5894.1,18517.21
87,19683.17,6005.46,17464.7
88,19601.27,6049.66,17384.01
89,20041.38,5940.89,18115.54
90,20140.56,5914.41,18212.24
91,19766.06,5938.84,17799.61
92,20160.14,5814.81,18283.45
93,20238.28,5830.91,18535.54
94,20164.32,5938.26,18105.34
95,20498.65,5990.29,18786.06
96,20795.46,5867.03,18981.85
97,20137.06,5871.43,18381.66
98,19766.98,5916.06,17608.3
