sid,Area,Delay,Power
0,2204.26,2986.96,2875.58
1,2223.71,3175.79,2804.09
2,2069.04,2850.89,2752.41
3,2016.97,3024.66,2638.65
4,2419.89,3043.44,3072.4
5,2388.65,3051.05,3143.05
6,2376.94,3230.78,3027.74
7,2162.87,2929.62,2800.35
8,2271.68,3110.23,2910.16
9,2191.83,3064.47,2893.99
10,2125.69,2962.76,2759.51
11,2127.9,3044.83,2728.42
12,2135.31,2788.27,2829.53
13,2118.4,3030.39,2772.87
14,2200.36,2964.78,2844.08
15,1991.86,3075.5,2597.52
16,2063.86,2995.66,2731.2
17,2094.69,3134.9,2744.72
18,2322.02,3085.61,3036.29
19,2472.45,3351.3,3098.32
20,2178.56,3042.61,2724.19
21,2352.21,3075.39,3031.69
22,2278.48,2875.97,3006.48
23,2101.59,2719.83,2779.04
24,2191.56,3009.08,2803.53
25,2240.27,3207.64,2943.37
26,2248.0,3104.83,2913.25
27,2013.66,3186.31,2600.68
28,2290.04,3163.0,2954.98
29,2014.47,3018.41,2638.37
30,2415.48,3122.53,3132.88
31,2359.87,3438.52,2997.5
32,2229.36,2866.49,2847.66
33,2036.56,2861.1,2648.28
34,2307.82,2911.26,3035.52
35,2118.62,3030.15,2802.58
36,2176.69,2882.13,2821.43
37,2343.7,3021.02,3002.28
38,2307.16,2835.29,3009.62
39,2316.79,3095.86,2991.9
40,2186.06,2906.76,2792.42
41,2215.85,3172.46,2862.58
42,2267.14,2984.74,2927.69
43,2190.07,3156.13,2858.2
44,2239.6,2759.89,2908.99
45,2083.99,3088.56,2573.62
46,1979.16,3146.99,2594.9
47,2105.49,2930.86,2686.62
48,2370.3,3168.15,3078.27
49,2264.65,3200.19,2878.39
50,2369.01,2920.7,3116.4
51,2231.43,3166.78,2837.24
52,2169.49,3086.74,2823.88
53,2014.12,3532.65,2655.8
54,2057.28,3226.82,2704.07
55,2155.56,2987.7,2805.2
56,2308.22,3029.4,2946.58
57,2140.32,2896.07,2822.12
58,2499.45,2903.32,3258.74
59,2040.61,3174.86,2640.71
60,2339.49,3255.56,2983.54
61,2061.04,2933.62,2760.0
62,2320.75,2984.96,3056.12
63,2191.61,3003.43,2808.84
64,2230.27,3029.94,2945.92
65,2258.44,3200.19,2874.14
66,2196.71,2791.57,2864.33
67,2293.73,3173.55,2972.0
68,2221.47,2967.45,2955.91
69,2151.58,2948.73,2710.2
70,2093.17,3023.21,2726.14
71,2199.21,3028.92,2900.02
72,2099.51,3130.28,2756.39
73,2250.92,3129.54,2899.7
74,2178.46,3031.11,2793.39
75,2156.19,3146.4,2839.15
76,2125.99,2927.66,2804.53
77,2230.34,2904.07,2897.75
78,2177.48,3172.4,2825.92
79,2255.3,3073.35,2926.22
80,2170.02,3182.42,2838.26
81,2282.37,2920.95,3016.1
82,2266.47,3001.39,3011.03
83,2314.98,3135.68,2989.63
84,2460.64,3114.73,3129.44
85,2199.55,2957.02,2875.85
86,2181.36,2944.19,2821.37
87,2129.05,3019.49,2766.67
88,2492.56,3087.87,3226.19
89,2373.67,2957.41,3077.46
90,2418.63,2898.23,3074.65
91,2157.09,2761.0,2791.2
92,2229.36,2944.6,2965.89
93,2072.9,3031.91,2712.96
94,2154.81,3094.19,2790.15
95,2133.09,4025.15,2773.89
96,2141.06,3131.44,2763.75
97,2317.66,3020.31,2960.95
98,2313.65,2984.06,2891.93
99,2193.01,3284.24,2845.83
100,2398.74,3030.33,3101.72
101,2339.62,3369.33,2983.44
102,2187.43,2962.82,2840.5
103,2102.19,2989.41,2792.74
104,2347.9,3057.42,3030.16
105,2357.96,3006.02,3082.86
106,2414.05,3185.4,3098.36
107,2254.8,2986.46,2930.79
108,2221.18,2996.75,2877.73
109,2378.41,3291.94,3102.56
110,2240.21,3082.77,2867.69
111,2031.64,3022.05,2655.73
112,2034.09,3177.22,2669.49
113,2187.04,3191.35,2865.62
114,2090.8,3033.63,2744.27
115,2286.72,3262.53,2983.18
116,2324.1,3040.98,2970.7
117,2141.37,3063.72,2807.6
118,1945.38,2979.0,2587.32
