sid,area,power
0,6428.69,5620.87
1,6360.59,5537.76
2,6107.89,5360.39
3,6219.08,5337.87
4,6552.64,5674.25
5,6163.49,5300.89
6,6333.99,5596.97
7,6436.14,5631.70
8,6422.04,5551.05
9,6237.70,5386.34
10,6298.88,5453.76
11,6793.91,5838.56
12,6172.26,5304.21
13,6735.65,5826.22
14,6022.51,5359.91
15,6749.22,5905.86
16,6615.42,5719.47
17,6689.37,5791.60
18,6278.66,5361.24
19,6454.49,5515.36
20,6334.26,5529.45
21,6579.78,5711.49
22,6008.94,5312.08
23,6117.73,5434.56
24,6109.75,5402.79
25,6407.67,5708.79
26,7055.12,6093.68
27,7117.10,6125.68
28,6341.97,5397.44
29,6484.81,5671.54
30,6034.74,5354.54
31,6123.05,5315.56
32,6422.84,5620.36
33,6214.82,5327.92
34,6044.85,5300.89
35,6114.81,5331.70
36,6143.27,5394.37
37,6146.99,5460.84
38,5941.64,5268.82
39,6603.72,5625.60
40,6438.80,5310.55
41,6018.78,5258.48
42,6260.04,5595.92
43,6398.10,5376.58
44,6424.43,5637.02
45,6171.20,5245.64
46,6299.68,5458.27
47,6410.33,5652.04
48,6441.99,5488.59
49,7093.69,6181.25
50,6459.81,5601.51
51,6428.95,5553.12
52,6519.93,5688.48
53,6378.68,5577.11
54,6034.21,5202.85
55,6142.47,5352.21
56,6527.64,5534.71
57,6440.39,5649.44
58,6058.68,5372.43
59,6660.11,5713.55
60,6889.13,5879.41
61,6187.69,5450.46
62,6436.67,5431.26
63,6449.17,5688.61
64,6075.71,5385.75
65,7129.33,6143.08
66,6110.02,5273.57
67,6536.15,5724.68
68,6103.10,5321.50
69,6248.87,5455.89
70,6503.97,5561.59
71,6397.83,5363.92
72,6391.18,5489.51
73,6980.37,5953.98
74,6374.96,5526.66
75,6668.62,5765.32
76,6025.96,5241.08
77,6130.50,5374.26
78,6666.49,5775.12
79,6240.36,5434.54
80,6412.73,5608.33
81,6642.29,5536.51
82,6277.60,5357.77
83,6694.69,5914.06
84,6691.50,5791.21
85,6623.93,5806.55
86,5973.83,5270.25
87,6416.45,5350.54
88,6572.59,5846.57
89,6176.79,5441.00
90,6075.44,5343.83
91,6576.05,5756.78
92,6405.28,5360.83
93,6254.72,5463.33
94,6064.80,5252.55
95,6674.21,5828.32
96,6099.91,5290.67
97,6391.18,5608.60
98,6189.55,5416.71
99,6237.70,5383.76
100,6116.94,5347.19
101,6216.42,5492.57
102,6549.45,5627.63
103,5984.20,5293.16
104,6158.70,5422.33
105,6559.56,5786.56
106,6402.89,5506.26
107,6190.09,5376.24
108,6387.19,5675.05
109,6377.08,5477.81
110,7063.90,6097.48
111,6454.76,5662.58
112,6191.68,5352.29
113,6587.49,5501.32
114,6648.40,5797.95
115,6452.10,5591.96
116,6491.46,5701.03
117,6642.29,5727.18
118,5897.75,5159.32
119,6674.47,5842.61
120,6536.68,5821.26
121,6449.44,5639.87
122,6328.94,5498.25
123,6111.08,5337.82
124,6737.51,5814.37
125,6135.82,5353.36
126,6798.16,5736.23
127,6082.36,5331.26
128,6104.70,5358.22
129,6311.65,5371.36
130,6214.82,5412.33
131,6141.94,5266.05
132,6400.23,5575.34
133,6515.94,5651.78
134,6244.08,5388.81
135,6490.93,5696.07
136,6155.51,5377.52
137,6013.99,5238.56
138,6592.01,5738.81
139,6393.31,5469.46
140,6481.36,5725.56
141,6476.30,5690.10
142,6516.20,5547.51
143,6185.30,5395.35
144,6025.17,5371.59
145,6398.10,5630.12
146,6148.32,5358.13
147,6047.51,5327.91
148,6950.05,5968.31
149,6180.78,5421.58
150,6563.82,5762.01
151,6209.24,5398.55
152,6614.09,5674.76
153,5961.86,5225.59
154,6339.31,5527.26
155,6302.34,5530.53
156,6338.78,5554.37
157,6445.45,5468.37
158,6331.07,5636.67
159,6279.46,5533.17
160,6186.89,5474.03
161,6553.44,5466.84
162,6263.77,5435.17
163,6110.02,5337.53
164,6093.26,5350.01
165,6263.50,5281.69
166,6859.87,5758.40
167,6058.42,5288.07
168,6078.37,5368.09
169,6227.33,5284.03
170,6353.94,5579.07
171,6585.89,5534.23
172,6494.66,5652.56
173,6474.17,5596.79
174,6808.27,5866.05
175,6234.24,5501.72
176,6363.25,5519.83
177,6226.26,5415.69
178,6382.67,5485.23
179,6420.97,5616.43
180,6320.43,5503.63
181,6077.30,5293.07
182,6303.93,5507.15
183,6341.71,5586.37
184,6061.08,5289.30
185,6391.98,5405.46
186,6614.62,5704.04
187,5993.25,5210.33
188,6156.57,5349.65
189,6241.69,5396.28
190,6534.82,5747.35
191,6371.76,5637.72
192,6617.28,5762.36
193,6560.62,5418.05
194,6187.96,5362.53
195,6192.75,5443.17
196,6557.17,5557.36
197,6253.13,5297.23
198,6552.64,5886.80
199,6415.39,5425.33
200,6154.44,5246.97
201,6474.17,5574.60
202,6834.87,5992.51
203,6226.53,5374.84
204,6203.12,5485.65
205,6249.94,5538.99
206,6256.05,5526.83
207,6435.87,5586.88
208,6457.15,5621.60
209,6133.16,5344.60
210,6546.26,5502.87
211,6140.61,5418.21
212,6539.34,5791.07
213,6241.96,5410.61
214,6400.23,5577.56
215,5924.09,5200.19
216,6112.41,5420.34
217,6642.82,5758.57
218,6232.11,5354.13
219,6463.00,5756.71
220,6351.02,5334.02
221,6048.84,5267.14
222,6492.79,5601.28
223,6057.35,5240.31
224,6773.96,5720.95
225,6254.46,5496.20
226,6569.14,5707.78
227,6055.22,5330.04
228,6368.57,5420.54
229,6509.29,5659.98
230,6305.80,5465.23
231,6203.39,5412.81
232,6664.63,5883.17
233,6394.91,5497.39
234,6018.78,5249.93
235,5972.76,5292.66
236,6148.59,5245.70
237,6310.85,5526.25
238,6240.09,5389.41
239,6096.99,5223.54
240,6739.64,5813.91
241,6054.69,5253.65
242,6155.24,5425.98
243,6497.58,5476.46
244,6300.48,5447.08
245,6637.23,5735.70
246,6449.17,5717.72
247,6445.71,5478.70
248,6456.35,5608.96
249,6490.40,5491.58
250,6445.71,5661.21
251,6173.59,5472.28
252,6727.67,5764.12
253,6074.11,5317.58
254,6670.22,5876.75
255,6082.62,5218.90
256,6649.73,5550.20
257,6281.06,5420.77
258,6209.77,5337.36
259,6410.07,5565.20
260,6250.73,5214.55
261,6775.55,5807.96
262,5927.54,5314.42
263,6001.23,5355.31
264,6191.95,5355.61
265,6290.37,5473.49
266,6630.05,5856.48
267,6110.29,5308.99
