sid,Area,Delay,Power
0,18517.44,3977.51,21113.13
1,18993.26,3982.86,21783.69
2,18370.08,3977.51,20670.75
3,19549.4,3977.51,21784.89
4,18759.88,3977.51,21386.45
5,18334.16,3977.51,20633.25
6,19076.9,3982.86,21937.86
7,18658.13,3977.51,21129.02
8,19606.54,4002.28,22238.63
9,18911.85,3977.51,21628.23
10,18669.66,3992.9,20680.23
11,18961.9,3978.58,21784.14
12,18938.96,3982.71,21685.28
13,19341.79,3981.57,22202.78
14,18379.4,3977.51,20765.76
15,18634.09,3979.47,21256.13
16,18840.73,3981.57,21472.85
17,19770.01,4008.04,22495.59
18,19159.09,3981.0,22066.62
19,19342.92,3981.57,22199.24
20,18556.86,3978.58,21180.29
21,19405.33,3981.57,22263.27
22,18267.01,3977.51,20621.41
23,18768.04,3977.51,21482.46
24,19169.3,3977.51,21926.9
25,18943.76,3980.57,21804.51
26,19145.4,3981.57,21933.36
27,19264.43,3981.57,22185.71
28,18871.81,3972.47,21644.43
29,18908.7,3977.51,21617.18
30,18684.43,3978.58,21309.47
31,19698.46,3987.34,22043.92
32,19200.86,3982.71,22016.81
33,19182.8,3982.71,21947.47
34,18606.24,3977.51,21197.17
35,19114.43,3982.86,21974.73
36,19186.0,3997.64,21487.73
37,18584.29,3970.97,21080.63
38,18857.15,3982.86,21425.29
39,18566.22,3971.2,21143.66
40,19000.08,3981.0,21795.38
41,19151.98,3970.97,21793.99
42,18543.68,3982.86,21076.05
43,19777.73,4008.04,22516.09
44,18954.22,3982.71,21666.74
45,19024.12,3982.86,21655.7
46,19696.09,3975.81,22037.47
47,18452.57,3996.8,21101.36
48,18805.87,3977.51,21435.3
49,18454.37,3981.7,20885.34
50,18750.66,3978.58,21431.32
51,18671.63,3981.7,21406.49
52,18947.31,3970.97,21691.26
53,18683.66,3977.51,21390.54
54,18799.6,3982.86,21420.7
55,19457.18,3988.73,21749.58
56,18480.43,3970.97,20993.21
57,18340.97,3970.97,20718.98
58,18341.05,3977.51,20692.31
59,19033.68,3981.57,21720.65
60,19690.2,4008.24,22336.69
61,19021.68,3982.71,21834.16
62,18495.81,3970.97,21001.39
63,18333.3,3977.51,20670.13
64,18424.63,3978.58,20871.11
65,18914.34,3970.97,21652.33
66,18834.37,3978.58,21624.19
67,18911.45,3980.57,21643.23
68,18536.14,3978.58,21118.3
69,19192.76,3982.86,22060.98
70,19649.98,3975.81,21932.21
71,18829.65,3977.51,21520.73
72,19388.52,3981.57,22203.89
73,19281.23,3981.57,22212.9
74,19253.88,3981.57,22017.97
75,18677.23,3981.7,21335.71
76,18851.45,3982.86,21442.51
77,20060.65,4016.64,22143.32
78,18633.98,3977.51,21371.88
79,18788.28,3977.51,21510.71
80,18971.23,3982.71,21558.02
81,18640.24,3978.58,21322.24
82,18604.27,3977.51,21290.41
83,19135.36,3982.71,21961.35
84,19791.46,4008.04,22550.19
85,18411.79,3978.58,20911.55
86,18766.8,3977.51,21451.4
87,19056.24,3982.86,21820.74
88,18214.74,3977.51,20478.17
89,18551.54,3977.51,21166.84
90,18342.29,3977.51,20777.92
91,18771.3,3977.51,21526.54
92,18904.56,3970.97,21626.85
93,18728.02,3977.51,21288.17
94,19756.87,3993.52,22095.04
95,19698.26,3987.44,21949.46
96,19656.09,3987.34,21956.41
97,18567.57,3977.51,21222.28
98,19092.0,3982.86,21918.27
99,18596.54,3987.46,21281.28
100,18729.23,3977.51,21457.92
101,18598.37,3982.86,21248.32
102,19353.68,3981.57,22143.36
103,19054.05,3982.86,21812.1
104,19129.9,3981.57,21914.73
105,18169.34,3977.51,20456.4
106,18490.81,3970.97,21026.26
107,18515.76,3970.97,21035.52
108,20130.41,4012.51,22344.72
