sid,Area,Delay,Power
0,11827.59,441.07,12597.11
1,11482.07,464.93,12306.88
2,11887.15,459.07,12779.23
3,12527.21,426.34,13725.18
4,11840.89,442.86,12755.98
5,11468.92,441.18,12332.08
6,11738.8,446.74,12373.1
7,12027.72,441.36,12885.65
8,11678.57,450.52,12476.23
9,11633.46,441.72,12405.03
10,11449.03,450.52,12343.47
11,11520.88,441.18,12257.28
12,11866.07,434.36,12890.31
13,11548.19,438.09,12155.48
14,11770.65,441.07,12733.75
15,11775.98,438.09,12566.75
16,11560.2,429.36,12376.59
17,11684.95,478.28,12502.01
18,11800.92,450.84,12718.2
19,11617.33,444.45,12396.06
20,11823.11,445.01,12589.12
21,11752.25,443.05,12414.03
22,11640.37,444.92,12366.93
23,11793.5,430.89,12560.07
24,11829.33,444.22,12628.14
25,11894.33,450.18,12611.12
26,11639.36,441.07,12290.84
27,11800.04,441.36,12421.97
28,12034.79,436.4,12928.99
29,11917.72,456.66,12670.73
30,11691.81,451.5,12447.65
31,11439.68,444.96,12130.36
32,11564.73,436.34,12255.1
33,11803.03,427.34,12559.5
34,11899.12,444.34,12674.72
35,11637.85,430.51,12500.37
36,11565.82,451.98,12460.93
37,11685.07,429.88,12328.28
38,11589.59,448.62,12583.75
39,11629.0,427.34,12266.01
40,11931.31,446.27,12783.33
41,11768.58,432.67,12818.91
42,11715.46,448.35,12447.06
43,11709.44,470.31,12417.59
44,11579.86,436.34,12179.85
45,11721.64,456.95,12491.41
46,11429.78,441.18,12297.83
47,11854.44,444.99,12594.58
48,11879.43,441.36,12611.76
49,11902.88,451.79,12790.61
50,11452.31,444.92,12357.13
51,11595.0,448.67,12696.52
52,11693.98,455.24,12664.57
53,11775.9,451.19,12495.54
54,11667.66,459.8,12652.82
55,11609.71,429.36,12400.67
56,11811.54,442.56,12465.54
57,11581.07,421.07,12396.16
58,11532.72,431.99,12613.36
59,11777.81,460.22,12413.24
60,11845.21,478.28,12295.24
61,11934.46,448.52,12837.26
62,11744.57,448.23,12475.3
63,11692.22,444.45,12516.18
64,11701.44,448.35,12457.91
65,11589.2,451.09,12237.51
66,11661.33,444.92,12447.59
67,11743.76,451.39,12511.86
68,11767.4,445.52,12761.18
69,11822.28,437.63,12558.17
70,11728.02,435.94,12700.78
71,11663.94,438.01,12409.98
72,11846.38,436.4,12658.36
73,11792.11,458.99,12443.18
74,11267.96,467.87,12150.62
75,11790.1,434.36,12650.94
76,11970.78,452.33,12860.46
77,11797.1,442.09,12762.23
78,11610.48,438.01,12304.7
79,11670.77,444.45,12541.48
80,11648.4,451.5,12770.53
81,11746.34,445.41,12488.94
82,12035.82,441.28,12856.52
83,11894.64,453.21,12504.16
84,11693.0,473.72,12410.93
85,11626.48,448.12,12606.67
86,11867.54,435.94,12561.39
87,12128.42,438.09,13004.71
88,11724.57,442.35,12371.67
89,11739.85,451.5,12604.08
90,11524.61,439.18,12461.43
91,11839.02,429.78,12340.42
92,11707.66,436.25,12618.0
93,11859.65,424.68,12809.17
94,11774.91,450.09,12495.31
95,11897.17,460.09,12481.17
96,12298.48,431.76,13510.36
97,12034.07,446.32,12710.14
98,11620.66,434.34,12381.83
99,11599.16,442.47,12690.57
100,11437.14,434.23,12280.0
101,11452.63,448.12,12218.12
102,11686.18,438.09,12500.84
103,11731.56,441.07,12730.73
104,11561.46,448.23,12345.9
105,11644.6,430.51,12485.88
106,11992.06,446.41,12684.97
107,11788.24,446.41,12591.57
108,11952.66,448.52,12616.05
109,11637.44,448.19,12435.95
110,12169.5,429.95,12836.14
111,11614.42,441.72,12616.61
112,11631.44,433.02,12671.99
113,12536.82,447.49,13644.59
114,11797.41,441.72,12525.49
115,11518.2,444.81,12250.01
116,12004.66,441.36,12549.95
117,11922.33,451.39,12701.03
118,12006.53,434.34,12789.72
119,12142.87,444.99,12769.94
120,11776.63,441.98,12544.48
121,11768.31,449.54,12576.36
122,11810.48,448.28,12356.72
123,11779.08,449.35,12754.61
124,11545.68,452.03,12257.12
125,11594.86,455.79,12272.95
126,11901.7,455.3,12950.54
127,11685.81,435.08,12776.43
128,11725.33,448.71,12754.44
129,11470.76,465.19,12318.85
130,11690.42,444.45,12455.3
131,11643.01,441.18,12432.55
132,11548.51,421.41,12447.73
133,11537.66,451.19,12368.86
134,11511.97,448.71,12428.23
135,11765.96,441.28,12502.96
136,11862.98,448.19,12854.68
137,11860.78,451.5,12758.08
138,11510.27,444.92,12417.63
139,11730.44,441.36,12552.18
140,11553.46,447.34,12360.75
141,11588.32,445.41,12463.29
142,11745.71,434.36,12538.55
143,12103.49,441.67,12812.81
144,11766.34,434.23,12419.47
145,11528.37,447.94,12211.58
146,11803.97,448.19,12660.95
147,11739.05,435.64,12595.44
148,11418.17,434.23,12137.66
149,11817.24,440.45,12856.0
150,11705.13,436.67,12451.38
151,11688.83,434.34,12606.3
152,11984.72,438.78,12809.88
153,11629.6,451.5,12445.84
154,11922.65,445.91,12654.46
155,11616.04,449.35,12228.71
156,11552.82,448.09,12209.52
157,11939.82,470.31,12819.96
158,11624.97,429.88,12410.96
159,11530.42,446.74,12204.88
160,11769.46,436.67,12482.22
161,11767.21,437.63,12660.57
162,11519.74,433.13,12269.23
163,11743.21,430.62,12586.07
164,12100.26,452.33,13183.81
165,11654.44,441.72,12558.1
166,11598.07,436.78,12210.68
167,11698.89,430.55,12520.8
168,11368.28,448.2,12213.97
169,11795.37,427.34,12575.66
170,11637.49,438.17,12232.65
171,11787.92,439.71,12651.45
172,11591.89,453.58,12645.59
173,11458.16,449.35,12567.55
174,11754.07,436.34,12248.79
175,11519.18,444.45,12428.59
176,11679.79,434.23,12378.75
177,11760.12,445.36,12516.02
178,11859.52,436.44,12806.5
179,11878.86,430.66,12663.02
180,11798.46,446.41,12601.9
181,11810.22,445.36,12462.96
182,11391.17,423.31,12148.75
183,11658.88,446.74,12290.68
184,11518.58,436.44,12581.82
185,11553.42,450.11,12322.28
186,11750.85,449.35,12456.8
187,11836.41,448.28,12772.62
188,11740.88,441.18,12578.27
189,11840.31,455.8,12732.19
190,11513.29,444.81,12197.97
191,11902.07,442.24,12702.2
192,11613.36,429.25,12409.11
193,11742.66,452.11,12775.72
194,11716.4,450.18,12330.61
195,11952.01,444.45,12723.1
196,11802.26,432.55,12398.89
197,11943.77,449.35,12880.53
198,11447.67,434.34,12357.64
199,11902.28,465.75,12820.93
200,11891.47,449.05,12574.42
201,11519.4,465.19,12380.95
202,11450.59,429.25,12252.97
203,11851.11,445.15,12902.15
204,11833.97,434.34,12609.82
205,11670.98,423.31,12610.89
206,11837.32,423.42,12772.64
207,11828.36,455.3,12379.36
208,11823.73,448.51,12731.47
209,11789.14,438.4,12602.54
210,11771.12,470.31,12311.17
211,11486.39,456.71,12412.89
212,11561.96,431.0,12320.95
213,11914.0,462.98,12815.42
214,11679.56,438.09,12376.33
215,11885.49,436.67,12536.38
216,11607.77,451.19,12652.87
217,11717.05,441.28,12456.4
218,11714.57,457.37,12406.27
219,11501.78,480.84,12420.04
220,11611.12,438.09,12409.28
221,11936.2,453.79,12763.42
222,11687.81,451.39,12430.51
223,11535.69,474.68,12409.29
224,12100.85,436.4,13344.22
225,11402.03,442.09,12229.92
226,11776.31,442.86,12375.19
227,11944.29,443.69,12971.6
228,11662.22,444.92,12468.11
229,11953.53,449.29,12359.07
230,11913.55,470.31,12891.71
231,11584.18,433.13,12400.46
232,11410.04,434.23,12121.98
233,11758.35,435.15,12526.0
234,11871.15,441.62,12801.14
235,11557.97,441.82,12401.69
236,11725.59,432.55,12697.92
237,11769.96,470.31,12511.43
238,11613.29,429.36,12830.08
239,11928.47,446.32,12675.17
240,11778.97,463.82,12345.11
241,11909.0,448.28,12925.89
242,11835.29,451.98,12528.33
243,11914.93,470.31,12728.56
244,11817.36,455.3,12506.26
245,11887.22,429.78,12470.37
246,11852.21,430.62,12727.42
247,11757.84,451.98,12935.56
248,11647.2,454.58,12438.48
249,11929.55,447.94,12835.68
250,11555.89,443.05,12223.75
251,11809.89,448.19,12517.48
252,11880.6,446.32,12479.85
253,11662.5,430.62,12551.81
254,11450.48,446.52,12423.33
255,11784.42,429.95,12782.88
256,11437.02,435.36,12182.09
257,11300.62,444.96,12142.73
258,11458.95,441.18,12236.18
259,11745.43,463.84,12317.62
260,11597.05,453.58,12419.95
261,11527.86,447.45,12512.15
262,11709.03,444.92,12496.19
263,11740.3,442.28,12363.51
264,11715.72,441.82,12519.1
265,11630.39,441.07,12411.33
266,11900.85,432.44,12510.31
267,11628.56,448.71,12731.67
268,11646.27,450.58,12411.34
269,11747.58,438.09,12504.53
270,11398.92,448.23,12547.27
271,11641.36,446.72,12408.52
272,11782.3,438.09,12696.4
273,11884.47,452.33,12728.93
274,12016.58,446.74,12946.05
275,11598.14,451.62,12543.4
276,11731.77,434.23,12634.08
277,11823.93,455.3,12585.14
278,11815.8,441.36,12715.67
279,11923.52,442.45,12751.77
280,11785.49,429.78,12464.17
281,11564.28,438.4,12610.35
282,11693.83,431.99,12513.17
283,12002.49,448.28,12829.09
284,11565.4,432.02,12296.68
285,12042.41,438.4,12814.84
286,11909.27,433.57,12584.59
287,12014.96,446.32,12798.9
288,11525.88,438.63,12422.58
289,11644.65,457.2,12507.01
290,12165.86,449.54,12909.28
291,11725.32,427.34,12554.61
292,11637.12,452.56,12230.9
293,12110.91,424.68,12836.31
294,11853.4,456.85,12479.35
295,11368.76,467.87,12094.26
296,11928.73,442.86,12585.85
297,11799.21,434.34,12643.8
298,11872.72,430.51,12557.22
299,11616.16,447.49,12474.94
300,11249.29,432.67,12131.71
301,11708.12,435.15,12820.52
302,11457.0,432.67,12182.54
303,11866.8,470.31,12762.55
304,11891.86,448.08,12616.9
305,11706.07,445.52,12404.56
306,11796.42,440.02,12483.29
307,11786.71,438.09,12502.34
308,11726.74,448.23,12429.37
309,11692.52,421.07,12600.49
310,11745.19,436.34,12506.3
311,11668.75,452.03,12229.27
312,11690.62,432.44,12358.34
313,11859.21,439.71,12689.41
314,11760.47,438.09,12713.4
315,11953.74,445.09,12932.75
316,11587.12,434.8,12543.78
317,11862.83,446.67,12801.36
318,11682.98,441.07,12648.86
319,11960.39,448.51,12731.94
320,11697.68,455.3,12277.27
321,11557.62,435.36,12365.31
322,11952.14,452.35,12606.41
323,11911.44,457.67,12564.67
324,11675.03,452.03,12332.82
325,11427.36,434.23,12478.81
326,11816.55,450.52,12481.5
327,11789.15,435.08,12473.49
