sid,area,power
0,509.92,626.46
1,417.62,517.41
2,420.28,520.17
3,446.08,544.87
4,513.91,620.48
5,443.42,533.97
6,415.23,514.29
7,507.00,613.36
8,453.26,553.88
9,432.52,495.58
10,446.61,545.64
11,512.05,621.93
12,431.72,495.15
13,509.92,631.38
14,444.22,541.81
15,520.30,640.48
16,454.59,555.25
17,500.88,605.25
18,438.90,507.41
19,439.17,507.51
20,453.26,554.36
21,521.09,643.84
22,455.13,554.91
23,445.28,542.39
24,453.26,554.81
25,414.69,513.40
26,501.68,607.42
27,509.66,614.79
28,426.66,528.82
29,523.22,637.83
30,427.20,529.23
31,448.48,546.29
32,510.19,622.77
33,433.85,496.62
34,416.29,510.48
35,415.23,511.75
36,414.69,510.94
37,454.59,555.75
38,453.00,553.22
39,516.84,644.03
40,445.82,542.02
41,452.20,552.67
42,441.29,530.96
43,449.27,517.36
44,513.65,628.70
45,446.61,534.52
46,453.00,553.11
47,504.60,614.37
48,440.76,508.14
49,414.69,512.98
50,503.54,611.06
51,416.56,516.36
52,523.75,643.64
53,443.69,542.07
54,414.16,509.19
55,449.81,550.04
56,434.11,491.29
57,451.93,552.05
58,416.02,508.60
59,501.41,601.61
60,508.86,621.09
61,442.62,530.31
62,442.89,526.87
63,502.21,600.27
64,444.75,533.72
65,415.76,514.11
66,444.22,533.28
67,502.74,602.24
68,413.36,514.88
69,501.94,599.58
70,426.93,530.06
71,433.58,495.75
72,425.87,527.82
73,509.12,620.13
74,445.28,540.26
75,508.33,621.39
76,417.89,517.98
77,443.16,529.56
78,509.39,620.03
79,426.66,531.49
80,416.56,518.73
81,445.02,512.28
82,442.36,510.09
83,521.36,638.75
84,508.59,619.33
85,509.92,629.83
86,426.13,527.39
87,444.49,534.68
88,503.54,599.90
89,426.93,530.76
90,444.49,541.64
91,502.21,602.20
92,444.22,534.64
93,420.28,518.19
94,447.41,544.97
95,416.82,515.03
96,424.54,525.11
97,516.31,625.00
98,441.56,529.75
99,457.25,558.89
100,444.75,541.34
101,454.06,555.24
102,519.76,636.94
103,453.00,552.49
104,456.19,556.48
105,515.51,622.27
106,436.51,495.92
107,427.20,530.20
108,442.09,527.18
109,435.18,495.08
110,507.53,616.92
111,499.28,607.56
112,451.14,550.16
113,417.09,516.81
114,508.86,621.80
115,450.34,550.37
116,511.25,615.68
117,513.91,621.82
118,445.82,540.35
119,503.01,602.19
120,454.59,556.38
121,507.53,616.10
122,416.02,515.75
123,452.73,555.54
124,508.59,623.37
125,443.95,540.71
126,437.84,504.67
127,417.62,520.54
128,445.82,541.97
129,444.22,543.58
130,419.22,519.66
131,453.26,552.69
132,445.55,544.52
133,453.00,552.34
