sid,Area,Delay,Power
0,477.62,159.58,578.21
1,431.95,155.17,539.31
2,419.28,151.82,520.77
3,430.92,149.21,539.93
4,475.68,159.15,569.92
5,448.45,148.05,543.23
6,427.99,155.17,532.2
7,471.73,159.58,568.05
8,424.53,148.05,535.23
9,449.25,150.71,539.47
10,429.6,149.21,534.39
11,479.73,159.58,586.88
12,448.98,150.71,537.75
13,483.46,156.65,583.46
14,425.06,150.71,531.33
15,480.54,156.65,587.38
16,430.67,145.12,538.87
17,476.32,159.58,572.72
18,431.01,151.82,504.7
19,434.49,155.17,508.44
20,426.62,147.72,534.43
21,480.0,159.58,580.55
22,429.08,148.84,536.68
23,423.71,150.71,530.36
24,422.95,148.05,528.6
25,426.65,151.82,531.29
26,478.95,159.58,579.02
27,462.16,159.58,550.58
28,422.52,148.84,528.66
29,479.22,159.58,577.63
30,438.1,147.72,549.09
31,428.21,145.12,536.35
32,481.37,159.58,580.13
33,450.58,150.71,538.12
34,425.64,155.17,526.8
35,422.2,156.55,517.61
36,390.13,159.15,492.29
37,430.05,147.72,541.5
38,426.96,148.84,534.34
39,481.85,156.65,584.94
40,455.11,147.72,552.99
41,427.5,147.72,533.35
42,428.77,151.61,535.66
43,438.44,151.61,527.84
44,477.11,159.58,576.06
45,451.66,147.72,547.72
46,427.41,148.84,534.6
47,473.55,156.65,567.69
48,435.54,155.17,509.6
49,416.14,155.17,515.43
50,479.49,159.58,578.55
51,416.94,151.82,517.02
52,480.26,156.65,581.2
53,429.35,149.21,535.11
54,421.4,156.55,517.66
55,426.68,145.12,535.11
56,432.07,151.82,505.91
57,424.82,147.72,534.47
58,435.94,154.21,542.7
59,474.38,159.58,567.43
60,481.87,159.58,581.92
61,426.56,151.61,532.78
62,455.4,148.84,552.05
63,475.95,156.65,567.87
64,430.07,151.61,537.89
65,428.8,155.17,531.39
66,450.85,145.12,543.92
67,475.69,156.65,567.52
68,415.3,151.82,517.01
69,477.29,156.65,565.91
70,425.46,147.72,528.27
71,448.97,150.71,536.58
72,422.5,148.84,530.27
73,481.35,159.58,578.68
74,434.29,149.21,543.38
75,468.85,156.65,563.24
76,429.3,155.17,529.62
77,428.78,151.61,533.21
78,484.02,159.58,585.8
79,427.0,147.72,534.63
80,414.8,151.82,510.7
81,438.23,148.05,517.06
82,436.34,155.17,513.3
83,468.78,159.25,558.27
84,479.5,159.58,577.47
85,479.19,156.65,581.43
86,433.8,151.61,542.07
87,454.32,147.72,549.03
88,475.13,156.65,566.89
89,436.68,151.61,549.16
90,423.73,150.71,529.92
91,477.02,159.15,569.81
92,454.31,147.72,550.21
93,429.32,151.82,533.3
94,432.01,149.21,537.29
95,428.81,151.82,532.27
96,433.86,148.84,542.96
97,475.7,159.58,569.16
98,424.46,151.61,526.62
99,428.54,148.84,539.64
100,430.11,149.21,536.58
101,429.05,148.84,539.12
102,468.92,159.58,561.27
103,424.29,148.05,530.88
104,429.85,148.84,539.37
105,475.42,156.65,565.75
106,434.78,151.82,508.98
107,424.89,148.84,529.86
108,427.92,151.61,532.15
109,436.33,155.17,512.41
110,473.03,156.65,564.88
111,477.07,159.58,578.91
112,428.46,145.12,537.55
113,416.92,151.82,515.85
114,481.57,159.58,585.65
115,431.9,145.12,542.71
116,476.76,156.65,567.73
117,475.69,156.65,567.45
118,427.91,150.71,531.29
119,473.03,156.65,562.09
120,388.17,159.48,495.73
121,470.92,156.65,562.28
122,427.75,151.82,530.64
123,422.94,148.05,532.43
124,468.08,159.58,563.81
125,427.47,149.21,535.47
126,434.74,155.17,509.94
127,416.12,151.82,515.46
128,428.99,149.21,533.54
129,424.55,150.71,529.1
130,418.49,151.82,521.62
131,426.16,148.84,529.27
132,431.98,149.21,538.86
133,426.71,148.84,532.53
134,427.14,148.84,537.5
135,475.15,156.65,567.11
136,418.49,155.17,519.6
137,431.72,155.17,534.71
138,481.32,159.58,582.55
139,438.47,148.84,513.98
140,474.91,159.15,565.05
141,476.5,156.65,567.58
142,452.21,148.05,544.69
143,435.72,147.72,544.66
144,426.88,151.61,535.87
145,477.37,159.58,577.95
146,429.59,151.82,534.61
147,427.49,151.82,530.5
148,475.47,156.65,575.13
149,419.29,151.82,519.67
150,476.22,156.65,568.2
151,428.19,147.72,536.42
152,465.87,159.58,554.13
153,425.44,155.17,525.24
154,427.19,151.61,531.47
155,478.17,159.58,576.92
156,478.44,159.58,577.39
157,438.94,151.61,533.25
158,430.66,147.72,540.7
159,429.32,155.17,535.05
160,417.73,155.17,517.31
161,435.54,155.17,510.28
162,421.83,148.05,528.59
163,431.97,155.17,540.85
164,429.58,151.82,534.19
165,451.41,148.05,546.0
166,418.81,151.82,519.95
167,425.61,148.84,536.24
168,425.85,148.05,536.6
169,454.57,149.21,545.62
170,430.62,151.82,538.02
171,423.05,148.84,528.57
172,477.6,159.58,580.87
173,426.97,145.12,532.81
