sid,area,power
0,622.17,702.45
1,562.06,651.66
2,564.98,618.34
3,568.71,647.86
4,624.04,698.63
5,565.25,598.33
6,564.98,617.77
7,627.23,705.03
8,577.22,637.70
9,562.32,588.35
10,564.19,621.21
11,664.20,762.04
12,590.25,654.34
13,653.56,747.58
14,551.68,610.78
15,665.80,758.26
16,573.50,646.87
17,638.40,722.55
18,577.75,641.10
19,599.56,667.82
20,563.12,627.79
21,657.02,747.08
22,548.76,615.76
23,559.66,647.53
24,580.41,637.84
25,567.38,653.04
26,666.60,750.98
27,668.19,759.29
28,583.60,653.77
29,649.04,731.23
30,557.00,637.99
31,568.71,623.24
32,617.39,692.61
33,581.48,646.22
34,551.95,615.07
35,553.28,609.26
36,560.99,617.83
37,562.32,645.17
38,564.98,625.38
39,650.64,733.64
40,601.43,655.77
41,566.58,642.42
42,556.21,649.11
43,589.46,640.48
44,621.64,701.27
45,569.24,605.52
46,582.81,653.53
47,667.93,759.64
48,594.51,652.12
49,587.86,666.71
50,618.72,694.83
51,564.98,626.85
52,651.43,738.78
53,570.04,634.15
54,555.14,615.36
55,555.94,619.32
56,592.91,652.94
57,572.96,649.31
58,557.00,643.74
59,648.77,745.30
60,634.41,718.40
61,561.53,622.92
62,598.77,659.93
63,642.39,726.56
64,555.67,624.07
65,593.18,665.18
66,600.36,669.88
67,660.48,751.21
68,553.55,638.32
69,624.30,702.07
70,575.09,652.53
71,588.92,653.34
72,580.94,635.97
73,670.32,762.01
74,570.84,647.84
75,652.76,749.22
76,547.43,610.77
77,553.01,613.10
78,645.85,735.87
79,576.42,643.86
80,571.90,641.95
81,596.37,658.95
82,570.57,622.52
83,650.64,736.55
84,635.74,722.38
85,653.30,740.83
86,575.89,654.01
87,583.07,647.70
88,643.19,726.14
89,554.34,638.93
90,548.49,632.11
91,647.98,735.04
92,589.72,656.25
93,561.79,621.21
94,558.87,617.62
95,569.51,633.55
96,568.44,644.70
97,627.49,713.67
98,576.16,637.73
99,571.90,628.45
100,549.29,611.89
101,560.73,648.00
102,646.38,734.09
103,558.07,613.17
104,579.88,655.02
105,632.02,717.72
106,586.26,645.02
107,558.87,625.89
108,544.50,611.27
109,591.32,653.41
110,650.10,737.38
111,628.82,707.91
112,554.88,608.81
113,580.68,651.66
114,624.57,703.82
115,561.53,644.33
116,665.80,759.49
117,667.13,758.59
118,562.86,642.73
119,663.14,749.23
120,576.95,635.72
121,627.23,702.92
122,578.82,639.69
123,573.23,627.97
124,657.29,749.29
125,563.92,620.77
126,616.85,668.04
127,559.13,619.35
128,565.78,629.49
129,576.95,638.71
130,587.86,661.86
131,578.82,638.02
132,565.52,650.81
133,591.05,642.45
134,575.62,652.41
