sid,Area,Delay,Power
0,559.78,203.11,605.0
1,536.88,185.97,597.67
2,537.22,191.4,595.07
3,545.09,185.97,614.01
4,561.55,199.34,606.27
5,546.77,203.11,579.61
6,550.28,185.18,619.22
7,567.43,188.6,614.4
8,560.93,185.18,613.83
9,545.99,201.86,576.68
10,542.03,185.18,599.02
11,573.07,182.21,598.81
12,565.13,185.97,601.96
13,575.99,187.29,639.38
14,538.41,195.52,601.65
15,588.51,198.46,648.31
16,554.25,179.08,638.73
17,576.47,185.97,607.73
18,559.93,199.34,595.45
19,565.03,193.5,614.7
20,549.93,199.42,619.02
21,574.61,193.19,623.8
22,535.84,200.52,602.86
23,543.01,185.97,605.78
24,560.34,190.25,618.09
25,548.46,184.64,615.76
26,557.34,187.92,596.3
27,557.73,184.83,602.25
28,551.1,183.29,614.73
29,566.4,194.01,609.09
30,542.79,194.45,609.86
31,556.05,181.94,613.89
32,559.44,203.11,606.57
33,558.35,185.18,589.11
34,536.65,194.45,603.6
35,529.8,204.98,584.01
36,534.7,187.89,599.25
37,551.73,178.66,637.25
38,536.87,191.4,605.25
39,572.22,184.87,627.12
40,571.48,184.87,630.06
41,544.66,184.36,610.51
42,539.49,185.97,603.78
43,556.53,185.97,603.47
44,577.23,190.78,626.4
45,549.12,201.86,583.4
46,548.37,183.47,613.16
47,560.87,183.82,591.35
48,568.54,189.41,632.37
49,565.96,183.29,632.85
50,560.26,203.11,606.56
51,558.71,183.29,627.48
52,585.64,195.38,641.47
53,545.93,185.97,611.07
54,541.48,191.4,600.0
55,555.52,185.72,617.18
56,564.51,193.5,609.68
57,549.29,181.94,623.48
58,541.92,185.97,613.71
59,572.87,191.44,625.9
60,582.02,185.97,615.3
61,545.09,191.4,610.8
62,553.73,193.83,595.49
63,560.56,182.65,590.05
64,546.16,195.52,604.19
65,556.84,192.43,638.2
66,570.85,184.34,621.84
67,576.36,184.64,612.29
68,543.02,194.45,604.52
69,564.75,188.6,611.23
70,541.57,191.97,600.62
71,563.73,185.97,599.27
72,546.53,185.98,608.58
73,591.92,191.04,639.15
74,548.97,184.11,612.89
75,565.02,184.67,608.3
76,530.6,187.89,595.03
77,533.19,191.4,593.84
78,569.03,193.18,609.2
79,570.13,185.18,635.56
80,572.03,185.97,636.9
81,568.75,193.5,618.6
82,557.3,184.34,591.73
83,580.07,185.97,621.86
84,559.75,195.74,603.01
85,580.38,184.64,619.48
86,564.19,185.97,629.87
87,568.96,185.97,615.4
88,562.94,185.18,594.89
89,541.09,185.97,604.88
90,540.4,200.52,597.9
91,571.62,185.18,610.3
92,563.24,193.19,611.23
93,543.34,185.97,607.65
94,546.23,185.29,601.95
95,544.61,195.28,605.67
96,556.97,183.29,623.29
97,562.93,188.6,622.37
98,557.11,185.18,615.53
99,557.4,185.97,610.67
100,545.37,200.52,600.08
101,539.51,185.97,606.42
102,575.9,184.64,608.66
103,534.54,200.52,588.6
104,559.69,179.08,646.3
105,571.17,195.52,604.87
106,570.6,184.34,615.67
107,550.94,183.29,618.47
108,532.09,204.98,593.72
109,570.86,181.19,604.66
110,572.98,184.64,610.04
111,556.56,203.11,597.15
112,558.99,176.65,642.86
113,545.59,184.83,597.57
114,555.95,201.86,597.27
115,549.1,180.73,620.39
116,576.32,185.97,622.3
117,575.97,181.22,598.99
118,547.27,180.73,608.8
119,581.3,184.15,623.71
120,555.85,182.65,621.4
121,568.24,188.6,614.77
122,562.69,182.65,627.48
123,549.16,200.52,608.81
124,574.86,193.83,613.47
125,539.33,200.52,593.42
126,567.96,193.5,639.96
127,525.55,201.86,577.59
128,548.73,185.29,616.33
129,561.89,185.18,613.34
130,560.86,185.18,629.28
131,561.62,183.82,620.0
132,544.0,185.18,612.83
133,547.59,183.82,615.93
134,542.82,180.73,608.92
135,572.93,193.3,621.33
136,535.83,201.86,597.29
137,552.12,180.87,614.98
138,561.37,203.11,618.32
139,562.72,193.5,605.68
140,563.16,200.18,606.7
141,564.97,196.63,612.3
142,560.56,193.18,599.08
143,557.92,180.87,632.54
144,538.54,202.19,593.96
145,565.31,203.11,605.54
146,543.94,196.63,605.66
147,547.37,194.45,610.65
148,580.45,189.98,622.6
149,537.1,192.59,598.47
150,567.11,190.78,614.44
151,568.07,181.39,628.86
152,574.35,181.94,633.49
153,534.17,185.18,606.44
154,556.37,190.25,616.34
155,574.4,198.45,625.04
156,564.95,203.04,597.72
157,574.31,185.97,621.42
158,554.23,181.94,622.08
159,551.68,183.29,628.87
160,546.69,185.18,614.01
161,558.93,185.18,593.55
162,552.2,181.94,624.59
163,553.96,183.29,627.33
164,557.42,180.87,621.76
165,545.44,201.86,572.16
166,538.25,205.69,609.73
167,531.34,195.52,594.18
168,540.29,200.52,604.5
169,553.09,201.86,588.98
170,544.61,184.64,613.53
171,552.63,183.29,616.82
172,575.68,193.18,613.01
173,548.8,202.05,600.06
174,575.4,184.87,615.44
175,549.7,187.89,611.54
176,543.28,185.97,608.18
177,561.98,185.18,614.61
178,565.69,183.16,625.56
179,557.85,201.86,601.47
180,544.54,189.41,610.84
181,554.74,185.18,620.19
182,551.13,185.03,627.64
183,538.41,203.58,604.59
184,543.61,185.29,603.75
185,551.54,203.11,583.68
186,573.13,196.4,611.15
187,553.27,180.87,617.5
188,560.05,181.39,623.59
189,539.18,183.82,593.92
190,570.11,184.87,619.82
191,572.19,200.52,611.95
192,574.92,193.18,618.67
193,587.21,189.19,641.31
194,544.71,196.63,602.0
195,543.79,187.89,604.0
196,565.31,193.5,615.68
197,573.44,195.38,627.65
198,549.25,181.13,614.14
199,571.69,185.97,609.43
200,556.67,189.47,615.99
201,543.89,191.97,598.89
202,566.43,193.18,608.14
203,527.88,204.98,586.95
204,533.17,191.4,593.84
205,539.25,185.97,602.77
206,568.18,190.78,613.25
207,565.26,188.6,615.53
208,568.71,199.42,619.96
209,547.63,181.13,611.18
210,570.83,185.97,611.1
211,555.28,185.18,617.24
212,553.89,201.86,577.78
213,527.87,201.86,582.39
214,568.71,190.78,611.46
215,539.93,183.29,606.17
216,549.46,183.82,613.35
217,558.9,199.34,604.18
218,549.95,199.34,582.7
219,543.61,185.18,615.22
220,566.11,184.64,605.09
221,542.29,187.89,598.2
222,567.43,185.97,631.58
223,543.29,187.89,604.4
224,554.8,189.41,612.25
225,555.0,190.25,613.06
226,569.11,184.11,626.08
227,560.87,185.18,613.5
228,570.86,180.58,601.82
229,573.0,189.19,620.4
230,556.04,203.04,593.2
231,547.29,185.97,617.36
232,572.5,183.65,602.81
233,555.84,185.97,628.05
234,544.83,187.89,603.16
235,553.93,185.29,613.67
236,560.98,199.34,607.2
237,554.95,199.34,594.62
238,539.87,200.52,593.76
239,553.67,188.28,594.47
240,587.18,190.26,644.77
241,530.56,204.98,590.31
242,547.31,191.97,607.21
243,573.74,185.97,613.92
244,569.36,185.18,624.16
245,581.5,193.21,621.59
246,567.66,200.52,615.66
247,563.05,183.29,620.28
248,561.63,185.97,604.89
249,567.74,191.04,606.79
250,569.55,185.97,614.5
251,531.07,187.89,598.0
252,590.48,183.29,646.56
253,537.11,194.45,605.8
254,561.3,200.18,604.25
255,546.94,182.38,619.94
256,544.95,184.64,614.78
257,548.05,185.97,612.28
258,550.84,183.82,606.38
259,554.93,201.86,593.74
260,562.27,184.87,607.0
261,545.9,189.41,636.58
262,541.16,185.29,602.87
263,534.21,185.97,596.88
264,539.39,184.11,605.04
265,540.86,181.94,610.91
266,591.52,181.13,639.8
267,547.59,180.71,606.06
268,551.59,180.87,616.72
269,569.86,184.34,611.19
270,527.08,185.97,589.29
271,560.42,189.09,610.39
272,557.84,203.11,604.98
273,545.93,185.97,608.2
274,531.91,202.19,590.7
275,556.66,180.87,627.55
276,541.83,185.18,611.2
277,570.31,195.52,618.39
278,557.35,200.52,599.87
279,549.06,185.18,618.3
280,575.89,189.28,613.09
281,542.28,182.98,616.44
282,542.47,194.45,603.26
283,543.02,194.71,604.0
284,561.85,190.78,600.52
285,547.26,185.29,610.38
286,561.45,190.25,620.66
287,558.23,180.87,597.75
288,548.58,191.4,612.91
289,543.6,200.52,596.07
290,558.36,200.52,602.29
291,558.28,185.85,609.88
292,553.84,182.21,629.66
293,533.47,185.97,592.71
294,578.63,185.18,627.48
295,541.08,182.65,605.57
296,568.35,190.26,616.67
297,562.85,185.97,614.92
298,568.69,190.26,624.12
299,559.6,182.65,610.79
300,538.28,185.29,604.84
301,560.92,190.25,616.04
302,543.32,184.64,612.57
303,565.35,193.5,612.94
304,592.06,185.18,645.74
305,544.02,203.58,609.29
306,532.72,201.86,583.13
307,573.52,185.97,610.68
308,570.65,198.45,603.98
309,547.84,185.18,613.75
310,566.96,185.18,605.69
311,562.48,183.99,594.77
312,541.1,183.87,611.81
313,529.01,204.98,584.09
314,570.41,185.97,617.6
315,563.78,185.18,612.47
316,570.05,190.78,616.76
317,544.46,183.29,606.68
318,566.37,190.78,609.95
319,576.75,190.25,616.32
320,576.96,200.52,600.93
321,546.6,184.11,613.28
322,554.79,183.29,623.15
323,586.49,195.52,625.09
324,562.72,203.11,593.83
325,576.69,193.19,614.65
326,560.62,181.94,619.61
327,572.21,189.98,615.24
328,563.52,203.11,600.8
329,564.24,185.97,618.41
330,566.83,185.97,603.51
331,579.87,185.97,614.62
332,552.39,187.89,614.16
333,563.42,198.45,606.86
334,583.03,184.87,611.45
335,586.4,177.83,672.37
336,533.64,189.99,597.14
337,556.85,185.05,592.37
338,564.26,184.11,630.83
339,579.4,184.34,632.24
340,553.63,185.05,585.08
341,561.96,185.97,617.46
342,567.43,185.97,628.85
343,542.32,185.97,607.53
344,541.84,188.28,609.21
345,542.43,190.25,605.25
346,561.14,185.18,615.45
347,579.92,183.82,633.91
348,559.8,185.18,614.99
349,567.69,188.6,612.65
350,530.77,204.98,594.42
351,554.2,189.41,621.23
352,565.26,185.97,605.84
353,568.97,185.97,607.08
354,561.42,189.41,629.64
355,545.38,184.64,613.12
356,545.19,180.87,619.34
357,560.28,200.18,602.8
358,561.86,203.04,592.05
359,546.88,176.82,627.81
360,560.96,183.29,622.15
361,552.94,180.87,619.69
362,565.55,185.05,610.04
363,566.45,190.25,618.85
364,559.5,182.65,629.28
365,570.56,193.5,614.71
366,550.35,194.45,618.8
367,562.2,189.41,631.97
368,548.92,185.18,618.46
369,557.86,190.78,589.6
370,576.43,185.97,615.93
371,570.62,203.11,597.81
372,538.62,183.29,599.5
373,557.43,183.71,628.11
374,569.35,195.74,615.99
375,572.16,185.18,595.66
376,558.51,190.25,617.68
377,556.87,185.97,611.58
378,555.11,190.25,619.96
379,541.2,191.4,611.58
380,565.84,193.5,620.03
381,564.55,180.87,641.45
382,540.42,194.71,599.33
383,552.27,201.86,576.72
384,549.51,185.29,613.67
385,556.86,193.5,598.34
386,567.7,185.97,604.18
387,528.1,201.86,582.98
388,585.04,182.42,626.45
389,551.25,203.11,588.05
390,555.2,203.11,600.5
391,561.35,185.97,594.78
392,562.77,193.18,605.03
393,567.5,191.04,606.18
394,569.67,185.18,614.44
395,549.52,183.29,613.0
396,567.65,185.97,607.76
397,572.22,184.11,614.36
398,575.34,185.97,617.28
399,573.76,185.18,622.12
400,568.52,184.87,612.12
401,554.51,189.41,611.31
402,566.29,201.86,608.91
403,598.17,177.89,659.4
404,573.93,183.29,632.46
405,547.15,184.83,613.36
406,565.79,185.97,615.91
407,542.32,183.82,605.33
408,557.89,193.83,593.54
409,539.04,187.89,594.72
410,560.38,185.97,614.86
411,582.15,185.97,621.21
412,568.51,184.64,594.81
413,538.27,195.52,598.56
414,565.55,188.82,609.29
415,574.89,179.08,603.08
416,565.79,201.86,598.05
417,548.92,183.29,618.79
418,580.27,183.82,624.54
419,527.96,200.52,579.49
420,562.46,176.82,633.94
421,550.22,184.64,621.32
422,577.47,190.9,620.24
423,561.97,189.41,624.91
424,568.45,185.97,617.45
425,547.2,180.73,606.04
426,566.15,189.41,629.49
427,567.93,201.86,595.38
428,553.07,200.18,593.24
429,542.18,194.45,602.56
430,543.01,201.86,571.0
431,573.58,184.34,608.22
432,555.47,184.36,618.67
433,570.92,193.83,620.61
434,570.85,185.97,607.93
435,553.41,189.64,609.61
436,568.68,180.58,604.4
437,539.38,185.97,605.64
438,538.48,194.45,601.0
439,563.14,185.97,599.79
440,584.54,185.18,625.13
441,551.58,193.65,610.66
442,569.52,185.18,596.89
443,569.83,190.78,615.77
444,553.77,185.18,606.74
445,558.72,185.97,613.93
446,569.31,193.18,610.77
447,551.69,183.29,626.49
448,578.33,193.18,622.04
449,560.74,203.04,600.49
450,569.33,193.83,619.28
451,564.04,185.97,620.89
452,574.33,193.19,618.37
453,528.62,202.19,591.37
454,585.54,185.18,628.86
455,559.59,180.87,627.42
456,544.38,201.86,570.11
457,559.13,182.65,608.28
458,562.48,183.29,607.73
459,549.31,184.42,604.96
460,557.4,193.5,593.3
461,556.51,201.86,599.22
462,550.33,181.94,609.15
463,563.65,195.52,613.14
464,531.85,202.19,587.97
465,572.23,187.92,610.25
466,544.31,185.97,609.68
467,548.63,187.89,614.57
468,559.48,200.18,600.54
469,563.81,184.11,626.65
470,573.44,185.97,614.57
471,566.47,193.19,613.72
472,541.42,185.97,601.99
473,561.88,203.11,611.57
474,552.41,185.98,627.62
475,558.48,203.11,591.77
476,559.05,185.18,612.11
477,549.48,183.82,613.24
478,560.23,194.45,593.45
479,539.5,193.86,610.0
480,554.44,185.85,604.28
481,565.3,184.64,606.3
482,577.24,193.21,612.09
483,567.97,185.18,613.84
484,547.39,181.94,609.04
485,547.93,183.29,626.44
486,577.32,184.87,641.53
487,583.73,177.83,664.68
488,554.44,183.29,616.57
489,546.49,185.97,607.02
490,561.31,183.82,635.55
491,571.5,187.92,608.31
492,566.37,193.5,608.03
493,544.08,183.82,614.68
494,566.64,185.18,590.31
495,559.75,198.45,600.28
496,558.24,184.14,619.08
497,536.37,195.52,597.8
498,556.78,201.86,600.9
499,573.33,193.18,615.65
