sid,area,power
0,2012.56,1966.32
1,1972.12,1997.91
2,2037.29,1987.96
3,2239.99,2243.12
4,2072.67,2012.82
5,2033.57,1975.20
6,2112.84,2094.99
7,2093.15,2019.79
8,2043.15,1995.11
9,2001.92,1996.74
10,2009.63,1956.58
11,2256.21,2253.01
12,2055.12,2007.67
13,2286.27,2252.57
14,1957.76,1938.55
15,2301.17,2340.38
16,2224.82,2265.49
17,2051.39,2012.84
18,2058.84,2004.16
19,2247.17,2277.38
20,2279.09,2254.64
21,2287.60,2307.72
22,1968.67,1930.25
23,2035.96,2007.70
24,2298.77,2281.22
25,2222.16,2296.30
26,2283.08,2245.06
27,2331.22,2284.36
28,2305.16,2257.54
29,2017.08,2010.59
30,2036.76,2004.92
31,2216.58,2225.80
32,2051.66,1992.48
33,2063.89,1966.47
34,2012.29,1993.14
35,1973.72,1970.46
36,1969.73,1954.30
37,2221.90,2297.21
38,1996.06,1958.76
39,2259.14,2223.48
40,2320.05,2281.89
41,2271.64,2299.48
42,1986.75,1925.98
43,2415.28,2399.66
44,2095.28,2031.14
45,2049.00,2018.62
46,2246.37,2283.29
47,2307.28,2268.47
48,2088.63,2083.62
49,2291.86,2303.65
50,2028.25,2010.10
51,2236.53,2234.17
52,2301.43,2345.58
53,2283.88,2269.72
54,2027.72,1978.91
55,2009.90,1967.97
56,2268.71,2311.15
57,2214.98,2282.11
58,1985.16,1965.26
59,2306.49,2347.31
60,2021.87,2005.81
61,2008.57,1986.18
62,2238.92,2302.31
63,2235.73,2293.44
64,2010.69,1968.99
65,2230.94,2272.63
66,2216.05,2275.41
67,2317.13,2282.12
68,2033.30,1968.17
69,2046.60,1975.15
70,2209.13,2265.54
71,2086.24,1989.10
72,2315.00,2299.55
73,2293.19,2286.74
74,2199.55,2246.59
75,2234.67,2268.94
76,2042.08,2003.64
77,2023.73,1971.33
78,2288.66,2308.36
79,2088.63,2066.47
80,2009.36,1981.05
81,2318.99,2289.01
82,2004.04,1979.37
83,2302.23,2301.02
84,2019.47,1973.74
85,2175.08,2267.30
86,1953.24,1913.87
87,2271.37,2302.39
88,2234.13,2294.81
89,2301.96,2269.20
90,2014.68,1984.97
91,2025.06,1977.43
92,2275.36,2324.76
93,2252.75,2225.55
94,2017.88,1968.23
95,2271.64,2296.25
96,2234.13,2225.88
97,2032.24,2009.42
98,2292.65,2252.90
99,2308.35,2296.48
100,1947.12,1914.08
101,2013.89,2010.54
102,2289.46,2325.98
103,2010.43,1948.03
104,2220.83,2246.96
105,2133.05,2121.15
106,2285.74,2294.57
107,2280.42,2249.87
108,2015.48,1927.29
109,2332.55,2295.52
110,2296.64,2305.58
111,2016.28,1944.20
112,2186.52,2227.33
113,2325.64,2309.51
114,2046.87,1994.32
115,2303.03,2255.66
116,2267.92,2264.04
117,2267.92,2322.91
118,1980.37,1929.11
119,2097.14,2118.18
120,2052.99,1987.78
121,2057.51,1980.54
122,2269.51,2312.46
123,1991.28,1964.41
124,2317.39,2330.87
125,1935.68,1930.88
126,2306.75,2323.98
127,1995.27,1946.02
128,2043.15,1986.98
129,2283.34,2262.32
130,2246.37,2293.62
131,2286.54,2297.33
132,2229.88,2292.50
133,2302.50,2302.60
134,2268.98,2306.52
135,2044.21,1986.24
136,2052.99,1978.42
137,2058.31,2155.32
138,2106.45,2026.02
139,2321.65,2328.22
140,2061.77,2015.39
141,2042.35,1996.93
142,2094.48,2016.89
143,2267.38,2285.65
144,2021.33,1957.83
145,2103.53,2035.95
146,1945.79,1929.37
147,1993.14,1967.74
148,2324.57,2327.30
149,2025.59,1975.19
150,2017.34,1967.15
151,2260.20,2282.29
152,2311.27,2333.76
153,2282.01,2277.70
154,2216.84,2231.59
155,2145.02,2122.35
156,2090.49,2054.43
157,2402.51,2394.19
158,2237.06,2287.18
159,2226.42,2299.99
160,2023.73,1969.03
161,2057.78,1992.11
162,2293.19,2309.86
163,2183.06,2255.24
164,2018.14,1975.70
165,2051.13,1986.35
166,2277.49,2303.76
167,1971.86,1924.57
168,1953.77,1912.16
169,2063.36,2003.92
170,2035.96,2023.89
171,2271.64,2298.63
172,2048.73,2003.45
173,2291.59,2272.08
174,2253.02,2246.70
175,2035.43,1997.31
176,2002.45,1982.62
177,2025.06,1992.70
178,1977.18,1962.76
179,2062.03,1991.04
180,2039.16,1964.88
181,2276.96,2231.63
182,2154.33,2248.35
183,2251.42,2291.30
184,2012.56,2057.57
185,2086.77,2024.27
186,2335.21,2356.63
187,2298.24,2246.54
188,2221.90,2282.42
189,2271.37,2234.02
190,2277.76,2239.12
191,2041.82,1971.45
192,2075.07,1995.82
193,2318.19,2326.34
194,2032.77,2070.69
195,2002.45,1983.62
196,2316.86,2319.75
197,2325.37,2332.40
198,2276.69,2292.59
199,1976.91,1967.69
200,2297.71,2298.53
201,2300.63,2315.47
202,2301.70,2304.07
203,2050.59,1993.63
204,2052.19,2009.66
205,2004.31,1979.04
206,2041.82,1977.91
207,2122.41,2072.53
208,2322.71,2336.28
209,2293.19,2290.84
210,2403.58,2397.28
211,1969.46,1947.31
212,2014.42,1971.57
213,1989.41,1958.72
214,2046.87,1972.49
215,2284.94,2242.95
216,2055.38,2005.13
217,2038.36,1992.59
218,2013.89,1997.53
219,2249.30,2224.48
220,2065.22,1996.64
221,2070.01,2008.46
222,1987.29,1997.04
223,2013.62,1952.72
224,2316.59,2303.04
225,1980.10,1949.03
226,2207.53,2234.06
227,2040.49,1990.74
228,2313.93,2291.13
229,2332.29,2352.25
230,2070.81,2012.75
231,2261.53,2279.49
232,2254.62,2295.14
233,2251.42,2286.74
234,2017.08,1981.94
235,2026.12,2013.60
236,2044.21,1997.77
237,2070.01,2012.78
238,1961.48,1958.04
239,2218.44,2270.45
240,2299.84,2269.94
241,1992.34,1943.62
242,2267.92,2230.97
243,2412.62,2401.77
244,2258.61,2272.78
245,2057.24,2003.76
246,2035.96,2004.06
247,2272.97,2285.88
248,2330.43,2282.50
249,2114.70,2043.11
250,2283.88,2274.84
251,2007.50,1949.70
252,2283.34,2278.80
253,1985.69,1964.67
254,2049.26,1988.02
255,2251.16,2271.18
256,2254.88,2217.09
257,2009.63,1962.29
258,2255.15,2297.81
259,2035.70,1952.54
260,2325.11,2346.42
261,2053.79,2043.38
262,2050.59,2010.02
263,2287.60,2246.12
264,2304.89,2252.90
265,2223.76,2258.95
266,2314.47,2342.94
267,2012.82,1954.49
268,2250.36,2247.08
269,2190.51,2219.63
270,2166.04,2258.66
271,2290.79,2299.20
272,2053.52,2025.12
273,2047.67,1993.15
274,1997.13,1953.28
275,1996.33,1956.80
276,1935.95,1942.92
277,2065.22,2022.70
278,2050.06,2014.39
279,2235.73,2280.86
280,2253.82,2245.79
281,2270.58,2289.10
282,1971.06,1959.63
283,2018.94,1985.69
284,2068.15,2047.28
285,2006.97,1971.31
286,2064.96,1998.60
287,2295.85,2255.31
288,1973.72,1938.83
289,2023.20,1992.99
290,2046.87,2016.51
291,2225.89,2202.68
292,2177.48,2272.44
293,2201.95,2260.12
294,2292.39,2254.64
295,2265.79,2230.03
296,2189.98,2184.03
297,2033.30,1992.29
298,2265.26,2290.80
299,1971.59,1937.14
300,2054.05,2015.07
301,2021.87,1984.68
302,2227.22,2242.38
303,2410.23,2400.94
304,2021.60,1968.88
305,2226.69,2271.60
306,2056.98,1987.53
307,2290.79,2308.70
308,1981.97,1956.26
309,2218.71,2272.37
310,2077.73,2012.60
311,2208.33,2250.30
312,2269.25,2242.55
313,1977.44,1933.93
314,2259.94,2278.64
315,2306.75,2279.71
316,2041.55,2014.35
317,2288.13,2289.83
318,2030.64,1993.57
319,2079.06,2020.13
320,2055.65,2048.13
321,2160.19,2161.30
322,2187.05,2228.69
323,2085.71,2049.19
324,2044.48,2009.17
325,2311.27,2323.05
326,2311.27,2256.21
327,2249.56,2292.55
328,2070.54,2007.83
329,2404.64,2396.32
330,2004.84,1990.48
331,2075.60,2022.20
332,1909.61,1934.09
333,2081.98,2011.11
334,2310.21,2314.20
335,2285.47,2256.52
336,1989.95,1965.04
337,2064.16,2032.26
338,2237.59,2257.06
339,2204.87,2272.28
340,2083.84,1996.00
341,2328.83,2267.40
342,2279.09,2288.62
343,2006.44,1948.56
344,2312.34,2259.86
345,2007.77,1980.84
346,1979.04,1948.57
347,2285.47,2287.83
348,2290.53,2288.82
349,2044.48,2002.91
350,2009.36,1915.71
351,2326.97,2321.06
352,2406.77,2397.29
353,2321.12,2258.33
354,2000.05,1958.75
355,2034.37,2011.12
356,2241.05,2278.30
357,2008.30,1978.72
358,2017.08,1970.38
359,2286.80,2219.36
360,2281.48,2265.49
361,2275.90,2280.79
362,2047.93,2016.34
363,2018.41,1966.28
364,2303.29,2277.05
365,2094.22,2054.88
366,1998.99,1946.25
367,1995.53,1936.99
368,1970.00,1924.80
369,2055.65,2004.82
370,2056.18,2014.52
371,1991.28,1976.25
372,2176.68,2202.58
373,2234.93,2279.13
374,2365.27,2332.95
375,2017.88,1936.55
376,2256.48,2308.58
377,2289.20,2296.78
378,2014.68,1945.90
379,2054.05,1989.49
380,2401.98,2393.27
381,2265.26,2227.52
382,1982.76,1963.16
383,1992.61,1999.58
384,1964.68,1978.90
385,1996.60,1973.44
386,2093.69,2020.82
387,1993.94,1934.09
388,2268.71,2316.71
389,2012.29,1972.34
390,2061.77,2022.65
391,2296.91,2360.74
392,2005.11,2025.98
393,2090.49,2050.22
394,2341.86,2362.45
395,2269.51,2233.58
396,2043.68,1995.14
397,2264.99,2277.67
398,2266.05,2313.68
399,2059.90,2011.25
400,2230.94,2258.44
401,2235.20,2286.66
402,2074.27,2023.96
403,2224.03,2274.28
404,2339.20,2278.18
405,2260.20,2259.46
406,2266.59,2263.49
407,2288.13,2288.92
408,2065.76,2011.76
409,2032.51,1976.87
410,1978.77,1960.23
411,2249.30,2314.28
412,2083.58,2006.52
413,1994.20,1961.96
414,2037.03,1985.68
415,2309.94,2345.46
416,2077.46,2013.92
