sid,Area,Delay,Power
0,1957.73,502.02,1989.28
1,2035.46,489.43,2073.26
2,1972.0,477.15,2014.37
3,2149.33,482.72,2274.6
4,1991.66,466.69,2006.52
5,2017.0,475.68,2061.96
6,2017.63,510.33,2052.56
7,2015.93,484.25,2021.47
8,2073.47,488.59,2057.68
9,1959.78,496.74,1997.36
10,1991.96,477.31,2011.97
11,2131.74,481.26,2257.73
12,1987.67,481.75,2021.05
13,2097.73,479.44,2252.08
14,1961.22,477.25,2002.89
15,2228.14,467.34,2297.76
16,2154.12,485.86,2271.17
17,1901.56,500.71,1953.01
18,2028.88,484.59,2064.11
19,2142.78,482.46,2297.18
20,2153.83,475.74,2221.73
21,2175.27,479.44,2308.65
22,1991.24,476.73,1998.73
23,1981.31,479.82,2023.24
24,2186.34,466.99,2271.37
25,2098.06,472.17,2262.06
26,2106.44,470.4,2237.51
27,2150.73,481.26,2247.73
28,2213.92,482.72,2265.94
29,1998.51,500.01,2036.32
30,1918.44,488.74,2010.06
31,2152.63,475.74,2224.03
32,1985.76,471.9,2005.05
33,2057.53,480.79,2014.44
34,1969.03,482.76,1983.98
35,1985.14,471.55,2025.89
36,1902.3,481.64,1977.97
37,2203.15,469.64,2330.94
38,1924.63,477.5,1967.53
39,2117.36,468.58,2262.97
40,2227.63,482.46,2296.01
41,2207.32,472.74,2308.16
42,2042.49,483.63,2010.86
43,2270.77,493.95,2304.2
44,1973.23,481.93,2002.77
45,2029.75,486.57,2022.56
46,2189.79,461.23,2317.19
47,2206.61,476.85,2256.0
48,2034.59,474.49,2082.17
49,2256.1,456.5,2328.33
50,1958.79,481.43,1993.79
51,2150.34,474.86,2229.5
52,2200.35,467.84,2278.63
53,2223.17,480.19,2293.4
54,1964.46,483.14,2028.71
55,1968.31,476.83,1980.27
56,2099.95,479.36,2209.35
57,2103.65,459.94,2278.74
58,1991.93,464.94,2039.26
59,2177.94,477.4,2319.28
60,1968.0,500.52,2002.96
61,2044.76,481.55,2044.41
62,2048.28,479.36,2194.0
63,2094.19,465.36,2220.6
64,2047.92,467.22,2006.43
65,2140.97,460.01,2283.35
66,2089.02,478.79,2206.48
67,2230.29,479.44,2280.92
68,2051.56,474.73,2021.86
69,1956.5,472.49,1990.79
70,2194.61,460.66,2337.89
71,2045.66,493.11,2035.17
72,2215.37,472.74,2315.98
73,2195.95,481.26,2306.55
74,2127.58,475.74,2176.49
75,2072.48,476.87,2218.15
76,2027.35,472.81,1991.37
77,2025.81,475.45,1979.56
78,2179.35,466.81,2292.4
79,2029.38,491.77,2097.48
80,1914.96,483.14,1988.91
