sid,Area,Delay,Power
0,18840.6,83136.79,22567.57
1,20281.43,83811.77,25098.1
2,19044.78,83146.18,22869.3
3,20759.39,83146.83,25750.07
4,18721.41,83173.91,22426.02
5,18722.44,83148.28,22470.41
6,21053.15,84118.65,26125.43
7,18889.69,83158.74,22647.4
8,20913.83,83466.02,25956.76
9,19411.16,83120.62,23952.68
10,19953.88,83539.27,24644.97
11,19193.49,83141.5,23681.24
12,22357.81,82932.81,27816.78
13,17470.0,83747.03,21238.31
14,19091.64,83109.84,23298.59
15,19357.32,83176.99,23861.3
16,21123.07,82725.82,26010.26
17,20596.89,82911.15,24935.45
18,19622.75,83352.91,23630.83
19,20273.45,82984.86,25246.57
20,19872.03,82911.45,24632.58
21,19285.9,83156.64,23838.51
22,20869.05,83088.2,26115.58
23,21242.49,83196.8,26521.94
24,19426.78,83166.24,23988.16
25,21274.34,83984.2,26544.94
26,19267.6,83153.77,23844.85
27,19957.71,83539.07,24634.69
28,19422.72,83490.18,23990.74
29,19903.66,83464.3,24410.4
30,19542.62,83145.19,23979.16
31,20661.08,83361.6,25642.91
32,18717.17,83847.26,22454.09
33,20254.8,83298.55,25088.86
34,19070.69,83148.55,22908.42
35,19967.65,83133.36,24509.73
36,20456.44,83664.92,24801.95
37,22440.97,82539.48,28003.7
38,19592.61,82868.01,23664.19
39,19663.94,83203.71,24277.45
40,21343.1,83521.38,26679.76
41,20600.81,83176.89,25549.37
42,20328.76,82672.66,25249.2
43,20531.82,82913.75,24832.86
44,17423.38,83988.27,20807.18
45,20384.57,83436.38,25257.54
46,20198.72,82931.24,25057.37
47,19962.78,83200.76,24694.43
48,19615.99,83230.67,24347.3
49,21010.29,84120.07,26058.42
50,19669.65,83039.45,23732.83
51,21877.79,83223.7,27217.29
52,19199.49,83180.22,23598.53
53,20798.17,83480.15,25775.81
54,20364.28,83674.85,24661.51
55,21650.4,83318.62,26837.62
56,19319.31,82754.93,23707.08
57,22340.93,83206.56,27963.21
58,20229.67,82954.93,25064.3
59,17548.28,84075.59,21433.72
60,20608.95,83260.05,24938.28
61,19931.16,84508.02,24510.62
62,20324.87,82981.24,25243.7
63,19691.87,83218.27,24446.81
64,21802.05,84221.85,27383.41
65,20895.52,84137.74,25861.99
66,19203.74,83151.81,23750.28
67,19250.7,83156.84,23807.68
