sid,area,power
0,297.92,384.68
1,277.70,355.46
2,320.26,401.31
3,320.80,396.76
4,292.60,364.75
5,287.28,366.44
6,306.96,402.07
7,294.73,365.12
8,320.80,396.76
9,287.28,366.44
10,320.80,396.76
11,298.72,384.27
12,288.88,366.23
13,297.92,384.68
14,271.05,345.47
15,298.98,384.27
16,264.14,336.33
17,298.72,384.27
18,281.16,344.88
19,285.15,354.10
20,281.69,369.24
21,298.72,384.26
22,272.12,345.42
23,273.98,347.53
24,320.80,396.76
25,278.77,357.78
26,298.72,384.27
27,293.93,363.89
28,320.53,402.08
29,299.78,385.50
30,308.83,388.91
31,312.82,401.92
32,297.12,380.36
33,289.14,367.28
34,268.66,335.18
35,321.59,403.09
36,284.89,347.49
37,280.90,369.32
38,288.34,357.64
39,298.72,384.26
40,289.14,367.28
41,289.14,358.80
42,294.99,367.56
43,285.95,354.57
44,300.31,385.68
45,289.14,367.28
46,313.61,403.15
47,293.93,363.89
48,285.95,354.56
49,290.47,369.64
50,295.79,379.10
51,291.27,370.91
52,298.98,384.27
53,319.47,395.12
54,296.06,381.27
55,289.14,358.80
56,285.95,353.69
57,266.80,337.41
58,307.76,389.32
59,294.73,365.12
60,298.72,384.26
61,304.30,390.51
62,287.28,366.44
63,293.13,363.45
64,266.80,339.33
65,306.96,401.97
66,288.08,366.03
67,293.13,363.46
68,276.91,346.77
69,293.93,363.89
70,295.79,360.43
71,288.08,366.04
72,319.73,400.85
73,298.98,384.27
74,305.10,391.57
75,298.45,384.86
76,310.69,390.39
77,307.50,375.78
78,297.92,384.68
79,319.73,400.85
80,320.26,401.31
81,285.95,354.57
82,285.15,354.97
83,293.66,363.88
84,300.85,387.81
85,298.72,384.26
86,279.57,357.71
87,287.28,366.45
88,292.87,364.32
89,307.76,389.32
90,273.98,347.53
91,294.20,364.82
92,287.28,366.44
93,306.96,401.10
94,321.59,397.99
95,311.49,391.61
96,310.69,390.39
97,294.73,365.12
98,305.10,391.57
99,321.59,397.99
100,299.52,377.36
101,272.38,346.06
102,299.78,385.50
103,320.80,396.76
104,262.81,334.16
105,293.13,363.46
106,285.95,353.69
107,269.46,336.28
108,309.62,401.34
109,285.15,354.11
110,293.13,363.46
111,298.98,384.27
112,288.08,378.32
113,320.26,401.31
114,298.72,384.26
115,289.67,379.79
116,295.26,365.30
117,292.33,363.86
118,313.61,403.15
119,294.73,365.12
120,288.34,357.64
121,294.73,365.12
122,306.96,401.97
123,319.47,395.12
124,299.25,384.45
125,319.47,395.12
126,286.22,354.58
127,320.26,401.31
128,313.61,403.15
129,319.47,395.12
130,320.26,401.31
131,320.80,396.76
132,264.94,336.43
133,319.47,395.12
134,312.82,401.92
135,294.20,364.07
136,270.52,336.23
137,279.57,356.83
138,298.72,384.26
139,285.15,354.98
140,292.07,363.91
141,294.99,366.46
142,288.08,366.03
143,279.57,356.83
144,271.05,345.47
145,298.98,383.73
146,310.16,392.67
147,311.49,388.96
148,298.45,384.86
149,262.01,324.28
150,292.07,364.33
151,305.10,391.67
152,294.20,364.82
153,261.21,324.17
154,288.34,357.64
155,298.98,384.27
156,299.25,384.45
157,285.95,354.56
158,264.94,336.43
159,308.56,389.41
160,269.46,336.28
161,286.22,354.58
162,312.82,401.92
163,292.60,374.23
164,311.49,391.61
165,288.34,366.05
166,262.54,325.17
167,300.58,378.28
168,271.05,345.47
169,289.14,368.32
170,308.83,388.90
171,320.26,401.31
172,298.98,384.27
173,319.47,395.12
174,298.72,384.27
175,306.96,401.98
176,287.01,378.38
177,320.26,401.31
178,320.80,396.76
179,298.98,386.03
180,284.89,366.84
181,311.49,390.73
182,287.55,379.90
183,309.36,390.44
184,320.80,396.76
185,287.01,366.91
186,298.98,384.27
187,290.74,370.46
188,313.61,403.15
189,321.59,397.99
190,297.92,384.68
191,292.87,364.31
192,298.72,384.27
193,286.48,355.51
194,307.76,389.31
195,293.93,357.86
196,285.95,353.70
197,288.34,366.05
198,281.16,369.16
199,285.15,354.98
200,319.73,400.85
201,320.80,396.76
202,297.92,384.67
203,321.06,396.87
204,283.29,371.26
205,272.38,346.06
206,297.92,384.67
