sid,Area,Delay,Power
0,293.92,130.36,384.62
1,256.24,126.92,326.06
2,282.25,124.6,348.72
3,287.02,124.6,375.73
4,295.81,130.36,369.96
5,293.92,130.36,384.57
6,284.15,126.92,374.11
7,295.8,130.36,369.84
8,286.47,124.6,375.29
9,293.91,130.36,384.61
10,286.47,124.6,375.29
11,293.63,130.36,384.18
12,292.58,130.36,382.47
13,293.91,130.36,384.65
14,281.49,123.94,366.01
15,294.71,130.36,384.9
16,272.76,123.94,353.81
17,294.17,130.36,384.66
18,294.74,130.36,369.8
19,288.61,130.36,356.1
20,261.65,123.94,357.18
21,294.17,130.36,384.65
22,282.28,123.94,367.15
23,281.75,123.94,366.66
24,287.02,124.6,375.73
25,256.52,126.92,327.09
26,294.18,130.36,384.62
27,295.8,130.36,369.86
28,295.43,126.92,368.08
29,294.71,130.36,384.89
30,256.23,126.92,330.58
31,261.38,123.94,361.04
32,294.19,130.36,383.73
33,294.71,130.36,384.85
34,278.31,126.92,348.45
35,282.51,124.6,349.43
36,270.9,121.47,333.47
37,259.25,123.94,355.48
38,279.7,123.94,364.57
39,294.17,130.36,384.65
40,294.71,130.36,384.85
41,278.92,123.94,363.89
42,272.99,123.94,358.1
43,295.26,130.36,370.34
44,292.58,130.36,382.49
45,294.71,130.36,384.85
46,261.1,123.94,361.08
47,295.8,130.36,369.86
48,295.26,130.36,370.33
49,276.28,123.94,343.68
50,293.66,130.36,384.09
51,276.28,123.94,343.68
52,294.71,130.36,384.9
53,287.0,124.6,375.87
54,277.36,121.47,346.02
55,280.78,123.94,365.39
56,288.87,130.36,356.1
57,274.34,123.94,355.61
58,255.99,126.92,330.63
59,295.8,130.36,369.84
60,294.17,130.36,384.65
61,292.8,123.94,387.73
62,293.37,130.36,384.13
63,289.94,130.36,358.02
64,278.33,119.06,364.51
65,261.87,126.92,336.52
66,293.63,130.36,384.14
67,289.94,130.36,358.03
68,270.65,126.68,337.08
69,295.8,130.36,369.86
70,270.37,123.94,336.74
71,294.17,130.36,384.62
72,294.89,126.92,367.85
73,294.71,130.36,384.9
74,264.35,123.94,364.68
75,291.78,130.36,382.26
76,256.5,126.92,329.69
77,297.47,118.49,388.69
78,293.91,130.36,384.65
79,294.89,126.92,367.85
80,282.25,124.6,348.72
81,289.94,130.36,358.02
82,295.0,130.36,370.33
83,295.26,130.36,369.61
84,295.75,130.36,387.16
85,294.18,130.36,384.61
86,256.77,126.92,325.82
87,293.91,130.36,384.62
88,288.61,130.36,356.11
89,255.99,126.92,330.63
90,281.2,123.94,366.22
91,296.6,130.36,371.68
92,293.91,130.36,384.61
93,262.26,123.94,344.9
94,287.56,124.6,375.96
95,256.77,126.92,330.17
96,256.5,126.92,329.69
97,295.8,130.36,369.84
98,264.35,123.94,364.68
99,287.56,124.6,375.96
100,283.62,118.49,369.54
101,281.73,123.94,366.72
102,294.71,130.36,384.89
103,286.47,124.6,375.29
104,272.74,123.94,353.58
105,289.94,130.36,358.03
106,288.87,130.36,356.1
107,276.72,123.94,342.84
108,304.81,121.0,412.52
109,288.61,130.36,356.11
110,289.94,130.36,358.03
111,294.71,130.36,384.9
112,267.99,123.94,367.92
113,282.25,124.6,348.72
114,294.17,130.36,384.65
115,267.98,123.94,367.79
116,293.67,130.36,367.45
117,289.68,130.36,358.01
118,261.65,123.94,361.52
119,295.8,130.36,369.84
120,277.84,123.94,363.07
121,295.8,130.36,369.84
122,260.28,126.92,334.39
123,287.0,124.6,375.87
124,292.04,130.36,382.26
125,287.55,124.6,376.31
126,295.8,130.36,370.59
127,282.25,124.6,348.72
128,261.1,123.94,361.08
129,287.55,124.6,376.31
130,282.25,124.6,348.72
131,286.47,124.6,375.29
132,273.29,123.94,354.31
133,287.0,124.6,375.87
134,260.83,123.94,360.6
135,293.13,130.36,367.21
136,277.51,123.94,343.98
137,256.88,123.94,334.0
138,294.18,130.36,384.61
139,295.0,130.36,370.34
140,288.89,130.36,356.16
141,287.8,130.36,355.08
142,294.17,130.36,384.61
143,256.88,123.94,334.0
144,281.49,123.94,366.01
145,295.24,130.36,385.25
146,257.57,125.0,332.38
147,257.58,124.94,331.46
148,291.79,130.36,382.22
149,269.31,123.94,331.98
150,290.49,130.36,358.37
