sid,Area,Delay,Power
0,6185.64,845.85,5180.43
1,6277.25,818.34,5410.01
2,6221.92,828.49,5260.31
3,6170.53,828.5,5344.04
4,6271.96,842.11,5200.19
5,6274.79,843.04,5179.4
6,6226.36,849.51,5365.39
7,6160.95,847.74,5164.28
8,6309.55,865.9,5307.41
9,6154.89,838.05,5227.58
10,6205.54,849.85,5235.27
11,6327.71,832.73,5384.25
12,6222.77,842.61,5250.48
13,6209.01,813.85,5249.55
14,6074.06,836.39,5190.73
15,6222.47,828.88,5347.27
16,6154.37,831.83,5245.23
17,6293.06,874.53,5137.21
18,6207.64,835.34,5246.38
19,6226.82,844.59,5215.91
20,6223.35,848.2,5388.21
21,6078.05,835.43,5224.52
22,6071.48,830.28,5186.39
23,6090.65,850.44,5150.33
24,6173.22,843.93,5313.1
25,6150.03,850.84,5336.36
26,6340.59,823.1,5290.35
27,6281.71,843.53,5255.81
28,6201.75,833.29,5261.14
29,6246.54,829.09,5291.87
30,6142.24,842.21,5207.35
31,6257.35,833.38,5306.47
32,6188.8,850.2,5250.95
33,6295.66,844.1,5319.76
34,6105.64,828.29,5168.77
35,6171.24,847.02,5187.85
36,6211.49,836.72,5231.87
37,6214.22,822.64,5240.34
38,6178.74,859.19,5299.42
39,6329.54,829.89,5450.41
40,6255.84,833.21,5389.27
41,6296.25,831.28,5333.1
42,6241.0,825.75,5302.27
43,6399.15,877.72,5228.86
44,6353.99,845.03,5276.86
45,6148.53,858.44,5115.17
46,6206.14,843.26,5342.66
47,6264.83,838.82,5316.04
48,6338.89,837.59,5225.64
49,6228.34,846.65,5363.7
50,6204.5,843.54,5299.38
51,6184.1,851.98,5340.82
52,6280.46,831.72,5331.85
53,6304.32,862.5,5375.02
54,6226.18,868.3,5180.0
55,6159.51,846.11,5283.67
56,6236.53,842.04,5264.75
57,6208.85,835.6,5366.04
58,6110.27,827.86,5193.98
59,6211.71,858.44,5200.42
60,6403.83,874.19,5195.27
61,6212.33,837.42,5244.12
62,6299.89,808.97,5287.26
63,6217.66,848.64,5215.49
64,6245.03,835.57,5292.87
65,6269.7,831.9,5395.95
66,6187.27,849.78,5304.58
67,6283.81,845.98,5350.35
68,6074.81,847.13,5211.78
69,6108.03,848.99,5155.79
70,6125.5,834.01,5235.39
71,6264.21,833.03,5163.43
72,6250.14,842.19,5258.48
73,6330.72,836.97,5367.19
74,6130.6,834.02,5273.8
75,6237.22,841.64,5327.0
76,6157.68,837.54,5212.99
77,6066.78,853.16,5156.56
78,6260.45,847.45,5294.97
79,6128.35,821.9,5195.52
80,6289.35,846.24,5256.2
81,6269.72,842.25,5385.24
82,6206.26,830.07,5233.08
83,6162.42,843.38,5231.26
84,6407.56,878.91,5192.16
85,6146.62,819.92,5272.72
86,6086.35,848.2,5200.62
87,6182.11,821.65,5318.95
88,6316.3,847.43,5281.24
89,6187.24,826.7,5295.58
90,6264.39,832.39,5353.18
91,6152.2,845.87,5198.42
92,6260.23,828.14,5359.28
93,6149.34,825.21,5307.58
94,6161.74,855.4,5217.09
95,6279.88,865.56,5414.28
96,6201.65,829.8,5298.42
97,6243.19,835.59,5330.4
98,6174.13,839.29,5326.64
99,6190.38,843.18,5240.09
100,6203.18,849.31,5262.72
101,6288.43,830.82,5271.35
102,6218.1,823.8,5308.25
103,6142.71,846.48,5166.39
104,6176.91,831.14,5276.55
105,6263.05,820.28,5278.44
106,6276.42,835.76,5315.25
107,6170.25,838.4,5292.5
108,6288.09,851.43,5395.19
109,6297.74,846.16,5306.94
110,6194.89,829.76,5291.9
111,6235.3,852.21,5201.67
112,6157.48,831.85,5278.24
113,6295.02,838.03,5357.38
114,6208.59,838.72,5231.43
115,6301.52,845.6,5405.54
116,6189.09,830.04,5264.05
117,6159.02,827.99,5290.38
118,6088.23,837.41,5151.58
119,6267.3,843.36,5265.25
120,6314.19,843.47,5324.53
121,6088.11,866.33,5152.11
122,6282.49,845.56,5269.12
123,6134.83,828.94,5261.01
124,6386.39,845.08,5430.26
125,6044.87,853.58,5126.23
126,6412.73,873.11,5292.91
127,6231.58,846.08,5248.45
128,6183.92,843.45,5296.76
129,6199.77,846.76,5289.15
130,6206.24,831.87,5269.69
131,6092.03,834.31,5254.44
132,6191.06,823.2,5175.09
133,6270.85,864.91,5366.71
134,6264.61,867.04,5264.93
135,6308.24,852.17,5247.5
136,6119.11,834.96,5162.02
137,6179.63,843.42,5292.02
138,6226.69,840.72,5150.07
139,6344.49,826.7,5163.1
140,6210.1,827.29,5233.35
141,6201.87,842.13,5293.48
142,6270.72,838.45,5286.69
143,6214.5,816.92,5271.37
144,6200.21,833.06,5192.14
145,6299.42,837.35,5277.81
146,6076.72,849.03,5153.78
147,6168.59,832.33,5301.95
148,6321.94,828.38,5386.89
149,6209.26,838.52,5196.8
150,6303.32,839.02,5217.19
151,6270.91,834.58,5451.03
152,6254.04,829.04,5314.39
153,6092.93,836.53,5273.82
154,6269.07,844.9,5322.5
155,6163.58,852.85,5236.91
156,6294.36,832.77,5286.06
157,6344.59,881.44,5175.78
158,6218.15,832.29,5299.77
159,6262.9,829.92,5376.43
160,6183.83,833.62,5100.34
161,6218.99,875.46,5120.79
162,6238.61,843.98,5316.98
163,6124.2,811.58,5243.47
164,6027.7,855.82,5127.72
165,6338.82,867.96,5142.99
166,6215.02,818.46,5435.66
167,6166.44,848.36,5274.83
168,6151.18,846.13,5285.3
169,6238.56,839.04,5278.18
170,6309.44,837.37,5300.06
171,6250.63,843.88,5304.76
172,6153.01,879.47,5176.54
173,6297.46,841.0,5343.92
174,6293.89,823.76,5372.65
175,6160.73,841.66,5215.96
176,6278.55,821.05,5326.68
177,6185.06,869.9,5194.46
178,6291.6,836.22,5355.6
179,6118.81,838.08,5182.25
180,6281.04,839.88,5246.09
181,6195.23,833.72,5291.24
182,6282.13,818.6,5317.91
183,6230.48,836.11,5364.54
184,6164.72,847.97,5275.69
185,6422.14,843.42,5267.5
186,6262.39,839.87,5340.78
187,6244.8,839.77,5355.18
188,6143.31,841.2,5378.28
189,6181.94,844.18,5310.19
190,6318.16,830.31,5363.05
191,6212.47,852.92,5158.72
192,6166.84,832.49,5283.39
193,6247.97,840.89,5334.71
194,6243.39,847.03,5237.43
195,6125.83,823.53,5288.36
196,6324.74,825.76,5239.75
197,6216.26,840.49,5319.24
198,6071.97,834.18,5294.76
199,6280.49,885.18,5093.51
200,6051.51,845.09,5217.98
201,6317.77,873.01,5380.1
202,6423.99,835.43,5347.96
203,6262.32,874.33,5204.83
204,6173.14,833.33,5279.13
205,6163.9,842.19,5122.0
206,6130.92,839.25,5181.57
207,6331.01,838.9,5342.14
208,6238.72,845.3,5365.56
209,6212.47,849.87,5309.78
210,6292.01,882.25,5178.49
211,6265.26,851.46,5275.12
212,6238.69,847.11,5205.18
213,6312.82,867.45,5210.59
214,6252.54,847.57,5287.77
215,6019.98,848.98,5078.33
216,6245.33,855.3,5386.94
217,6254.75,838.58,5206.12
218,6300.64,839.55,5337.63
219,6077.45,842.6,5277.0
220,6228.35,829.49,5282.58
221,6130.37,853.15,5249.11
222,6357.23,835.18,5201.65
223,6289.78,861.21,5317.86
224,6258.03,843.01,5294.76
225,6301.64,848.34,5306.91
226,6283.7,831.71,5278.34
227,6206.08,829.29,5294.02
228,6271.44,844.1,5461.67
229,6342.97,841.79,5386.3
230,6292.36,876.94,5093.35
231,6229.52,847.12,5321.75
232,6264.7,829.25,5404.32
233,6248.37,837.81,5313.46
234,6152.99,835.45,5215.18
235,6187.58,843.07,5305.65
236,6165.67,829.17,5195.7
237,6206.71,875.89,5033.1
238,6288.6,853.26,5235.02
239,6250.78,828.03,5327.51
240,6270.08,850.18,5262.73
241,6053.81,841.56,5197.87
242,6136.34,842.88,5270.41
243,6347.34,883.79,5240.26
244,6308.28,861.4,5364.57
245,6231.59,832.39,5289.57
246,6236.69,826.62,5223.49
247,6212.53,856.14,5333.66
248,6240.13,844.46,5355.98
249,6190.3,838.43,5338.89
250,6174.31,847.49,5293.91
251,6136.41,836.41,5300.83
252,6203.13,830.14,5297.65
253,6040.01,814.37,5154.62
254,6201.22,844.11,5113.74
255,6192.04,837.37,5398.49
256,6165.99,848.03,5326.42
257,6202.92,851.28,5357.75
258,6148.33,843.22,5228.23
259,6292.83,862.83,5225.62
260,6327.89,827.71,5329.62
261,6419.47,838.0,5334.29
262,6119.32,839.46,5292.11
263,6072.19,839.87,5189.9
264,6188.19,850.34,5353.82
265,6187.74,810.49,5329.62
266,6251.79,842.81,5312.05
267,6222.11,843.79,5195.84
268,6108.08,848.07,5242.56
269,6365.37,840.1,5439.92
270,6169.53,819.95,5303.61
271,6128.88,840.11,5177.77
272,6251.92,836.62,5271.9
273,6114.21,834.97,5274.72
274,6206.11,832.82,5289.53
275,6109.2,850.89,5252.8
276,6175.24,821.94,5302.69
277,6242.25,830.64,5260.48
278,6227.14,838.75,5194.94
279,6259.28,826.0,5348.89
280,6293.57,834.69,5215.88
281,6140.66,837.53,5329.68
282,6173.18,843.92,5199.67
283,6080.6,830.17,5199.89
284,6251.97,832.6,5308.89
285,6186.98,866.12,5271.54
286,6260.91,873.26,5290.59
287,6227.76,822.99,5321.62
288,6248.29,859.5,5205.88
289,6266.89,880.89,5188.62
290,6244.97,857.03,5229.76
291,6264.3,824.48,5311.14
292,6258.63,824.85,5278.52
293,6109.92,822.23,5296.51
294,6200.74,850.78,5324.25
295,6214.53,836.35,5387.31
296,6290.19,824.44,5358.77
297,6130.22,842.83,5193.14
298,6150.61,842.24,5224.77
299,6247.66,832.56,5349.25
300,6147.49,825.01,5338.19
301,6226.49,867.49,5109.7
302,6207.25,837.02,5330.97
303,6413.06,886.35,5313.66
304,6231.03,835.98,5187.51
305,6358.24,836.2,5400.02
306,6179.91,871.17,5140.55
307,6353.43,830.52,5348.08
308,6210.55,853.69,5238.4
309,6123.66,844.75,5265.34
310,6242.73,849.14,5213.58
311,6224.91,837.85,5302.39
312,6161.01,818.81,5243.88
313,6239.1,841.74,5280.56
314,6203.5,837.64,5278.21
315,6239.12,830.64,5323.02
316,6057.01,848.98,5119.87
317,6202.13,860.82,5183.89
318,6255.55,838.74,5304.39
319,6196.53,869.5,5101.38
320,6233.02,845.93,5319.15
321,6104.6,840.7,5306.55
322,6213.2,860.37,5231.11
323,6214.21,850.61,5297.85
324,6292.7,846.37,5275.69
325,6267.66,830.8,5430.15
326,6209.22,820.7,5299.36
327,6284.95,828.6,5346.87
328,6329.55,865.99,5210.16
329,6320.33,870.75,5213.32
330,6236.57,822.73,5270.33
331,6372.28,876.58,5254.72
332,6233.2,849.44,5311.67
333,6164.47,841.91,5256.41
334,6311.34,838.9,5403.73
335,6273.7,820.55,5340.13
336,6236.79,842.21,5234.58
337,6398.17,842.87,5243.56
338,6164.86,865.17,5338.06
339,6235.44,846.78,5288.69
340,6155.95,830.78,5081.26
341,6221.78,849.79,5291.87
342,6244.34,841.88,5169.04
343,6201.19,842.32,5280.81
344,6231.17,818.67,5301.55
345,6184.15,844.3,5245.68
346,6177.95,838.77,5200.21
347,6207.43,840.76,5306.43
348,6181.64,858.99,5308.24
349,6214.8,836.14,5220.94
350,6291.93,857.49,5233.3
351,6109.73,842.9,5242.04
352,6447.72,866.17,5266.47
353,6241.98,814.93,5252.92
354,6149.45,847.23,5119.57
355,6231.96,837.32,5314.08
356,6132.54,817.72,5275.44
357,6206.23,840.55,5205.77
358,6277.25,836.44,5254.42
359,6389.58,830.03,5371.69
360,6230.04,832.95,5303.03
361,6076.01,841.93,5241.61
362,6308.17,840.11,5183.06
363,6143.69,845.88,5276.89
364,6125.21,833.15,5289.51
365,6241.52,850.18,5343.73
366,6068.04,846.25,5169.94
367,6148.37,863.07,5229.06
368,6165.05,848.24,5332.15
369,6254.62,847.43,5211.5
370,6147.18,827.65,5193.65
371,6300.55,841.68,5340.63
372,6076.2,839.53,5246.02
373,6141.54,834.49,5241.19
374,6400.91,857.93,5416.8
375,6175.9,841.76,5340.78
376,6200.07,843.52,5349.07
377,6211.83,855.19,5244.82
378,6240.11,846.78,5251.94
379,6067.12,840.24,5260.37
380,6372.89,878.98,5223.51
381,6078.3,823.12,5189.1
382,6263.64,850.28,5312.66
383,6275.0,846.6,5247.9
384,6227.41,836.14,5274.33
385,6275.15,872.95,5138.26
386,6194.09,839.44,5250.16
387,6074.19,838.64,5100.82
388,6287.69,838.51,5346.01
389,6204.5,850.99,5070.86
390,6182.68,865.01,5210.65
391,6338.75,880.13,5319.13
392,6190.91,843.7,5178.55
393,6260.96,848.81,5292.45
394,6333.12,841.95,5371.72
395,6207.96,836.64,5275.96
396,6282.89,824.43,5373.28
397,6281.4,822.82,5377.85
398,6240.27,831.12,5343.62
399,6231.86,850.85,5277.21
400,6185.62,846.96,5220.08
401,6257.05,840.99,5388.98
402,6259.08,838.9,5257.97
403,6169.23,830.09,5208.67
404,6287.49,837.24,5296.87
405,6266.35,841.48,5367.05
406,6293.11,854.54,5341.05
407,6278.6,871.46,5312.03
408,6243.36,853.38,5204.18
409,6116.97,855.14,5213.49
410,6082.67,848.67,5170.54
411,6336.1,844.02,5386.66
412,6215.47,836.03,5249.42
413,6155.26,834.13,5206.58
414,6272.33,834.49,5260.03
415,6205.86,814.79,5256.57
416,6222.86,845.38,5265.38
417,6224.78,830.23,5262.31
418,6342.59,833.0,5397.26
419,6214.84,846.62,5228.07
420,6181.18,861.41,5192.37
421,6289.28,849.21,5304.71
422,6285.19,837.65,5381.73
423,6105.44,837.33,5201.2
424,6380.28,887.58,5222.47
425,6273.08,855.63,5331.72
426,6290.37,836.29,5151.73
427,6256.3,838.01,5290.29
428,6503.69,883.8,5328.42
429,6073.28,831.53,5216.25
430,6258.45,831.6,5372.97
431,6303.04,840.9,5323.78
432,6191.03,841.06,5250.06
433,6316.45,836.43,5233.68
434,6332.43,830.02,5331.58
435,6045.59,842.09,5146.49
436,6155.79,839.79,5272.83
437,6179.82,844.94,5301.41
438,6124.97,823.51,5226.48
439,6275.27,835.26,5346.86
440,6239.78,848.02,5296.3
441,6378.47,862.84,5438.06
442,6192.47,830.87,5177.39
443,6207.01,840.7,5231.36
444,6222.22,838.97,5267.74
445,6199.57,857.81,5236.47
446,6322.92,840.33,5381.89
447,6057.73,817.31,5248.66
448,6155.13,827.49,5337.09
449,6139.03,822.47,5223.98
450,6267.73,830.85,5177.12
451,6256.38,839.96,5314.03
452,6400.9,836.13,5370.04
453,6173.27,838.55,5245.66
