sid,area,power
0,2612.39,2699.99
1,2408.90,2381.38
2,2400.92,2346.51
3,2412.62,2367.96
4,2614.51,2648.39
5,2449.59,2378.51
6,2399.85,2350.48
7,2675.69,2688.25
8,2484.71,2433.05
9,2451.46,2409.68
10,2492.69,2477.97
11,2573.02,2639.53
12,2421.13,2409.62
13,2602.81,2612.40
14,2442.94,2510.37
15,2588.98,2634.57
16,2539.24,2544.22
17,2679.95,2711.56
18,2403.84,2294.10
19,2434.96,2361.57
20,2517.96,2521.48
21,2650.42,2716.77
22,2475.13,2506.14
23,2378.57,2354.60
24,2423.26,2433.96
25,2433.63,2365.06
26,2652.55,2680.86
27,2589.78,2611.48
28,2394.53,2325.79
29,2615.05,2642.28
30,2461.83,2411.99
31,2492.15,2480.49
32,2678.89,2717.58
33,2383.89,2284.21
34,2444.81,2401.20
35,2378.31,2319.51
36,2413.95,2360.90
37,2555.99,2562.39
38,2459.17,2484.44
39,2615.58,2659.23
40,2442.41,2337.20
41,2421.13,2446.12
42,2477.26,2456.78
43,2512.37,2432.03
44,2653.62,2717.88
45,2469.28,2410.73
46,2429.64,2394.70
47,2641.65,2637.26
48,2527.27,2514.47
49,2440.55,2432.20
50,2656.28,2706.82
51,2442.15,2413.34
52,2640.32,2703.95
53,2400.12,2351.08
54,2412.62,2353.73
55,2412.62,2344.62
56,2472.47,2459.61
57,2461.83,2502.27
58,2502.00,2476.73
59,2620.37,2640.25
60,2773.58,2810.67
61,2459.70,2461.99
62,2485.77,2407.66
63,2585.25,2629.69
64,2514.76,2520.52
65,2422.73,2380.28
66,2415.01,2392.76
67,2644.57,2668.07
68,2455.45,2418.19
69,2608.13,2634.15
70,2454.12,2473.68
71,2472.47,2385.82
72,2448.00,2414.34
73,2673.03,2705.55
74,2512.64,2442.65
75,2613.72,2657.10
76,2401.18,2347.45
77,2486.30,2434.75
78,2590.84,2628.42
79,2459.44,2429.88
80,2388.15,2360.32
81,2488.70,2426.71
82,2458.11,2388.34
83,2561.05,2582.23
84,2728.36,2784.98
85,2622.23,2697.90
86,2417.14,2357.74
87,2459.44,2386.27
88,2606.00,2619.00
89,2466.62,2504.03
90,2446.14,2405.72
91,2586.05,2607.82
92,2496.94,2427.88
93,2449.59,2406.84
94,2394.80,2344.92
95,2446.67,2396.55
96,2502.79,2460.23
97,2670.11,2650.65
98,2527.00,2529.40
99,2491.62,2444.29
100,2462.10,2430.20
101,2414.22,2378.77
102,2635.00,2688.51
103,2459.70,2481.96
104,2489.76,2500.19
105,2626.48,2658.27
106,2462.36,2372.34
107,2416.34,2374.07
108,2514.76,2441.03
109,2408.36,2328.03
110,2579.40,2612.46
111,2634.73,2685.15
112,2414.22,2367.20
113,2479.65,2473.61
114,2624.62,2677.76
115,2488.96,2498.40
116,2591.64,2584.27
117,2621.70,2659.20
118,2486.57,2501.37
119,2629.94,2647.83
120,2508.91,2496.56
121,2618.77,2630.69
122,2446.67,2374.49
123,2460.23,2497.67
124,2591.90,2653.60
125,2480.72,2487.84
126,2456.78,2368.53
127,2432.57,2388.43
128,2495.61,2425.18
129,2461.83,2471.51
130,2383.36,2352.18
131,2475.13,2489.39
132,2488.70,2440.37
133,2412.09,2356.37
134,2464.76,2485.02
135,2627.81,2664.89
136,2433.37,2414.46
137,2415.81,2371.91
138,2617.97,2650.73
139,2430.97,2370.21
140,2602.28,2652.48
141,2620.10,2651.56
142,2501.46,2509.94
143,2387.08,2352.31
144,2397.46,2354.47
145,2613.72,2669.73
146,2516.36,2463.76
147,2461.83,2498.44
148,2664.79,2721.68
149,2471.94,2446.74
150,2644.84,2683.89
151,2427.25,2378.33
152,2610.26,2619.47
153,2438.69,2401.78
154,2477.52,2455.21
155,2639.78,2671.64
156,2611.06,2673.02
157,2494.02,2399.58
158,2458.64,2430.06
159,2436.29,2417.67
160,2426.72,2394.67
161,2607.07,2558.56
162,2458.37,2409.94
163,2429.11,2398.38
164,2495.88,2439.47
165,2451.46,2411.79
166,2476.73,2441.13
167,2429.11,2480.09
168,2400.92,2408.05
169,2431.24,2367.27
170,2449.59,2384.85
171,2405.97,2350.30
172,2612.39,2659.47
173,2426.19,2387.49
174,2650.42,2678.56
175,2458.64,2399.31
176,2474.07,2437.93
177,2404.37,2394.35
178,2508.11,2514.98
179,2634.46,2707.57
180,2433.90,2409.95
181,2427.52,2367.96
182,2470.87,2496.41
183,2423.79,2383.67
184,2432.30,2379.24
185,2487.10,2434.00
186,2706.02,2726.51
187,2409.96,2385.98
188,2461.30,2488.03
189,2395.33,2357.47
190,2626.75,2676.16
191,2609.19,2659.64
192,2678.35,2732.17
193,2451.99,2357.62
194,2442.41,2380.93
195,2426.72,2409.18
196,2413.15,2353.04
