sid,Area,Delay,Power
0,2436.93,451.0,2445.62
1,2360.72,430.19,2347.47
2,2316.51,412.2,2256.2
3,2352.44,420.39,2361.87
4,2411.69,468.5,2340.39
5,2479.75,469.99,2476.65
6,2372.26,411.66,2374.35
7,2483.54,468.96,2515.5
8,2454.51,445.67,2446.73
9,2442.21,427.0,2466.47
10,2418.21,447.77,2430.63
11,2398.19,413.74,2392.91
12,2436.38,408.19,2486.53
13,2437.32,428.65,2404.87
14,2347.46,435.1,2362.43
15,2384.36,414.97,2361.96
16,2456.83,460.36,2473.48
17,2483.38,424.61,2456.83
18,2365.43,436.4,2367.74
19,2429.48,409.29,2401.35
20,2463.25,454.95,2471.36
21,2429.84,471.08,2361.6
22,2396.24,436.96,2399.83
23,2341.48,426.38,2331.46
24,2380.11,413.94,2422.97
25,2368.65,416.92,2373.66
26,2445.25,429.5,2460.19
27,2437.67,417.62,2467.74
28,2336.03,417.46,2295.69
29,2407.83,421.35,2360.13
30,2397.04,449.42,2372.76
31,2422.51,442.94,2437.08
32,2457.06,459.09,2447.13
33,2422.62,408.19,2439.15
34,2350.55,445.01,2312.03
35,2337.16,435.74,2306.67
36,2354.43,453.57,2312.68
37,2481.55,452.45,2508.83
38,2424.34,422.58,2473.26
39,2414.59,411.99,2390.23
40,2485.6,409.51,2528.71
41,2394.84,434.07,2391.39
42,2404.37,418.51,2422.2
43,2497.49,448.2,2427.76
44,2507.86,456.78,2477.99
45,2462.38,469.26,2438.97
46,2393.48,438.99,2433.45
47,2432.49,434.11,2446.54
48,2448.87,432.45,2474.25
49,2404.1,422.31,2428.03
50,2435.09,423.34,2374.71
51,2416.99,452.15,2374.9
52,2438.15,451.43,2435.28
53,2363.54,426.39,2365.3
54,2339.4,468.17,2306.1
55,2358.14,412.11,2377.68
56,2456.32,434.22,2447.14
57,2417.32,429.69,2459.5
58,2428.13,453.57,2400.66
59,2443.58,453.65,2435.56
60,2663.81,457.48,2628.81
61,2381.62,452.81,2383.9
62,2452.54,450.04,2445.44
63,2369.75,425.66,2362.02
64,2452.11,460.52,2436.37
65,2398.89,427.92,2391.32
66,2414.92,417.87,2424.71
67,2426.78,456.7,2416.22
68,2423.55,461.97,2411.87
69,2463.91,410.34,2415.37
70,2388.94,401.24,2392.24
71,2505.15,452.99,2512.96
72,2445.46,451.3,2422.51
73,2437.87,447.27,2431.24
74,2415.15,432.82,2439.95
75,2374.83,405.45,2305.34
76,2386.55,418.94,2403.44
77,2468.92,461.92,2524.22
78,2386.05,411.97,2322.01
79,2361.36,418.05,2295.05
80,2358.91,416.38,2339.89
81,2410.76,446.23,2400.57
82,2454.89,445.28,2400.6
83,2366.16,429.05,2351.75
84,2542.49,458.66,2482.81
85,2411.18,412.84,2366.86
86,2417.99,448.25,2372.21
87,2476.33,455.38,2523.25
88,2397.38,425.13,2432.04
89,2392.46,421.7,2407.39
