sid,BUFF,NOT,AND,PI,PO,LP
224,10515,13520,10949,2339,2137,11
67,9359,14816,11019,2339,2137,11
464,10223,13794,10940,2339,2137,11
413,10895,13122,10940,2339,2137,11
90,10979,13088,10965,2339,2137,11
205,11131,12866,10930,2339,2137,11
465,8238,15989,11045,2339,2137,11
316,9111,14874,10924,2339,2137,10
452,8395,15672,10965,2339,2137,11
242,10341,13838,11021,2339,2137,11
197,9618,14585,11033,2339,2137,11
33,9740,14273,10938,2339,2137,11
499,9141,14864,10934,2339,2137,10
194,9794,14403,11030,2339,2137,11
128,10632,13605,11050,2339,2137,11
345,11045,12932,10920,2339,2137,11
328,8994,15039,10948,2339,2137,11
137,10210,13801,10937,2339,2137,11
372,9983,14214,11030,2339,2137,11
81,10412,13857,11066,2339,2137,11
64,10977,13048,10944,2339,2137,11
439,9276,14887,11013,2339,2137,11
492,10245,13992,11050,2339,2137,11
124,8904,15279,11023,2339,2137,11
62,9005,15196,11032,2339,2137,11
378,11112,12915,10945,2339,2137,11
19,10186,14033,11041,2339,2137,11
241,10266,13731,10930,2339,2137,10
428,10528,13697,11044,2339,2137,11
438,10086,13941,10945,2339,2137,11
355,9795,14386,11022,2339,2137,11
482,9657,14360,10940,2339,2137,11
237,10497,13504,10932,2339,2137,11
468,9784,14229,10938,2339,2137,11
322,10264,13735,10931,2339,2137,11
43,10513,13520,10948,2339,2137,11
467,9837,14348,11024,2339,2137,11
419,10942,13043,10924,2339,2137,11
415,9423,14758,11022,2339,2137,11
54,10190,13877,10965,2339,2137,11
305,9795,14450,11054,2339,2137,11
17,8973,15044,10940,2339,2137,11
397,9362,14831,11028,2339,2137,11
434,9668,14355,10943,2339,2137,11
379,11104,12889,10928,2339,2137,10
447,10022,14161,11023,2339,2137,11
14,11115,13074,11026,2339,2137,11
284,8303,15904,11035,2339,2137,11
113,10141,14050,11027,2339,2137,11
402,8920,15149,10966,2339,2137,11
437,10941,13056,10930,2339,2137,11
472,11038,12949,10925,2339,2137,11
461,8957,15072,10946,2339,2137,11
483,9358,14807,11014,2339,2137,11
384,11342,12853,11029,2339,2137,11
338,10620,13637,11060,2339,2137,11
152,9366,14811,11020,2339,2137,11
154,10956,13063,10941,2339,2137,11
