sid,NOT,AND,Level,edges,PI,PO
0,1197,7980,7,18862,2339,2137
1,874,6696,7,16911,2339,2137
2,603,6250,7,16208,2339,2137
3,850,6740,7,17062,2339,2137
4,1089,7337,8,17694,2339,2137
5,865,7347,7,17911,2339,2137
6,739,6146,7,16009,2339,2137
7,1186,7829,7,18778,2339,2137
8,904,6705,7,16918,2339,2137
9,576,6327,8,15824,2339,2137
10,871,6740,7,17135,2339,2137
11,1039,7648,8,18265,2339,2137
12,707,6516,8,16063,2339,2137
13,933,7407,9,17974,2339,2137
14,946,6890,7,17438,2339,2137
15,865,7472,7,17957,2339,2137
16,1021,6788,7,17161,2339,2137
17,1490,8416,7,19328,2339,2137
18,896,7311,7,18013,2339,2137
19,777,6839,9,16906,2339,2137
20,894,6840,7,17238,2339,2137
21,1007,7424,8,17799,2339,2137
22,834,6629,7,16954,2339,2137
23,814,6497,7,16500,2339,2137
24,849,6553,7,16704,2339,2137
25,929,6778,8,17042,2339,2137
26,1164,7785,8,18454,2339,2137
27,1169,7394,8,17617,2339,2137
28,908,6615,7,16877,2339,2137
29,938,7341,8,17605,2339,2137
30,882,6727,8,17035,2339,2137
31,1015,6838,7,17285,2339,2137
32,847,7270,8,17721,2339,2137
33,563,6562,8,16524,2339,2137
34,550,6085,8,15993,2339,2137
35,581,6291,7,16232,2339,2137
36,505,5951,8,15705,2339,2137
37,930,6857,7,17391,2339,2137
38,912,6598,7,16904,2339,2137
39,1190,7717,8,18231,2339,2137
40,642,6545,8,16423,2339,2137
41,1045,6770,7,17055,2339,2137
42,788,6459,7,16740,2339,2137
43,1015,7430,8,18121,2339,2137
44,1152,7969,7,18776,2339,2137
45,804,7014,7,17287,2339,2137
46,1008,7009,7,17641,2339,2137
47,1340,8346,7,19626,2339,2137
48,743,6397,8,16056,2339,2137
49,589,6261,7,16097,2339,2137
50,1147,7760,7,18493,2339,2137
51,918,7017,7,17324,2339,2137
52,1176,7773,8,18385,2339,2137
53,847,6750,8,17086,2339,2137
54,595,6210,7,16044,2339,2137
55,844,6601,7,16663,2339,2137
56,753,6776,8,16777,2339,2137
57,1076,6796,7,17054,2339,2137
58,615,6055,7,15929,2339,2137
59,1007,7246,8,17467,2339,2137
60,962,7387,8,17752,2339,2137
61,886,6798,7,16919,2339,2137
62,574,6747,8,16916,2339,2137
63,1065,7198,8,17469,2339,2137
64,815,6439,7,16628,2339,2137
65,941,6731,7,16845,2339,2137
66,641,6845,7,16828,2339,2137
67,1065,7210,8,17534,2339,2137
68,515,6111,7,16148,2339,2137
69,757,6737,8,16672,2339,2137
70,687,6317,7,16209,2339,2137
71,974,7304,7,17708,2339,2137
72,666,6296,7,16199,2339,2137
73,966,7228,7,17570,2339,2137
74,926,6725,7,16911,2339,2137
75,955,7386,7,17960,2339,2137
76,613,5990,8,15671,2339,2137
77,817,6701,7,16947,2339,2137
78,947,7421,8,17887,2339,2137
79,686,6334,8,16217,2339,2137
80,722,6396,8,16272,2339,2137
81,808,6544,7,16359,2339,2137
82,1133,7535,7,18221,2339,2137
83,1068,7099,7,17178,2339,2137
84,1124,7820,7,18615,2339,2137
85,1064,7801,8,18477,2339,2137
86,666,6190,8,16003,2339,2137
87,563,6679,7,16786,2339,2137
88,1067,7276,8,17619,2339,2137
89,572,6010,7,15883,2339,2137
90,759,6522,7,16596,2339,2137
91,798,6968,8,17053,2339,2137
92,582,6435,8,16236,2339,2137
93,831,6584,8,16741,2339,2137
94,729,6418,8,16486,2339,2137
95,695,6257,7,16205,2339,2137
96,753,6275,7,16192,2339,2137
97,1000,6908,7,16833,2339,2137
98,990,6902,7,17375,2339,2137
99,960,6967,7,17550,2339,2137
100,806,6463,7,16713,2339,2137
101,974,6801,7,17251,2339,2137
102,1095,7696,7,18271,2339,2137
103,904,6480,7,16518,2339,2137
104,886,6796,7,17237,2339,2137
105,1117,7407,8,17785,2339,2137
106,734,6352,7,16044,2339,2137
107,593,6222,8,16120,2339,2137
108,1019,6973,7,17186,2339,2137
109,754,6388,8,16121,2339,2137
110,1157,7276,8,17482,2339,2137
111,893,7425,8,17791,2339,2137
112,966,6908,7,17420,2339,2137
113,632,6286,7,16187,2339,2137
114,1093,7721,7,18412,2339,2137
115,980,6957,7,17320,2339,2137
116,1042,7296,8,17528,2339,2137
117,1205,7334,7,17572,2339,2137
118,775,6608,7,16861,2339,2137
119,1051,7366,8,17682,2339,2137
120,920,6793,7,16926,2339,2137
121,834,6962,8,16969,2339,2137
122,736,6416,8,16455,2339,2137
123,848,6708,7,16995,2339,2137
124,1118,7622,7,18142,2339,2137
125,857,6814,6,17431,2339,2137
126,602,6145,8,15758,2339,2137
127,447,5947,7,15645,2339,2137
128,887,6867,7,17443,2339,2137
129,882,6684,7,16946,2339,2137
130,715,6377,8,16263,2339,2137
131,797,6545,7,16693,2339,2137
132,943,6858,7,17396,2339,2137
133,842,6621,7,16856,2339,2137
134,974,6878,7,17402,2339,2137
135,861,6715,8,16580,2339,2137
136,549,5968,7,15814,2339,2137
137,836,6769,8,17253,2339,2137
138,1376,8259,7,19294,2339,2137
139,738,6394,8,15996,2339,2137
140,1006,6972,8,17032,2339,2137
141,988,6896,7,16910,2339,2137
142,589,6389,8,15908,2339,2137
143,840,6485,8,16681,2339,2137
144,824,6737,7,17236,2339,2137
145,1171,7888,7,18667,2339,2137
146,845,6890,7,17343,2339,2137
147,796,6950,7,17666,2339,2137
148,912,7597,8,18244,2339,2137
149,595,6152,7,16159,2339,2137
150,1224,7459,8,17805,2339,2137
151,1028,6756,7,16963,2339,2137
152,938,7132,7,17439,2339,2137
153,559,5948,7,15704,2339,2137
154,904,6831,7,16975,2339,2137
155,879,7322,7,17665,2339,2137
156,938,7361,8,17752,2339,2137
157,1026,7429,8,18110,2339,2137
158,966,6858,7,17338,2339,2137
159,939,6901,8,17275,2339,2137
160,622,6167,7,16222,2339,2137
161,540,6135,8,15709,2339,2137
162,798,6511,7,16731,2339,2137
163,872,6546,8,16732,2339,2137
164,884,7542,8,18640,2339,2137
165,540,6503,8,16321,2339,2137
166,498,6156,8,16022,2339,2137
167,787,6601,7,16904,2339,2137
168,783,6393,7,16558,2339,2137
169,1047,7394,8,17779,2339,2137
170,759,6417,8,16524,2339,2137
171,644,6272,7,16169,2339,2137
172,926,7425,8,17794,2339,2137
173,869,6697,7,17052,2339,2137
174,950,7219,7,17611,2339,2137
175,945,6556,8,16565,2339,2137
176,796,6616,7,17002,2339,2137
177,444,5919,7,15623,2339,2137
178,882,6834,7,17415,2339,2137
179,1250,8175,7,19165,2339,2137
180,966,6859,7,17250,2339,2137
181,887,7289,7,18089,2339,2137
182,970,6823,7,17292,2339,2137
183,721,6240,7,16204,2339,2137
184,950,6847,8,17243,2339,2137
