sid,BUFF,NOT,AND,PI,PO,LP
224,28942,21951,25182,683,529,25
67,27493,22640,24802,683,529,25
464,26533,22474,24239,683,529,25
413,26172,22409,24026,683,529,25
90,26136,22769,24188,683,529,25
205,28497,21804,24886,683,529,24
465,28511,21416,24699,683,529,25
316,23783,23108,23181,683,529,25
452,26600,24555,25313,683,529,25
242,28656,21789,24958,683,529,25
197,27817,22464,24876,683,529,25
33,27125,22392,24494,683,529,26
499,27669,23580,25360,683,529,24
194,28593,21396,24730,683,529,24
128,25224,22405,23550,683,529,24
345,27550,21675,24348,683,529,25
328,24678,26405,25277,683,529,27
137,26310,22131,23956,683,529,25
372,27251,22154,24438,683,529,24
81,26858,22073,24201,683,529,25
64,27631,21848,24475,683,529,25
439,28022,21649,24571,683,529,24
492,27437,22004,24456,683,529,25
124,27113,22138,24361,683,529,25
62,24893,22766,23565,683,529,25
378,27877,22026,24687,683,529,25
19,26523,22302,24148,683,529,25
241,24059,22700,23115,683,529,24
428,35919,19226,27308,683,529,27
438,27482,22249,24601,683,529,24
355,30703,20838,25506,683,529,25
482,26866,22539,24438,683,529,25
237,24671,25434,24788,683,529,27
468,26658,22725,24427,683,529,24
322,26382,22405,24129,683,529,27
43,28793,24000,26132,683,529,27
467,26587,22798,24428,683,529,25
419,26750,22289,24255,683,529,24
415,25827,22220,23759,683,529,24
54,26209,22526,24103,683,529,27
305,28239,21176,24443,683,529,25
17,25652,24499,24811,683,529,27
397,25029,22426,23463,683,529,24
434,26846,22781,24549,683,529,25
379,26278,22221,23985,683,529,24
447,25227,22162,23430,683,529,25
14,23993,22352,22908,683,529,25
284,29370,22285,25563,683,529,25
113,29976,21339,25393,683,529,25
402,24478,23131,23540,683,529,25
437,25608,22489,23784,683,529,25
472,27275,21446,24096,683,529,24
461,27021,22434,24463,683,529,24
483,27897,21740,24554,683,529,24
384,27811,22542,24912,683,529,25
338,26712,22231,24207,683,529,25
152,27463,21904,24419,683,529,25
154,29859,21314,25322,683,529,24
491,25758,22395,23812,683,529,24
77,24932,22855,23629,683,529,25
55,26856,21981,24154,683,529,24
407,28662,22681,25407,683,529,27
5,23489,23560,23260,683,529,24
387,25602,22261,23667,683,529,24
217,25838,23587,24448,683,529,26
179,25554,22931,23978,683,529,24
336,25377,22412,23630,683,529,25
94,24764,23027,23631,683,529,27
164,27218,23359,25024,683,529,27
103,28260,22273,25002,683,529,24
93,28183,22332,24993,683,529,25
474,25498,21617,23293,683,529,25
159,28249,21052,24386,683,529,24
36,26918,22579,24484,683,529,24
406,29140,21837,25224,683,529,25
144,25682,22745,23949,683,529,25
375,27251,22880,24801,683,529,24
79,28416,21867,24877,683,529,25
471,26555,22370,24198,683,529,24
441,30378,20905,25377,683,529,25
230,26477,24448,25198,683,529,27
390,28032,22897,25200,683,529,27
347,25510,22113,23547,683,529,24
324,25364,23335,24085,683,529,26
72,27653,22278,24701,683,529,25
38,25351,22278,23550,683,529,25
153,26018,22069,23779,683,529,24
186,27459,22762,24846,683,529,25
167,24540,23245,23628,683,529,25
101,26483,22210,24082,683,529,25
270,28075,22642,25094,683,529,24
147,25788,22599,23929,683,529,25
106,25507,22848,23913,683,529,25
343,25981,22986,24219,683,529,25
184,27633,22384,24744,683,529,25
112,25847,22200,23759,683,529,25
201,29312,22033,25408,683,529,27
213,27183,22814,24734,683,529,27
477,27303,22198,24486,683,529,24
107,24220,22825,23258,683,529,25
104,25442,22387,23650,683,529,25
127,25336,23015,23911,683,529,26
160,29658,22245,25687,683,529,24
325,29370,21325,25083,683,529,25
35,26698,22131,24150,683,529,24
462,25664,22203,23669,683,529,25
272,26737,22550,24379,683,529,24
180,28075,23408,25477,683,529,24
13,24534,22839,23422,683,529,24
61,26960,21711,24071,683,529,24
222,23998,24423,23946,683,529,25
430,25709,22962,24071,683,529,24
196,25332,24405,24604,683,529,25
116,27251,22812,24767,683,529,25
157,28814,23225,25755,683,529,27
370,26927,23390,24894,683,529,24
349,27690,22025,24593,683,529,27
134,25335,22468,23637,683,529,27
313,25653,22996,24060,683,529,25
45,23699,23218,23194,683,529,27
365,27499,21912,24441,683,529,25
172,27243,22432,24573,683,529,27
244,27956,22201,24814,683,529,24
309,28793,21662,24963,683,529,25
498,27472,22951,24947,683,529,25
262,26811,22084,24183,683,529,25
212,29434,22557,25731,683,529,24
200,26242,22109,23911,683,529,25
49,29085,21098,24827,683,529,25
95,28474,21453,24699,683,529,27
298,26536,22059,24033,683,529,25
6,30866,20519,25428,683,529,25
431,28867,22130,25234,683,529,27
360,27879,21692,24521,683,529,25
331,25612,26035,25559,683,529,27
59,24529,23180,23590,683,529,27
227,24617,22746,23417,683,529,24
454,29072,22161,25352,683,529,25
9,29265,22760,25748,683,529,25
243,28116,23685,25636,683,529,27
385,24251,26396,25059,683,529,27
170,30897,20776,25572,683,529,25
277,26853,22684,24504,683,529,25
121,25044,23079,23797,683,529,27
480,25107,22638,23608,683,529,24
481,28085,23246,25401,683,529,25
299,28805,22792,25534,683,529,25
291,23968,23215,23327,683,529,25
130,25266,22223,23480,683,529,25
412,26073,23134,24339,683,529,25
485,29157,22764,25696,683,529,27
358,28199,23254,25462,683,529,25
29,26997,22244,24356,683,529,25
136,26052,22251,23887,683,529,24
56,26998,21957,24213,683,529,25
215,25365,22748,23792,683,529,24
52,25088,22889,23724,683,529,25
156,28137,22164,24886,683,529,24
260,28034,23233,25369,683,529,27
411,26002,22805,24139,683,529,25
209,27246,22069,24393,683,529,24
312,25683,21768,23461,683,529,24
286,29054,22755,25640,683,529,27
206,25352,22779,23801,683,529,24
410,27703,23148,25161,683,529,25
405,28778,21277,24763,683,529,25
414,25981,23098,24275,683,529,25
199,23862,24571,23952,683,529,27
367,27805,21584,24430,683,529,24
176,31022,21413,25953,683,529,25
109,26949,22230,24325,683,529,24
246,25900,22933,24152,683,529,25
69,26215,22834,24260,683,529,26
133,27841,21804,24558,683,529,27
329,28978,23787,26118,683,529,27
216,28114,21753,24669,683,529,24
105,28655,22054,25090,683,529,25
279,29917,21628,25508,683,529,25
210,28533,23656,25830,683,529,27
497,24115,22894,23240,683,529,24
240,24768,23287,23763,683,529,27
37,27742,22381,24797,683,529,24
192,28934,22073,25239,683,529,25
308,27613,23188,25136,683,529,25
258,25445,22016,23466,683,529,25
257,30192,21543,25603,683,529,27
233,29480,21459,25205,683,529,25
223,26059,22736,24133,683,529,27
395,27079,22262,24406,683,529,25
114,25472,22521,23732,683,529,24
266,25391,22032,23447,683,529,25
118,26307,22778,24278,683,529,24
20,27479,21646,24298,683,529,25
51,27105,21812,24194,683,529,25
102,26961,23348,24890,683,529,24
432,26714,21719,23952,683,529,25
386,24192,22703,23183,683,529,25
250,26182,22479,24066,683,529,24
337,25821,23530,24411,683,529,24
92,27530,22687,24844,683,529,25
12,25836,22969,24138,683,529,26
225,27088,21965,24262,683,529,24
490,28360,21459,24645,683,529,25
2,25942,22801,24107,683,529,24
66,26510,22321,24151,683,529,24
27,27829,22230,24765,683,529,25
377,25240,23097,23904,683,529,27
479,27509,21358,24169,683,529,24
254,28685,22634,25395,683,529,24
318,25390,22819,23840,683,529,24
185,25408,24043,24461,683,529,24
489,26319,22690,24240,683,529,25
321,28589,22492,25276,683,529,25
269,26612,22211,24147,683,529,25
18,24332,23611,23707,683,529,25
73,28820,21695,24993,683,529,25
238,25514,22779,23882,683,529,24
178,27970,23061,25251,683,529,25
488,26931,22358,24380,683,529,25
142,28398,22671,25270,683,529,25
48,26922,24135,25264,683,529,25
357,27837,22772,25040,683,529,24
363,26093,22942,24253,683,529,25
8,28680,22821,25486,683,529,27
108,27920,21809,24600,683,529,24
202,29090,23079,25820,683,529,25
125,27052,23045,24784,683,529,25
283,26052,22073,23798,683,529,24
39,25961,22510,23971,683,529,25
333,25842,22409,23861,683,529,24
281,29337,21678,25243,683,529,24
171,28239,21944,24827,683,529,25
89,26989,22052,24256,683,529,25
123,26188,22195,23927,683,529,25
423,27112,23155,24869,683,529,25
46,24740,22859,23535,683,529,25
53,28849,21792,25056,683,529,27
151,26929,21908,24154,683,529,24
82,25846,23089,24203,683,529,25
296,24999,22340,23405,683,529,24
425,25239,22622,23666,683,529,27
3,28247,21684,24701,683,529,24
271,30078,20651,25100,683,529,24
350,27855,21882,24604,683,529,24
457,26285,22320,24038,683,529,24
418,27320,21571,24181,683,529,25
330,24146,22789,23203,683,529,25
161,28955,23264,25845,683,529,27
203,23651,23154,23138,683,529,27
440,28753,21518,24871,683,529,25
376,28690,22041,25101,683,529,25
204,26271,21968,23855,683,529,24
229,27769,22406,24823,683,529,25
455,27128,22045,24322,683,529,27
493,27321,21364,24078,683,529,25
403,23981,22800,23126,683,529,25
83,24360,23437,23634,683,529,25
445,26786,22747,24502,683,529,27
422,26521,22340,24166,683,529,25
207,27495,21736,24351,683,529,24
494,28668,21423,24781,683,529,25
231,30289,21406,25583,683,529,25
473,23218,24693,23691,683,529,27
391,26031,23036,24269,683,529,27
148,28923,21566,24980,683,529,25
75,25819,22640,23965,683,529,25
198,27311,21478,24130,683,529,25
450,23648,24525,23822,683,529,25
265,25506,22565,23771,683,529,25
261,30562,21077,25555,683,529,25
319,27779,22452,24851,683,529,27
317,28322,23371,25582,683,529,27
21,26506,23101,24539,683,529,24
