sid,NOT,AND,Level,edges,PI,PO
0,1592,18015,19,47715,683,529
1,1689,19115,19,50518,683,529
2,1794,18779,19,49190,683,529
3,1875,19514,20,51119,683,529
4,1751,18010,19,48470,683,529
5,1552,17205,19,45685,683,529
6,2093,20704,20,54227,683,529
7,1812,19314,20,51419,683,529
8,1973,19563,20,51538,683,529
9,1866,19682,19,52767,683,529
10,2202,19936,20,52200,683,529
11,1564,18564,19,49744,683,529
12,1661,17991,20,47377,683,529
13,1649,17535,19,46509,683,529
14,1484,17409,19,46229,683,529
15,1467,17813,19,47289,683,529
16,1785,20460,19,55042,683,529
17,1711,19019,20,51109,683,529
18,1654,17788,19,47301,683,529
19,1544,18893,19,50917,683,529
20,1822,19174,19,50083,683,529
21,1607,19078,19,51467,683,529
22,1604,17283,20,45598,683,529
23,1558,17831,19,47479,683,529
24,1596,18902,19,50196,683,529
25,1540,19994,19,54079,683,529
26,1512,18204,19,48836,683,529
27,1816,19233,19,51298,683,529
28,1977,19767,20,52141,683,529
29,1811,18632,19,49552,683,529
30,1638,17550,19,46316,683,529
31,1854,19870,20,52550,683,529
32,1626,17318,20,45988,683,529
33,1790,18568,21,48917,683,529
34,1610,17567,20,46828,683,529
35,1614,17776,20,46926,683,529
36,1768,19106,19,50375,683,529
37,1599,18860,19,50407,683,529
38,1688,18147,20,47410,683,529
39,1610,18414,19,49011,683,529
40,1713,18531,19,48985,683,529
41,1929,18809,19,49544,683,529
42,1541,17704,20,46428,683,529
43,1885,19311,21,52032,683,529
44,1616,18530,20,49562,683,529
45,1722,17230,20,45506,683,529
46,1786,18126,20,47096,683,529
47,1808,18077,20,47212,683,529
48,1822,19191,19,51059,683,529
49,1763,19697,19,52101,683,529
50,1533,17951,19,47590,683,529
51,1742,19023,19,49952,683,529
52,1625,18065,19,48013,683,529
53,2001,19541,20,51111,683,529
54,2226,19214,20,49619,683,529
55,1677,18796,20,49932,683,529
56,1706,18764,19,50041,683,529
57,1543,17776,19,47644,683,529
58,1592,18159,20,47815,683,529
59,1930,18427,19,48445,683,529
60,1755,20770,20,57007,683,529
61,1592,17918,20,47382,683,529
62,1485,17101,19,45686,683,529
63,1634,19050,19,51756,683,529
64,1603,18682,19,50018,683,529
65,1925,19722,19,52008,683,529
66,1481,17626,20,46699,683,529
67,1563,18882,20,49898,683,529
68,1645,17011,20,44978,683,529
69,1879,18004,20,47042,683,529
70,2001,19772,20,51770,683,529
71,1907,19736,19,52563,683,529
72,1880,19435,19,51240,683,529
73,1764,19458,19,51768,683,529
74,1828,19187,20,50096,683,529
75,1616,18043,19,48492,683,529
76,1821,19075,20,49814,683,529
77,1746,17872,20,46784,683,529
78,1672,18854,19,51073,683,529
79,1935,19731,19,51617,683,529
80,1786,18540,19,48880,683,529
81,1692,19208,19,51253,683,529
82,1775,18353,19,48450,683,529
83,1535,17483,20,46459,683,529
