sid,BUFF,NOT,AND,PI,PO,LP
224,5178,4062,4588,303,64,29
67,5256,3994,4593,303,64,29
464,5196,4058,4595,303,64,29
413,5300,3966,4601,303,64,29
90,5302,3966,4602,303,64,29
205,5292,3966,4597,303,64,29
465,5093,4157,4593,303,64,29
316,5089,4155,4590,303,64,29
452,5113,4153,4601,303,64,30
242,5182,4056,4587,303,64,29
197,5082,4156,4587,303,64,29
33,5110,4158,4602,303,64,29
499,5096,4158,4595,303,64,29
194,5200,4056,4596,303,64,29
128,5280,3964,4590,303,64,29
345,5304,3964,4602,303,64,29
328,5121,4155,4606,303,64,29
137,5184,4060,4590,303,64,29
372,5194,4056,4593,303,64,29
81,5239,3995,4585,303,64,29
64,5298,3962,4598,303,64,29
439,5244,3996,4588,303,64,29
492,5253,3993,4591,303,64,29
124,5106,4154,4598,303,64,29
62,5114,4158,4604,303,64,29
378,5290,3966,4596,303,64,29
19,5266,3998,4600,303,64,29
241,5188,4062,4593,303,64,29
428,5206,4060,4601,303,64,29
438,5208,4056,4600,303,64,29
355,5184,4062,4591,303,64,29
482,5242,3992,4585,303,64,29
237,5262,3996,4597,303,64,29
468,5272,3998,4603,303,64,29
322,5220,4058,4607,303,64,30
43,5269,3995,4600,303,64,29
467,5188,4062,4593,303,64,29
419,5294,3962,4596,303,64,29
415,5252,3996,4592,303,64,29
54,5218,4062,4608,303,64,30
305,5202,4060,4599,303,64,29
17,5103,4155,4597,303,64,29
397,5256,3996,4594,303,64,29
434,5106,4152,4597,303,64,29
379,5288,3966,4595,303,64,29
447,5189,4059,4592,303,64,29
14,5279,3971,4593,303,64,29
284,5100,4158,4597,303,64,29
113,5178,4060,4587,303,64,29
402,5106,4152,4597,303,64,29
437,5300,3964,4600,303,64,29
472,5288,3964,4594,303,64,29
461,5112,4156,4602,303,64,29
483,5252,3996,4592,303,64,29
384,5292,3966,4597,303,64,29
338,5288,3960,4592,303,64,29
152,5245,4007,4594,303,64,29
154,5288,3966,4595,303,64,29
491,5095,4155,4593,303,64,29
77,5280,3966,4591,303,64,29
55,5276,3962,4587,303,64,29
407,5306,3966,4604,303,64,30
5,5114,4158,4604,303,64,29
387,5192,4058,4593,303,64,29
217,5276,3998,4605,303,64,29
179,5096,4158,4595,303,64,29
336,5314,3962,4606,303,64,29
