sid,NOT,AND,Level,edges,PI,PO
0,1255,10139,20,26320,2708,2575
1,466,9346,20,25045,2708,2575
2,1128,10095,20,26421,2708,2575
3,1495,10436,20,26891,2708,2575
4,646,9528,21,25808,2708,2575
5,673,9631,21,25833,2708,2575
6,955,9587,20,25703,2708,2575
7,1139,9778,21,25785,2708,2575
8,1570,10564,20,26851,2708,2575
9,665,9526,20,25694,2708,2575
10,776,9313,20,25035,2708,2575
11,727,9526,20,25661,2708,2575
12,1146,10472,20,27122,2708,2575
13,534,9203,20,25062,2708,2575
14,1467,10465,19,26767,2708,2575
15,999,9620,21,25528,2708,2575
16,924,9501,19,25341,2708,2575
17,1189,10500,21,26567,2708,2575
18,708,9357,21,25367,2708,2575
19,740,9777,20,26309,2708,2575
20,1239,10198,19,26633,2708,2575
21,1185,10201,20,26703,2708,2575
22,1456,10286,20,26392,2708,2575
23,1466,10267,19,26410,2708,2575
24,1620,10663,20,27057,2708,2575
25,503,9564,19,25771,2708,2575
26,786,9594,19,25793,2708,2575
27,1154,9972,20,26196,2708,2575
28,1102,10056,20,26509,2708,2575
29,456,9078,21,24901,2708,2575
30,510,9385,20,24988,2708,2575
31,947,9794,20,25739,2708,2575
32,600,9473,21,25604,2708,2575
33,1113,10391,21,27005,2708,2575
34,1011,10401,19,26686,2708,2575
35,696,9890,21,26320,2708,2575
36,505,9265,20,24902,2708,2575
37,914,9326,20,24884,2708,2575
38,1096,9637,20,25515,2708,2575
39,504,9255,20,25138,2708,2575
40,736,9731,21,26019,2708,2575
41,877,9712,21,25596,2708,2575
42,1443,10294,20,26464,2708,2575
43,1051,10721,20,27161,2708,2575
44,683,9964,21,25924,2708,2575
45,1062,10182,20,26538,2708,2575
46,945,9907,20,25997,2708,2575
47,747,9404,20,25310,2708,2575
48,716,9431,20,25563,2708,2575
49,727,9266,20,25359,2708,2575
50,673,9466,20,25551,2708,2575
51,645,9111,20,24852,2708,2575
52,1150,9910,21,25949,2708,2575
53,741,9120,21,24607,2708,2575
54,562,9490,20,25330,2708,2575
55,1094,10226,21,26490,2708,2575
56,624,9566,19,25853,2708,2575
57,1086,9922,18,26147,2708,2575
58,708,10056,20,26436,2708,2575
59,778,9418,21,25299,2708,2575
60,1200,10434,20,26452,2708,2575
61,1637,10483,20,26697,2708,2575
62,1215,10424,20,26894,2708,2575
63,648,9571,20,25873,2708,2575
64,1420,10403,20,26789,2708,2575
65,669,9223,20,25361,2708,2575
66,1229,10546,19,27255,2708,2575
67,1020,9880,20,26083,2708,2575
68,936,10340,20,26707,2708,2575
69,623,9421,21,25510,2708,2575
70,693,9850,20,26343,2708,2575
71,688,9498,20,25498,2708,2575
72,657,9267,20,25267,2708,2575
73,1132,10143,20,26559,2708,2575
74,1099,9566,21,25214,2708,2575
75,884,9373,20,25081,2708,2575
76,1296,10504,20,27281,2708,2575
77,1467,10330,21,26530,2708,2575
78,571,9372,21,25445,2708,2575
79,743,9834,19,26246,2708,2575
80,669,9600,20,25602,2708,2575
81,722,9969,21,26867,2708,2575
82,1110,10218,20,26805,2708,2575
83,1184,9745,20,25649,2708,2575
84,939,9429,22,25041,2708,2575
85,858,10505,21,27013,2708,2575
86,991,10365,20,26707,2708,2575
87,665,9539,21,25658,2708,2575
88,468,9248,20,25300,2708,2575
89,561,9790,21,26043,2708,2575
90,913,9421,21,25095,2708,2575
91,653,9354,21,25405,2708,2575
92,1229,11089,19,27824,2708,2575
93,1122,10101,20,26659,2708,2575
94,1538,10384,20,26717,2708,2575
95,879,9453,21,25476,2708,2575
96,554,9566,20,25569,2708,2575
97,645,9160,21,24863,2708,2575
98,1622,10516,19,26757,2708,2575
99,752,9240,20,24907,2708,2575
100,986,9501,21,25147,2708,2575
101,900,9313,20,24794,2708,2575
102,633,9454,21,25567,2708,2575
103,1298,10156,19,26489,2708,2575
104,1465,10298,19,26565,2708,2575
105,569,9434,20,25647,2708,2575
106,1018,10114,20,26392,2708,2575
107,984,10561,21,27194,2708,2575
108,1366,10170,20,26360,2708,2575
109,634,9536,20,25884,2708,2575
110,1108,10122,19,26659,2708,2575
111,745,9666,20,25870,2708,2575
112,1442,10340,21,26584,2708,2575
113,639,9237,20,25216,2708,2575
114,1037,9701,21,25637,2708,2575
115,930,9482,20,25302,2708,2575
116,1107,9726,21,25744,2708,2575
117,612,9304,20,25270,2708,2575
118,1470,10652,20,27002,2708,2575
119,1083,9876,20,26057,2708,2575
120,1565,10108,19,26354,2708,2575
121,729,9598,20,25856,2708,2575
122,934,9448,20,25425,2708,2575
123,1497,10463,20,26830,2708,2575
124,746,9741,20,26158,2708,2575
125,956,9550,21,25408,2708,2575
126,802,9506,20,25626,2708,2575
127,664,9414,22,25196,2708,2575
128,1496,10890,21,27009,2708,2575
129,850,9409,20,25266,2708,2575
130,637,9586,20,25714,2708,2575
131,1314,10137,20,26417,2708,2575
132,931,9511,19,25402,2708,2575
133,930,9481,20,25249,2708,2575
134,788,9269,20,24938,2708,2575
135,741,9332,21,25133,2708,2575
136,965,10387,19,26814,2708,2575
137,486,9447,20,25543,2708,2575
138,820,9881,20,26385,2708,2575
139,760,9432,20,25468,2708,2575
140,679,9759,21,26318,2708,2575
141,682,9622,21,25971,2708,2575
142,1141,10509,21,27278,2708,2575
143,1107,10039,20,26320,2708,2575
