sid,NOT,AND,Level,edges,PI,PO
0,5713,39355,20,99591,10731,10422
1,1240,38785,18,102819,10731,10422
2,5627,43234,18,107290,10731,10422
3,1536,32247,18,89537,10731,10422
4,5757,39358,20,99421,10731,10422
5,5554,43071,19,107064,10731,10422
6,5338,42895,20,106996,10731,10422
7,5676,39225,21,99245,10731,10422
8,5608,43498,20,107860,10731,10422
9,5785,43314,19,107458,10731,10422
10,5309,36111,19,93197,10731,10422
11,5504,39042,19,98981,10731,10422
12,5749,43134,19,107010,10731,10422
13,5475,38827,20,98689,10731,10422
14,5549,42754,20,106639,10731,10422
15,5655,39275,18,99267,10731,10422
16,1154,38512,20,102167,10731,10422
17,5744,39266,19,99294,10731,10422
18,5757,42604,20,105944,10731,10422
19,5499,42812,19,106449,10731,10422
20,1396,38706,19,102417,10731,10422
21,5749,39331,21,99317,10731,10422
22,5784,43202,19,107387,10731,10422
23,5615,43155,20,107450,10731,10422
24,5763,42920,19,106512,10731,10422
25,5403,42714,21,106621,10731,10422
26,5424,39007,19,98939,10731,10422
27,5688,39270,19,99231,10731,10422
28,1547,31780,19,88477,10731,10422
29,5421,38789,19,98488,10731,10422
30,1410,38728,20,102593,10731,10422
31,5358,35853,20,92680,10731,10422
32,5444,38796,19,98557,10731,10422
33,5736,35840,19,92507,10731,10422
34,5598,42935,19,107030,10731,10422
35,5481,42364,20,105760,10731,10422
36,5301,35948,20,92952,10731,10422
37,5305,35863,19,92766,10731,10422
38,5254,42673,20,106341,10731,10422
39,5489,38845,19,98611,10731,10422
40,5771,36149,19,92985,10731,10422
41,1247,31801,19,88690,10731,10422
42,5590,43118,19,107192,10731,10422
43,5813,43536,20,107791,10731,10422
44,5461,38843,18,98679,10731,10422
45,5733,36398,20,93546,10731,10422
46,5501,35883,19,92658,10731,10422
47,5499,38858,20,98511,10731,10422
48,5524,42447,18,105900,10731,10422
49,5375,43005,21,107030,10731,10422
50,5409,38702,19,98388,10731,10422
51,5324,43079,19,107101,10731,10422
52,5711,39445,19,99634,10731,10422
53,5341,35391,20,91708,10731,10422
54,5391,42461,21,105811,10731,10422
55,5291,35626,20,92310,10731,10422
56,5542,43300,19,107495,10731,10422
57,1485,38705,18,102398,10731,10422
58,5530,42824,19,106632,10731,10422
59,5480,38900,20,98579,10731,10422
60,5772,39339,19,99492,10731,10422
61,5649,43347,19,107595,10731,10422
62,5727,43085,19,106940,10731,10422
63,5495,38902,21,98751,10731,10422
64,5810,43212,19,107375,10731,10422
65,1239,31454,19,88056,10731,10422
66,5766,43256,19,107297,10731,10422
67,5664,39250,19,99352,10731,10422
68,5763,43276,20,107526,10731,10422
69,5683,39275,19,99280,10731,10422
70,1400,31871,19,88767,10731,10422
71,5807,43298,19,107376,10731,10422
72,1209,31919,18,88993,10731,10422
73,5705,39402,19,99450,10731,10422
74,1232,38928,20,102903,10731,10422
75,5740,39420,18,99554,10731,10422
76,5505,35967,19,93019,10731,10422
77,5631,36230,20,93299,10731,10422
78,5717,39357,20,99410,10731,10422
79,1200,38174,19,101660,10731,10422
