sid,BUFF,NOT,AND,PI,PO,LP
224,18846,29757,24097,632,409,792
67,18514,29721,23913,632,409,775
464,18480,29415,23743,632,409,801
413,18451,29504,23773,632,409,809
90,18560,29559,23855,632,409,805
205,18522,29683,23898,632,409,794
465,18557,29788,23968,632,409,779
316,17849,29990,23715,632,409,790
452,18483,30324,24199,632,409,767
242,18896,29443,23965,632,409,792
197,18512,29823,23963,632,409,791
33,18323,29756,23835,632,409,780
499,18044,30579,24107,632,409,787
194,18483,29734,23904,632,409,792
128,18195,29414,23600,632,409,789
345,18465,29670,23863,632,409,790
328,18342,30417,24175,632,409,809
137,18497,29444,23766,632,409,788
372,18683,29688,23981,632,409,778
81,18818,29899,24154,632,409,771
64,18278,29813,23841,632,409,795
439,18443,29672,23853,632,409,770
492,18772,29773,24068,632,409,771
124,18124,30247,23981,632,409,794
62,18361,30028,23990,632,409,802
378,18582,29529,23851,632,409,786
19,18836,29699,24063,632,409,796
241,18706,29307,23802,632,409,792
428,18893,29880,24182,632,409,799
438,18525,29490,23803,632,409,789
355,18643,29360,23797,632,409,795
482,18301,29664,23778,632,409,794
237,18760,29839,24095,632,409,791
468,18273,29692,23778,632,409,807
322,18594,29547,23866,632,409,804
43,19226,29801,24309,632,409,771
467,18660,29397,23824,632,409,789
419,18302,29509,23701,632,409,787
415,18664,29543,23899,632,409,784
54,18492,29503,23793,632,409,818
305,19397,29460,24224,632,409,775
17,18127,30424,24071,632,409,799
397,18535,29762,23944,632,409,790
434,18341,29916,23924,632,409,789
379,18234,29937,23881,632,409,782
447,18621,29380,23796,632,409,797
14,18272,29403,23633,632,409,781
284,18161,29862,23807,632,409,783
113,18962,29399,23976,632,409,774
402,18042,30111,23872,632,409,804
437,18421,29662,23837,632,409,801
472,18426,29705,23861,632,409,791
461,18161,29876,23814,632,409,797
483,18209,29578,23689,632,409,768
384,18672,29603,23933,632,409,785
338,18561,29734,23943,632,409,782
152,18512,29601,23852,632,409,772
154,18677,29510,23889,632,409,791
491,17944,29935,23735,632,409,794
77,18270,29589,23725,632,409,797
55,18359,29586,23768,632,409,789
407,18648,29847,24043,632,409,776
5,18029,30042,23831,632,409,797
387,18560,29623,23887,632,409,788
217,18235,29978,23902,632,409,796
179,17971,30342,23952,632,409,784
336,18084,29819,23747,632,409,797
94,18026,29873,23745,632,409,798
164,18269,29360,23610,632,409,804
103,18515,29564,23835,632,409,785
93,18817,29090,23749,632,409,767
474,18769,29398,23879,632,409,779
159,18872,29449,23956,632,409,783
