sid,NOT,AND,Level,edges,PI,PO
0,3257,23132,500,55638,632,409
1,3178,22677,504,54370,632,409
2,3091,22706,506,54853,632,409
3,3183,23146,490,55969,632,409
4,3315,23419,507,56335,632,409
5,3268,23075,499,55147,632,409
6,3067,22416,504,53754,632,409
7,3326,23180,512,55862,632,409
8,3090,22972,505,55430,632,409
9,3298,23410,501,56349,632,409
10,3072,22457,512,53989,632,409
11,3269,23779,503,57234,632,409
12,3241,22881,500,55039,632,409
13,3119,23373,503,56591,632,409
14,3075,22791,506,55203,632,409
15,3237,23328,512,56211,632,409
16,3336,23670,503,57187,632,409
17,3214,23299,503,56177,632,409
18,3058,22768,508,54799,632,409
19,3254,23386,507,56179,632,409
20,3230,23296,503,56399,632,409
21,3153,23323,496,56311,632,409
22,3106,22746,502,54867,632,409
23,3159,22856,505,54965,632,409
24,3167,22779,509,54852,632,409
25,3256,23246,488,56110,632,409
26,3185,23510,498,56775,632,409
27,3289,23568,492,57175,632,409
28,3285,23296,502,56491,632,409
29,3269,23073,503,55574,632,409
30,3046,22747,498,54945,632,409
31,3146,22832,505,55122,632,409
32,3262,22822,516,54683,632,409
33,3255,23433,496,56487,632,409
34,3036,22986,505,55813,632,409
35,3142,22792,515,54962,632,409
36,3181,22850,509,54973,632,409
37,3200,23341,498,56351,632,409
38,3029,22351,516,53807,632,409
39,3379,23873,495,57731,632,409
40,3276,23593,500,57056,632,409
41,3167,23139,501,56109,632,409
42,3032,22600,505,54555,632,409
43,3308,24154,493,58871,632,409
44,3361,23319,505,56355,632,409
45,3238,22934,514,55188,632,409
46,3342,23408,500,56350,632,409
47,3137,22755,506,54687,632,409
48,3267,23444,497,56735,632,409
49,3160,22877,510,54961,632,409
50,3248,22895,515,54864,632,409
51,3214,23186,500,56314,632,409
52,3113,22913,504,55303,632,409
53,3258,22629,504,54177,632,409
54,3139,22928,519,55283,632,409
55,3065,22699,509,54721,632,409
56,3265,23598,491,56966,632,409
57,3223,23460,496,56630,632,409
58,3136,22858,502,54895,632,409
59,3323,23284,505,56297,632,409
60,3413,23940,500,57806,632,409
61,3080,22678,507,54539,632,409
62,3185,23279,506,55836,632,409
63,3283,23484,495,56569,632,409
64,3105,22885,508,55078,632,409
65,3184,23110,495,55778,632,409
66,3175,23257,493,56060,632,409
67,3200,23297,495,56461,632,409
68,3112,23165,508,56041,632,409
69,3217,22803,508,54969,632,409
70,3272,23125,492,55764,632,409
71,3220,23014,504,55252,632,409
72,3222,23328,506,56573,632,409
73,3242,23108,500,55785,632,409
74,3223,22757,494,54865,632,409
75,3272,23414,503,56287,632,409
76,3261,23019,512,55526,632,409
77,3172,22859,512,54995,632,409
