sid,NOT,AND,Level,edges,PI,PO
0,108,690,8,1669,177,128
1,134,663,9,1669,177,128
2,131,662,9,1632,177,128
3,131,683,9,1689,177,128
4,98,698,8,1679,177,128
5,108,703,9,1666,177,128
6,109,659,9,1682,177,128
7,93,698,9,1665,177,128
8,117,654,8,1652,177,128
9,96,713,8,1732,177,128
10,121,682,9,1692,177,128
11,106,689,9,1655,177,128
12,85,680,9,1659,177,128
13,108,696,9,1681,177,128
14,106,663,9,1672,177,128
15,104,699,9,1688,177,128
16,138,667,9,1664,177,128
17,92,712,9,1730,177,128
18,97,685,9,1642,177,128
19,111,690,10,1669,177,128
20,110,648,9,1626,177,128
21,90,701,9,1713,177,128
22,87,664,9,1683,177,128
23,103,639,8,1608,177,128
24,112,663,8,1667,177,128
25,114,652,9,1635,177,128
26,99,678,10,1627,177,128
27,99,699,9,1689,177,128
28,125,647,8,1600,177,128
29,99,678,9,1648,177,128
30,117,654,9,1663,177,128
31,102,663,9,1696,177,128
32,101,688,9,1650,177,128
33,105,704,9,1706,177,128
34,92,671,9,1682,177,128
35,126,665,8,1656,177,128
36,118,657,9,1637,177,128
37,118,649,8,1623,177,128
38,117,659,8,1654,177,128
39,97,693,9,1699,177,128
40,109,717,9,1729,177,128
41,99,668,9,1657,177,128
42,110,647,8,1640,177,128
43,99,705,8,1708,177,128
44,97,695,9,1660,177,128
45,84,693,9,1669,177,128
46,89,679,9,1718,177,128
47,102,700,9,1670,177,128
48,96,708,9,1734,177,128
49,120,669,9,1663,177,128
50,101,707,8,1695,177,128
51,117,640,9,1599,177,128
52,101,695,9,1668,177,128
53,121,659,8,1651,177,128
54,104,654,9,1639,177,128
55,108,663,9,1669,177,128
56,113,691,9,1659,177,128
57,113,644,9,1613,177,128
58,120,655,9,1641,177,128
59,98,687,9,1662,177,128
60,104,699,8,1711,177,128
61,109,683,9,1708,177,128
62,116,702,9,1671,177,128
63,103,711,9,1699,177,128
64,88,673,8,1688,177,128
65,107,655,9,1644,177,128
66,102,697,8,1696,177,128
67,104,736,9,1770,177,128
68,110,654,9,1659,177,128
69,68,663,9,1660,177,128
70,114,673,9,1677,177,128
71,96,703,8,1701,177,128
72,128,667,9,1652,177,128
73,98,687,9,1640,177,128
74,119,646,9,1609,177,128
75,99,687,9,1647,177,128
76,105,666,8,1663,177,128
77,83,642,8,1665,177,128
78,89,691,9,1699,177,128
79,134,660,9,1641,177,128
80,125,653,9,1645,177,128
81,99,690,9,1693,177,128
82,99,703,9,1720,177,128
83,92,689,9,1669,177,128
84,78,686,9,1684,177,128
85,97,684,9,1644,177,128
86,113,665,8,1659,177,128
87,97,700,9,1695,177,128
88,97,690,8,1667,177,128
89,119,664,8,1669,177,128
90,114,654,9,1652,177,128
91,110,721,9,1731,177,128
92,110,705,9,1710,177,128
93,118,673,9,1670,177,128
94,96,664,9,1680,177,128
95,99,637,9,1606,177,128
96,95,661,9,1659,177,128
97,84,689,9,1685,177,128
98,88,655,9,1662,177,128
99,132,674,9,1670,177,128
100,116,657,8,1652,177,128
101,122,656,9,1654,177,128
102,103,698,9,1674,177,128
103,97,654,8,1651,177,128
104,120,678,9,1697,177,128
105,107,686,8,1659,177,128
106,104,694,9,1685,177,128
107,122,665,9,1648,177,128
108,104,662,9,1644,177,128
109,121,701,9,1662,177,128
110,105,700,9,1678,177,128
111,92,696,9,1688,177,128
112,130,657,9,1630,177,128
113,112,661,9,1670,177,128
114,97,707,9,1712,177,128
115,116,629,9,1593,177,128
116,91,720,9,1728,177,128
117,110,703,9,1682,177,128
118,94,664,9,1673,177,128
119,105,713,9,1690,177,128
120,108,674,8,1692,177,128
121,90,677,9,1655,177,128
122,98,675,10,1682,177,128
123,126,669,9,1667,177,128
124,89,683,9,1666,177,128
125,118,633,9,1585,177,128
126,97,731,9,1757,177,128
127,126,663,9,1648,177,128
128,102,648,9,1637,177,128
129,124,643,9,1598,177,128
130,125,673,9,1679,177,128
