sid,NOT,AND,Level,edges,PI,PO
0,1970,17738,261,45736,32,32
1,2133,19050,236,48832,32,32
2,2099,18272,254,47161,32,32
3,2212,18853,244,48238,32,32
4,1881,17326,259,45278,32,32
5,1895,17587,260,45512,32,32
6,2000,18063,243,46950,32,32
7,1922,17814,251,46493,32,32
8,1938,17969,252,46592,32,32
9,1856,17421,255,45351,32,32
10,2038,18535,244,47495,32,32
11,1967,18027,256,46283,32,32
12,1995,18216,251,47211,32,32
13,1982,18105,253,46918,32,32
14,2040,18243,255,46966,32,32
15,2130,18588,245,48145,32,32
16,2015,18601,242,47957,32,32
17,1895,17876,249,46511,32,32
18,2033,18237,249,47132,32,32
19,1953,17829,261,45736,32,32
20,2211,19228,238,48830,32,32
21,1966,17953,247,46659,32,32
22,2059,18400,251,47121,32,32
23,2088,18633,250,47635,32,32
24,1921,17945,250,46594,32,32
25,2040,18298,257,47020,32,32
26,1983,17972,262,46327,32,32
27,1855,17494,253,45735,32,32
28,2066,18637,253,48075,32,32
29,2155,18754,241,48618,32,32
30,2107,18637,252,47830,32,32
31,2135,18757,249,47939,32,32
32,1887,17774,249,46403,32,32
33,1996,17890,251,46436,32,32
34,2072,18573,245,47558,32,32
35,1881,17597,257,45656,32,32
36,2124,18859,249,48102,32,32
37,2170,19057,240,48836,32,32
38,2169,18760,245,48697,32,32
39,1885,17525,262,45474,32,32
40,2005,18125,242,47075,32,32
41,2191,18567,249,47360,32,32
42,1990,17890,261,46122,32,32
43,1899,17820,254,46291,32,32
44,2125,18137,248,46977,32,32
45,2077,18063,254,46683,32,32
46,2137,19067,249,48606,32,32
47,1977,17941,253,46611,32,32
48,1842,17504,254,45645,32,32
49,1772,17423,262,45340,32,32
50,2149,18488,247,47422,32,32
51,2055,18180,245,47088,32,32
52,1798,17319,259,45110,32,32
53,2039,18399,257,46641,32,32
54,2281,18529,252,47084,32,32
55,2083,18757,250,47816,32,32
56,2007,17876,263,46068,32,32
57,2141,18968,244,48538,32,32
58,2093,18551,249,47551,32,32
59,2029,17920,253,46502,32,32
60,1935,17949,252,46665,32,32
61,1987,18056,245,46919,32,32
62,2004,18088,258,46603,32,32
63,2008,17832,258,45758,32,32
64,2109,18373,255,47052,32,32
65,2018,17979,250,46725,32,32
