sid,NOT,AND,Level,edges,PI,PO
0,833,2521,101,5741,512,130
1,660,2387,107,5623,512,130
2,543,2224,96,5489,512,130
3,552,2243,101,5238,512,130
4,827,2747,103,6206,512,130
5,733,2658,104,6298,512,130
6,601,2557,109,6078,512,130
7,591,2314,98,5590,512,130
8,675,2559,107,5844,512,130
9,671,2405,103,5778,512,130
10,576,2369,99,5538,512,130
11,491,2282,101,5463,512,130
12,607,2320,93,5640,512,130
13,485,2256,102,5538,512,130
14,611,2413,100,5662,512,130
15,531,2142,103,5180,512,130
16,645,2299,101,5437,512,130
17,558,2243,105,5521,512,130
18,738,2575,104,6051,512,130
19,783,2807,114,6236,512,130
20,564,2288,101,5460,512,130
21,731,2601,102,6064,512,130
22,736,2530,97,6003,512,130
23,664,2326,92,5539,512,130
24,663,2342,102,5569,512,130
25,589,2441,110,5873,512,130
26,633,2433,104,5814,512,130
27,503,2130,107,5179,512,130
28,720,2548,106,5916,512,130
29,628,2242,100,5232,512,130
30,881,2750,106,6281,512,130
31,549,2553,118,6016,512,130
32,719,2530,96,5677,512,130
33,570,2111,97,5243,512,130
34,833,2587,97,6035,512,130
35,633,2307,103,5574,512,130
36,564,2362,96,5609,512,130
37,851,2696,102,6022,512,130
38,655,2538,96,6026,512,130
39,675,2559,104,5997,512,130
40,590,2340,95,5616,512,130
41,639,2466,108,5764,512,130
42,742,2563,101,5892,512,130
43,617,2425,107,5738,512,130
44,714,2479,92,5827,512,130
45,541,2241,100,5096,512,130
46,519,2184,107,5132,512,130
47,532,2189,99,5386,512,130
48,902,2730,108,6170,512,130
49,565,2460,109,5797,512,130
50,744,2636,98,6245,512,130
51,591,2440,105,5707,512,130
52,551,2366,103,5657,512,130
53,453,2128,118,5312,512,130
54,494,2202,109,5412,512,130
55,598,2338,102,5572,512,130
56,717,2583,103,5923,512,130
57,698,2388,98,5629,512,130
58,965,2842,99,6533,512,130
59,499,2188,106,5237,512,130
60,625,2585,110,6010,512,130
61,579,2226,98,5486,512,130
62,873,2619,100,6092,512,130
63,596,2363,100,5635,512,130
64,853,2507,102,5853,512,130
65,547,2449,109,5787,512,130
66,677,2439,95,5747,512,130
67,910,2685,108,5926,512,130
68,750,2457,101,5880,512,130
69,665,2337,99,5407,512,130
70,557,2304,102,5462,512,130
71,756,2454,102,5763,512,130
72,635,2329,106,5502,512,130
73,560,2417,105,5803,512,130
74,561,2340,102,5604,512,130
75,661,2326,107,5639,512,130
76,562,2283,100,5590,512,130
77,703,2444,99,5813,512,130
78,722,2463,107,5640,512,130
79,592,2468,104,5855,512,130
80,646,2401,107,5684,512,130
81,811,2559,98,6002,512,130
82,645,2481,102,6028,512,130
83,748,2572,105,5958,512,130
84,851,2794,105,6290,512,130
85,653,2387,99,5735,512,130
86,619,2415,99,5664,512,130
87,651,2394,101,5499,512,130
88,992,2863,104,6474,512,130
89,713,2635,99,6158,512,130
90,900,2792,97,6162,512,130
91,609,2355,93,5545,512,130
92,730,2463,100,5905,512,130
93,578,2289,101,5447,512,130
94,552,2342,104,5586,512,130
95,582,2362,138,5558,512,130
96,565,2365,106,5543,512,130
97,682,2522,102,5926,512,130
98,669,2446,101,5792,512,130
99,553,2388,109,5713,512,130
100,836,2726,102,6253,512,130
101,706,2592,114,6013,512,130
102,574,2322,99,5684,512,130
103,560,2289,100,5567,512,130
104,729,2601,103,6040,512,130
105,747,2611,101,6176,512,130
106,821,2739,108,6214,512,130
107,691,2533,101,5884,512,130
108,614,2393,100,5722,512,130
109,888,2718,111,6183,512,130
110,692,2461,104,5765,512,130
111,509,2233,103,5297,512,130
112,615,2286,106,5289,512,130
113,678,2435,108,5739,512,130
114,733,2371,102,5445,512,130
115,765,2579,111,5940,512,130
116,752,2610,102,5926,512,130
117,649,2369,103,5610,512,130
118,473,2108,101,5145,512,130
119,806,2598,106,5976,512,130
120,583,2362,101,5720,512,130
121,562,2240,99,5432,512,130
122,578,2415,110,5669,512,130
123,541,2164,99,5372,512,130
124,504,2278,109,5501,512,130
125,590,2340,95,5623,512,130
126,557,2363,113,5563,512,130
127,587,2284,102,5449,512,130
128,550,2357,115,5569,512,130
129,642,2420,105,5756,512,130
130,695,2509,107,5863,512,130
131,619,2311,110,5655,512,130
132,667,2376,108,5530,512,130
133,573,2466,115,5676,512,130
134,517,2210,124,5188,512,130
135,640,2304,102,5421,512,130
136,614,2419,104,5879,512,130
137,571,2287,100,5594,512,130
138,942,2819,102,6287,512,130
139,930,2852,115,6453,512,130
140,668,2315,97,5642,512,130
141,657,2436,103,5760,512,130
142,763,2506,102,5957,512,130
143,532,2330,112,5551,512,130
144,515,2166,101,5384,512,130
145,805,2553,96,5967,512,130
146,746,2528,103,6006,512,130
147,622,2427,92,5507,512,130
148,971,2845,103,6428,512,130
149,621,2312,98,5658,512,130
150,609,2374,102,5745,512,130
151,695,2532,114,5898,512,130
152,553,2171,97,5258,512,130
153,744,2568,94,6032,512,130
154,612,2370,101,5714,512,130
155,707,2463,103,5662,512,130
156,790,2694,103,6186,512,130
157,616,2423,107,5736,512,130
158,820,2634,107,5903,512,130
159,621,2478,118,5917,512,130
160,767,2560,104,5905,512,130
161,526,2508,105,5875,512,130
162,536,2449,109,5610,512,130
163,616,2337,100,5510,512,130
164,573,2274,105,5398,512,130
165,697,2619,103,5868,512,130
166,790,2579,108,5989,512,130
167,767,2588,92,6171,512,130
168,645,2367,100,5617,512,130
169,650,2464,96,5920,512,130
170,727,2624,108,6214,512,130
171,682,2438,108,5744,512,130
172,466,2060,103,5054,512,130
173,611,2428,111,5810,512,130
174,591,2442,104,5839,512,130
175,722,2608,107,6125,512,130
176,670,2397,105,5764,512,130
177,575,2401,105,5794,512,130
178,540,2338,99,5666,512,130
179,831,2523,101,5753,512,130
180,774,2654,103,6113,512,130
181,641,2422,107,5715,512,130
182,527,2344,104,5617,512,130
183,748,2741,114,6276,512,130
184,663,2556,105,5965,512,130
185,838,2675,101,6171,512,130
186,607,2259,102,5378,512,130
187,673,2441,107,5870,512,130
188,486,2091,100,5111,512,130
189,508,2284,102,5534,512,130
190,771,2638,112,6132,512,130
191,768,2766,99,6239,512,130
192,862,2722,96,6340,512,130
193,647,2488,99,5937,512,130
194,857,2788,116,6441,512,130
195,662,2442,94,5878,512,130
196,938,2861,107,6414,512,130
197,631,2546,105,6000,512,130
198,989,2776,104,6263,512,130
199,526,2177,106,5416,512,130
200,653,2476,103,5756,512,130
201,543,2490,108,5741,512,130
202,769,2585,109,5755,512,130
203,876,2867,105,6342,512,130
204,707,2317,89,5627,512,130
