sid,BUFF,NOT,AND,PI,PO,LP
224,10122,11172,10166,1187,962,35
67,8516,10820,9187,1187,962,36
464,9315,10091,9222,1187,962,35
413,9163,10121,9161,1187,962,36
90,9184,10050,9136,1187,962,36
205,9381,10247,9333,1187,962,34
465,10113,11933,10542,1187,962,35
316,8345,10375,8879,1187,962,35
452,8831,11313,9591,1187,962,34
242,9182,9910,9065,1187,962,35
197,8819,10593,9225,1187,962,36
33,8568,10358,8982,1187,962,34
499,8760,11158,9478,1187,962,35
194,9444,10048,9265,1187,962,36
128,9124,10084,9123,1187,962,36
345,9030,10124,9096,1187,962,33
328,8446,10786,9135,1187,962,35
137,9152,9788,8989,1187,962,35
372,9652,10508,9599,1187,962,34
81,9571,10851,9730,1187,962,35
64,9210,9936,9092,1187,962,35
439,8322,10718,9039,1187,962,35
492,9702,11002,9871,1187,962,35
124,8781,11185,9502,1187,962,35
62,9067,10771,9438,1187,962,35
378,9306,9946,9145,1187,962,34
19,9021,10785,9422,1187,962,35
241,9171,9735,8972,1187,962,35
428,9848,10496,9691,1187,962,34
438,9255,9995,9144,1187,962,35
355,9881,10721,9820,1187,962,35
482,8652,10960,9325,1187,962,35
237,8936,10342,9158,1187,962,35
468,8867,10935,9420,1187,962,35
322,9108,9726,8936,1187,962,35
43,9229,10517,9392,1187,962,35
467,9110,9868,9008,1187,962,35
419,8872,10058,8984,1187,962,35
415,8589,11133,9380,1187,962,35
54,9217,9753,9004,1187,962,36
305,10088,10744,9935,1187,962,36
17,8488,11116,9321,1187,962,34
397,8717,11269,9512,1187,962,35
434,8717,10763,9259,1187,962,35
379,8916,9688,8821,1187,962,35
447,9601,10299,9469,1187,962,36
14,8943,10073,9027,1187,962,36
284,8757,11217,9506,1187,962,35
113,9791,10659,9744,1187,962,35
402,8421,10473,8966,1187,962,35
437,9326,10136,9250,1187,962,35
472,9271,10469,9389,1187,962,33
461,8390,10760,9094,1187,962,35
483,8573,10665,9138,1187,962,35
384,9254,10056,9174,1187,962,36
338,9251,10309,9299,1187,962,35
152,8718,10770,9263,1187,962,35
154,9631,10283,9476,1187,962,35
491,8436,10706,9090,1187,962,34
77,9131,10027,9098,1187,962,35
55,9094,10042,9087,1187,962,35
407,9542,10624,9602,1187,962,35
5,8766,10494,9149,1187,962,36
387,9180,9820,9019,1187,962,35
217,8657,10823,9259,1187,962,35
179,8317,10487,8921,1187,962,35
336,9167,10085,9145,1187,962,36
94,8946,10010,8997,1187,962,35
164,9234,9932,9102,1187,962,35
103,8869,9961,8934,1187,962,35
93,9407,10111,9278,1187,962,35
474,9312,10162,9256,1187,962,35
159,9485,10345,9434,1187,962,36
36,9118,10114,9135,1187,962,36
406,9303,11653,9997,1187,962,35
144,8993,9893,8962,1187,962,35
375,8372,10566,8988,1187,962,35
79,9247,10087,9186,1187,962,33
471,9004,10676,9359,1187,962,35
441,12927,13113,12539,1187,962,35
230,8930,10288,9128,1187,962,34
390,8483,10809,9165,1187,962,35
347,8870,10670,9289,1187,962,35
324,8377,10363,8889,1187,962,36
72,9390,10636,9532,1187,962,36
38,8940,9736,8857,1187,962,36
153,9179,9773,8995,1187,962,35
186,8647,11051,9368,1187,962,36
167,9056,10068,9081,1187,962,35
101,9181,10469,9344,1187,962,35
270,9141,9997,9088,1187,962,36
147,9083,9861,8991,1187,962,36
106,8975,10615,9314,1187,962,36
343,9449,10199,9343,1187,962,34
184,8822,9848,8854,1187,962,34
112,9370,10374,9391,1187,962,36
201,9593,10719,9675,1187,962,35
213,9459,10015,9256,1187,962,36
477,9450,10588,9538,1187,962,34
107,9356,10210,9302,1187,962,35
104,9398,10280,9358,1187,962,35
127,9103,9923,9032,1187,962,36
160,9236,10428,9351,1187,962,35
325,9554,11468,10030,1187,962,35
35,8988,9946,8986,1187,962,35
462,8956,9826,8910,1187,962,35
272,8253,10671,8981,1187,962,36
180,9516,10454,9504,1187,962,35
13,8775,11287,9550,1187,962,35
61,9279,10123,9220,1187,962,36
222,9295,10789,9561,1187,962,35
430,8616,10352,9003,1187,962,35
196,9466,10860,9682,1187,962,35
116,8287,10635,8980,1187,962,34
157,9066,10446,9275,1187,962,35
370,8217,10967,9111,1187,962,34
349,8865,11059,9481,1187,962,35
134,9391,10355,9392,1187,962,35
313,9127,9941,9053,1187,962,36
45,8639,10281,8979,1187,962,36
365,8625,10045,8854,1187,962,36
172,8254,10816,9054,1187,962,35
244,8878,10492,9204,1187,962,35
309,9556,10558,9576,1187,962,35
498,8238,10850,9063,1187,962,35
262,8987,9677,8851,1187,962,35
212,8469,10797,9152,1187,962,35
200,9115,10141,9147,1187,962,36
49,10982,11714,10867,1187,962,35
95,10202,10992,10116,1187,962,35
298,8708,11006,9376,1187,962,36
6,9570,10268,9438,1187,962,35
431,9276,11888,10101,1187,962,35
360,9618,10162,9409,1187,962,36
331,8417,10967,9211,1187,962,35
59,9046,10930,9507,1187,962,36
227,9066,9956,9030,1187,962,35
454,8927,11237,9601,1187,962,35
9,8787,10511,9168,1187,962,35
243,9219,10723,9490,1187,962,35
385,8803,10343,9092,1187,962,35
170,9693,10327,9529,1187,962,35
277,8398,10556,8996,1187,962,35
121,8531,10443,9006,1187,962,35
480,9165,10801,9502,1187,962,36
481,8311,10589,8969,1187,962,35
299,9192,10090,9160,1187,962,35
291,8516,10636,9095,1187,962,35
130,9287,10247,9286,1187,962,35
412,8478,10522,9019,1187,962,34
485,9667,10909,9807,1187,962,35
358,8381,10429,8924,1187,962,35
29,8252,10848,9069,1187,962,36
136,9207,10089,9167,1187,962,35
56,9460,10968,9733,1187,962,36
215,8844,9754,8818,1187,962,35
52,8516,10842,9198,1187,962,36
156,8296,10560,8947,1187,962,35
260,8834,10488,9180,1187,962,35
411,8259,10851,9074,1187,962,35
209,9111,10141,9145,1187,962,35
312,9146,10016,9100,1187,962,36
286,9439,10321,9399,1187,962,35
206,8202,10428,8834,1187,962,35
410,9150,10004,9096,1187,962,35
405,9332,10304,9337,1187,962,34
414,8655,10603,9148,1187,962,34
199,9054,10450,9271,1187,962,34
