sid,NOT,AND,Level,edges,PI,PO
0,1914,17797,151,44228,128,128
1,1937,18201,156,45830,128,128
2,1801,17381,152,43173,128,128
3,1048,18224,151,46689,128,128
4,1058,17135,153,45248,128,128
5,1763,17336,151,43112,128,128
6,1084,17607,155,46670,128,128
7,1208,17111,153,44765,128,128
8,1457,18350,155,47236,128,128
9,920,17277,151,45783,128,128
10,1383,17801,153,44094,128,128
11,1978,18169,152,45745,128,128
12,1205,17487,155,46151,128,128
13,1054,17842,154,47238,128,128
14,1781,17472,152,43474,128,128
15,1118,17144,153,44935,128,128
16,1921,17801,153,45054,128,128
17,1515,18548,155,47658,128,128
18,1068,17755,155,47012,128,128
19,1943,18508,153,46687,128,128
20,1871,17665,153,44612,128,128
21,1044,17882,157,47370,128,128
22,1782,17300,152,43090,128,128
23,1793,18085,153,45051,128,128
24,833,17668,151,46745,128,128
25,1873,17943,158,45952,128,128
26,1824,18244,156,46119,128,128
27,1236,17803,154,47173,128,128
28,1883,17995,152,45660,128,128
29,1017,17349,153,45878,128,128
30,1837,17736,152,44776,128,128
31,1168,18397,154,47151,128,128
32,993,17725,154,46963,128,128
33,1006,17678,153,46799,128,128
34,1821,17758,151,44399,128,128
35,998,17613,154,46739,128,128
36,1142,17922,151,45950,128,128
37,1851,17543,152,44230,128,128
38,1644,17678,156,45306,128,128
39,1339,17065,152,44690,128,128
40,1243,17633,152,46382,128,128
41,1946,18503,153,45892,128,128
42,1860,17445,151,44155,128,128
43,1536,18570,156,47703,128,128
44,1225,17519,156,46137,128,128
45,1017,17538,154,46029,128,128
46,1140,18414,152,47233,128,128
47,1116,16831,153,44566,128,128
48,1025,17171,150,45355,128,128
49,1797,17264,152,44052,128,128
50,1737,17752,152,44960,128,128
51,1270,17381,151,45341,128,128
52,1165,17404,152,46143,128,128
53,1841,17802,151,45049,128,128
54,1914,17996,155,45167,128,128
55,1055,18141,154,46497,128,128
56,1857,17476,152,44053,128,128
57,1791,17258,152,43396,128,128
58,1836,17434,152,43301,128,128
59,1271,17578,151,46013,128,128
60,1490,18414,153,47243,128,128
61,1256,17642,155,46387,128,128
62,1820,17445,153,44058,128,128
63,1817,17373,151,43197,128,128
64,1866,17400,152,43652,128,128
65,1180,17402,154,46025,128,128
66,1834,17936,154,45398,128,128
67,1756,17934,155,45471,128,128
68,1864,17602,152,44213,128,128
69,1227,17750,153,46935,128,128
70,1141,18339,152,46963,128,128
71,1059,17274,154,45644,128,128
72,1026,17888,153,47347,128,128
73,1184,17794,153,47226,128,128
74,1319,17849,154,46685,128,128
75,1150,17136,150,45166,128,128
76,1755,17737,155,45347,128,128
77,1540,19095,156,47227,128,128
78,1214,17121,152,45229,128,128
79,1097,17411,153,45539,128,128
80,1632,17636,153,45667,128,128
81,1908,17793,154,44784,128,128
82,1186,17086,152,45068,128,128
83,1041,17603,154,46769,128,128
84,1512,18580,155,47775,128,128
85,1809,17370,153,43838,128,128
86,1844,18036,151,44968,128,128
87,1060,17651,153,46388,128,128
88,1850,17137,151,42749,128,128
89,1818,17769,152,44313,128,128
90,1796,17416,153,43489,128,128
91,988,17136,151,45577,128,128
92,1090,17303,152,45947,128,128
93,1259,17250,151,45033,128,128
94,1070,18446,152,47358,128,128
95,1257,18541,154,46983,128,128
96,1117,18331,151,46961,128,128
97,1296,17014,151,44842,128,128
98,957,17585,155,46631,128,128
99,1730,17727,154,44669,128,128
100,1751,17999,153,44992,128,128
101,1839,17633,155,44623,128,128
102,1094,17801,153,47079,128,128
103,1075,17607,153,46378,128,128
104,2032,18317,157,46113,128,128
105,1855,17034,152,42712,128,128
106,1891,17496,153,44120,128,128
107,1775,17455,153,44143,128,128
108,1605,19235,156,47639,128,128
109,1969,18127,152,45732,128,128
110,1841,17473,151,44094,128,128
111,1119,16325,153,42174,128,128
112,1983,18075,154,45786,128,128
113,1358,18022,153,47267,128,128
114,975,17277,152,45650,128,128
115,1794,17814,153,44756,128,128
116,1154,17018,151,44733,128,128
117,1964,18064,155,45817,128,128
118,1107,18780,151,48041,128,128
119,1120,16994,149,44741,128,128
120,1529,18352,156,47021,128,128
121,1122,17366,153,45595,128,128
122,1102,17662,153,46744,128,128
123,1085,17447,153,46029,128,128
124,1248,17571,152,46095,128,128
125,1022,17275,153,45484,128,128
126,1046,17091,153,45340,128,128
127,1060,17579,153,46421,128,128
128,1309,18687,153,47762,128,128
129,1060,17581,155,45926,128,128
130,1105,17563,153,46394,128,128
131,1157,17686,152,46194,128,128
132,1861,17659,154,44516,128,128
133,1194,17434,151,46039,128,128
134,1162,18393,152,47128,128,128
135,971,17583,152,46537,128,128
136,1931,17315,152,42995,128,128
137,1155,18187,151,46522,128,128
138,1834,17893,150,44585,128,128
139,1030,17399,152,46271,128,128
140,1918,18016,151,45519,128,128
141,1864,18129,151,45876,128,128
142,1040,17288,153,45535,128,128
143,1207,18410,152,47140,128,128
144,2002,17306,153,42950,128,128
