sid,NOT,AND,Level,edges,PI,PO
0,1831,10935,18,27884,3429,3157
1,1438,10324,19,26397,3429,3157
2,1855,11321,18,28239,3429,3157
3,1730,11978,18,31101,3429,3157
4,1581,10817,18,27845,3429,3157
5,1537,10390,18,26713,3429,3157
6,1549,10719,20,27738,3429,3157
7,1885,11165,19,27888,3429,3157
8,1780,10982,19,27775,3429,3157
9,1445,10642,18,27283,3429,3157
10,1482,10344,19,26610,3429,3157
11,1373,10382,19,27072,3429,3157
12,1669,11209,19,28644,3429,3157
13,1317,10008,19,26084,3429,3157
14,1666,11158,18,28508,3429,3157
15,1631,10853,19,27415,3429,3157
16,1391,10448,17,27147,3429,3157
17,1803,10886,20,27283,3429,3157
18,1707,11176,19,28133,3429,3157
19,1500,10591,18,26847,3429,3157
20,1472,11127,18,28553,3429,3157
21,1711,10684,18,27225,3429,3157
22,1850,10690,18,27185,3429,3157
23,1684,10959,19,28064,3429,3157
24,1572,11030,19,27901,3429,3157
25,1615,10962,19,28250,3429,3157
26,1423,10421,19,27122,3429,3157
27,1921,10777,19,26918,3429,3157
28,1988,11730,19,29254,3429,3157
29,1813,11261,19,28292,3429,3157
30,1476,10583,18,27124,3429,3157
31,1315,10113,18,26360,3429,3157
32,1417,10089,19,26373,3429,3157
33,1774,11018,18,27922,3429,3157
34,1756,10854,21,27550,3429,3157
35,1476,10490,19,27195,3429,3157
36,1527,10524,17,26678,3429,3157
37,1502,10607,19,27294,3429,3157
38,1556,10862,19,27835,3429,3157
39,1471,10409,17,26798,3429,3157
40,1448,11216,18,28794,3429,3157
41,1717,11427,19,29053,3429,3157
42,1661,10983,19,27626,3429,3157
43,1681,10704,19,26837,3429,3157
44,1506,10021,19,26060,3429,3157
45,1686,10930,18,27768,3429,3157
46,1354,10271,19,26618,3429,3157
47,1747,11263,18,28095,3429,3157
48,1699,11233,18,28399,3429,3157
49,1899,11830,19,29087,3429,3157
50,1417,10338,19,26871,3429,3157
51,1293,10993,19,28022,3429,3157
52,1742,11120,18,27696,3429,3157
53,1595,10809,19,27626,3429,3157
54,1608,11095,19,27833,3429,3157
55,1606,10566,18,27396,3429,3157
56,1542,10669,18,27438,3429,3157
57,1839,11016,17,27766,3429,3157
58,1601,11031,16,27878,3429,3157
59,1603,10530,19,26805,3429,3157
60,1776,10970,21,27661,3429,3157
61,1942,11484,19,28748,3429,3157
62,1748,10903,19,27543,3429,3157
63,1536,10774,18,27597,3429,3157
64,1614,10589,19,27313,3429,3157
65,1349,10269,19,26707,3429,3157
66,1751,11121,18,27791,3429,3157
67,1835,11182,18,27638,3429,3157
68,1858,11068,19,27810,3429,3157
69,1785,10580,19,26877,3429,3157
70,1656,11358,19,28685,3429,3157
71,1628,10830,19,27643,3429,3157
72,1708,11037,17,27821,3429,3157
73,1651,10777,19,27451,3429,3157
74,1154,9795,19,25734,3429,3157
75,1609,11168,19,28021,3429,3157
76,2183,11770,19,28634,3429,3157
77,1756,11466,18,28793,3429,3157
78,1628,10474,19,26845,3429,3157
79,1770,10997,19,27602,3429,3157
80,1718,11302,18,28113,3429,3157
81,1423,10675,19,27573,3429,3157
82,1970,11795,18,29306,3429,3157
83,1938,10854,18,27075,3429,3157
84,1902,10999,18,27232,3429,3157
85,1553,10996,19,28015,3429,3157
86,1754,10973,19,27736,3429,3157
87,2030,11992,19,29811,3429,3157
88,1409,10393,18,27256,3429,3157
89,1613,10801,19,27393,3429,3157
90,1449,10372,19,26924,3429,3157
91,1624,10273,19,26638,3429,3157
92,1807,11251,17,28289,3429,3157
93,1675,11254,17,28270,3429,3157
94,1744,10969,19,27903,3429,3157
95,1597,10730,19,27497,3429,3157
96,1966,11761,19,30006,3429,3157
97,2005,11437,19,28602,3429,3157
98,1770,10946,19,27526,3429,3157
99,1600,11277,18,28221,3429,3157
100,1420,10130,19,26368,3429,3157
101,1285,10036,19,26238,3429,3157
102,1414,10557,19,27309,3429,3157
103,1828,11264,19,28599,3429,3157
104,1665,10659,18,27143,3429,3157
105,1500,10653,19,27376,3429,3157
106,1900,11337,18,28466,3429,3157
107,1853,11015,18,27630,3429,3157
108,1735,10879,19,27553,3429,3157
109,1536,10690,18,26996,3429,3157
110,1923,11597,19,29096,3429,3157
111,1691,10842,19,27413,3429,3157
112,1644,11182,18,27879,3429,3157
113,2130,12403,20,31087,3429,3157
114,1811,10610,18,27263,3429,3157
115,1392,10307,18,26740,3429,3157
116,1952,11057,19,27880,3429,3157
117,1803,11355,18,28477,3429,3157
118,1875,11579,19,29058,3429,3157
119,2002,11309,19,28429,3429,3157
120,1847,11307,18,28015,3429,3157
121,1878,11031,19,27550,3429,3157
122,1885,11174,19,28208,3429,3157
123,1854,11420,19,28589,3429,3157
124,1472,10258,19,26386,3429,3157
125,1585,10386,18,27139,3429,3157
126,1971,12126,17,29431,3429,3157
127,1749,11426,19,28460,3429,3157
128,1707,11232,19,28211,3429,3157
129,1330,10322,19,26648,3429,3157
130,1502,10568,19,27151,3429,3157
131,1749,10894,19,27450,3429,3157
132,1441,10525,18,27010,3429,3157
133,1351,10488,19,26881,3429,3157
134,1174,10228,19,26941,3429,3157
135,1747,10680,19,26960,3429,3157
136,1908,11245,19,28288,3429,3157
137,1713,11228,19,28192,3429,3157
138,1458,10377,18,27037,3429,3157
139,1577,10916,19,27604,3429,3157
140,1522,10492,19,26819,3429,3157
141,1455,10519,18,27099,3429,3157
142,1709,10978,18,27815,3429,3157
143,1966,11518,19,28746,3429,3157
144,1650,10555,17,27273,3429,3157
145,1512,10155,20,26286,3429,3157
146,1907,10974,18,27463,3429,3157
147,1791,11206,19,28034,3429,3157
148,1459,10362,19,26524,3429,3157
149,1893,11468,19,28604,3429,3157
150,1536,10505,18,27267,3429,3157
151,1394,10804,19,27996,3429,3157
152,1693,11329,19,28392,3429,3157
153,1546,10654,19,26751,3429,3157
154,1720,11141,18,28453,3429,3157
155,1818,10468,19,26420,3429,3157
156,1379,10256,18,26709,3429,3157
157,1924,11419,20,28315,3429,3157
158,1577,10778,19,27307,3429,3157
159,1290,10236,19,26702,3429,3157
160,1727,10744,19,27173,3429,3157
161,1800,11373,19,28347,3429,3157
162,1288,10134,19,26666,3429,3157
163,1454,10675,17,27604,3429,3157
164,2228,11906,19,29186,3429,3157
165,1757,11134,19,27831,3429,3157
166,1343,10342,18,27053,3429,3157
167,1548,10711,17,27583,3429,3157
168,1408,10147,19,26416,3429,3157
169,1639,10920,18,28203,3429,3157
170,1635,10492,18,26514,3429,3157
171,1724,10953,19,27701,3429,3157
172,1548,10725,18,27271,3429,3157
173,1474,11011,18,27814,3429,3157
174,1582,10221,18,26729,3429,3157
175,1415,10747,19,27330,3429,3157
176,1725,10878,18,27461,3429,3157
177,1934,11241,18,27790,3429,3157
178,1962,11474,19,28517,3429,3157
179,1714,10980,19,28166,3429,3157
180,1831,10863,19,27669,3429,3157
181,1823,11126,19,27998,3429,3157
182,1398,10040,17,26448,3429,3157
183,1300,10262,18,27129,3429,3157
184,1505,10869,19,27630,3429,3157
185,1517,10606,20,27111,3429,3157
186,1535,10655,19,27421,3429,3157
187,1790,11751,19,28826,3429,3157
188,1694,11113,19,28173,3429,3157
189,1903,11334,18,28528,3429,3157
190,1419,10179,19,26390,3429,3157
191,1761,11217,19,28335,3429,3157
192,1500,10457,18,27244,3429,3157
193,1521,11485,17,28692,3429,3157
194,1412,10217,19,26809,3429,3157
