sid,NOT,AND,Level,edges,PI,PO
0,97,508,6,1148,135,125
1,64,429,6,1062,135,125
2,37,401,6,1023,135,125
3,56,426,6,1069,135,125
4,97,495,6,1133,135,125
5,43,439,6,1069,135,125
6,61,422,6,1048,135,125
7,98,499,6,1129,135,125
8,50,417,6,1059,135,125
9,38,437,6,1062,135,125
10,51,416,6,1057,135,125
11,97,517,6,1169,135,125
12,40,438,6,1059,135,125
13,98,515,7,1160,135,125
14,54,422,6,1050,135,125
15,100,521,6,1170,135,125
16,52,428,6,1068,135,125
17,93,501,6,1135,135,125
18,40,401,6,992,135,125
19,40,404,6,999,135,125
20,52,417,6,1054,135,125
21,96,509,6,1152,135,125
22,53,421,6,1059,135,125
23,51,416,6,1047,135,125
24,50,415,6,1044,135,125
25,58,420,6,1047,135,125
26,95,508,6,1150,135,125
27,79,465,6,1085,135,125
28,38,402,6,1037,135,125
29,97,511,6,1147,135,125
30,66,434,6,1081,135,125
31,51,422,6,1058,135,125
32,98,512,6,1151,135,125
33,42,439,6,1060,135,125
34,37,403,6,1032,135,125
35,68,400,6,1015,135,125
36,41,380,6,942,135,125
37,54,427,6,1070,135,125
38,50,416,6,1054,135,125
39,98,515,7,1164,135,125
40,46,448,6,1089,135,125
41,51,417,6,1054,135,125
42,51,421,6,1058,135,125
43,71,419,6,1039,135,125
44,96,506,6,1143,135,125
45,48,444,6,1077,135,125
46,53,418,6,1054,135,125
47,97,494,6,1128,135,125
48,42,407,6,1002,135,125
49,36,396,6,1011,135,125
50,96,510,6,1149,135,125
51,36,399,6,1015,135,125
52,99,513,6,1156,135,125
53,56,421,6,1057,135,125
54,70,399,6,1016,135,125
55,53,420,6,1058,135,125
56,40,401,6,994,135,125
57,49,416,6,1055,135,125
58,60,430,6,1068,135,125
59,97,491,6,1127,135,125
60,97,511,7,1155,135,125
61,51,417,6,1054,135,125
62,44,447,6,1086,135,125
63,95,492,6,1127,135,125
64,53,421,6,1064,135,125
65,58,422,6,1046,135,125
66,44,442,6,1069,135,125
67,94,492,6,1129,135,125
68,37,397,6,1015,135,125
69,96,492,6,1124,135,125
70,38,405,6,1036,135,125
71,39,437,6,1056,135,125
72,34,401,6,1041,135,125
73,93,508,6,1149,135,125
74,59,430,6,1074,135,125
75,82,487,6,1113,135,125
76,64,423,6,1042,135,125
77,50,419,6,1055,135,125
78,96,512,6,1165,135,125
79,39,410,6,1050,135,125
80,33,392,6,1001,135,125
81,40,409,6,1015,135,125
82,40,404,6,1009,135,125
83,80,472,6,1101,135,125
84,96,506,7,1145,135,125
85,100,518,6,1158,135,125
86,93,430,6,1068,135,125
87,44,445,6,1080,135,125
88,95,492,6,1125,135,125
89,96,435,6,1083,135,125
90,51,417,6,1047,135,125
91,95,495,6,1132,135,125
92,43,444,6,1082,135,125
93,63,424,6,1050,135,125
94,58,424,6,1063,135,125
95,60,422,6,1047,135,125
96,60,428,6,1068,135,125
97,99,495,6,1130,135,125
98,45,411,6,1041,135,125
99,54,422,6,1069,135,125
100,54,422,6,1058,135,125
101,57,424,6,1064,135,125
102,80,482,6,1105,135,125
103,49,415,6,1049,135,125
104,54,424,6,1067,135,125
105,97,495,6,1125,135,125
106,39,406,6,1000,135,125
107,37,406,6,1041,135,125
108,47,416,6,1052,135,125
109,44,410,6,1008,135,125
110,96,492,6,1124,135,125
111,95,508,6,1149,135,125
112,52,423,6,1063,135,125
113,37,397,6,1011,135,125
114,98,513,6,1164,135,125
115,60,431,6,1073,135,125
116,101,497,6,1128,135,125
117,95,494,6,1128,135,125
118,50,417,6,1048,135,125
119,94,488,6,1116,135,125
120,56,391,6,955,135,125
121,97,489,6,1117,135,125
122,60,422,6,1045,135,125
123,51,415,6,1052,135,125
124,82,485,6,1112,135,125
125,54,418,6,1058,135,125
126,43,404,6,1002,135,125
127,37,398,6,1010,135,125
128,56,420,6,1052,135,125
129,50,416,6,1047,135,125
130,36,400,6,1024,135,125
131,49,414,6,1046,135,125
132,56,426,6,1067,135,125
133,49,417,6,1052,135,125
134,51,417,6,1060,135,125
135,96,491,6,1126,135,125
136,34,398,6,1020,135,125
137,60,422,6,1050,135,125
138,99,513,6,1157,135,125
139,41,405,6,1010,135,125
140,96,493,6,1123,135,125
141,96,493,6,1126,135,125
142,41,442,6,1073,135,125
143,64,432,6,1072,135,125
144,49,417,6,1058,135,125
145,97,508,6,1146,135,125
146,60,427,6,1053,135,125
147,60,422,6,1043,135,125
148,98,506,6,1144,135,125
149,36,401,6,1020,135,125
150,94,491,6,1128,135,125
151,52,419,6,1058,135,125
152,80,468,6,1092,135,125
153,37,408,6,1031,135,125
154,50,417,6,1049,135,125
155,98,508,6,1147,135,125
156,99,510,6,1146,135,125
157,76,425,6,1050,135,125
158,55,428,6,1071,135,125
159,60,424,6,1054,135,125
160,32,396,6,1015,135,125
161,42,405,6,1003,135,125
162,50,413,6,1042,135,125
163,63,430,6,1065,135,125
164,63,425,6,1050,135,125
165,45,446,6,1075,135,125
166,36,403,6,1021,135,125
167,50,418,6,1059,135,125
168,54,422,6,1059,135,125
