sid,NOT,AND,Level,edges,PI,PO
0,92,559,8,1319,164,132
1,69,489,7,1246,164,132
2,66,494,8,1252,164,132
3,78,511,8,1283,164,132
4,83,543,8,1309,164,132
5,65,495,8,1212,164,132
6,64,509,7,1293,164,132
7,83,544,8,1318,164,132
8,59,514,7,1311,164,132
9,56,486,8,1207,164,132
10,70,498,7,1262,164,132
11,92,547,8,1298,164,132
12,77,525,7,1284,164,132
13,109,580,8,1360,164,132
14,77,509,8,1274,164,132
15,113,614,8,1413,164,132
16,89,564,8,1374,164,132
17,93,556,8,1323,164,132
18,80,522,8,1272,164,132
19,90,549,8,1310,164,132
20,85,523,8,1308,164,132
21,106,566,9,1345,164,132
22,65,497,8,1255,164,132
23,69,501,7,1267,164,132
24,71,517,8,1293,164,132
25,74,516,7,1299,164,132
26,64,521,8,1285,164,132
27,82,522,7,1282,164,132
28,67,506,7,1293,164,132
29,95,548,8,1312,164,132
30,70,498,7,1272,164,132
31,90,522,7,1304,164,132
32,92,548,8,1301,164,132
33,62,494,7,1239,164,132
34,65,494,8,1253,164,132
35,53,480,8,1222,164,132
36,70,489,7,1241,164,132
37,80,549,8,1371,164,132
38,71,499,7,1256,164,132
39,96,556,7,1342,164,132
40,73,538,7,1325,164,132
41,61,494,8,1267,164,132
42,70,493,7,1254,164,132
43,72,544,7,1310,164,132
44,105,580,9,1356,164,132
45,72,511,8,1237,164,132
46,75,506,7,1275,164,132
47,85,524,8,1267,164,132
48,80,571,8,1367,164,132
49,63,526,7,1341,164,132
50,91,546,8,1301,164,132
51,83,521,7,1305,164,132
52,102,584,8,1371,164,132
53,74,506,7,1281,164,132
54,68,495,8,1249,164,132
55,74,514,7,1291,164,132
56,86,535,8,1287,164,132
57,79,510,7,1294,164,132
58,66,503,7,1281,164,132
59,105,566,9,1349,164,132
60,96,564,8,1340,164,132
61,87,517,7,1294,164,132
62,73,517,8,1256,164,132
63,79,526,8,1270,164,132
64,76,501,8,1266,164,132
65,89,561,8,1364,164,132
66,82,555,7,1330,164,132
67,100,560,8,1334,164,132
68,69,497,8,1264,164,132
69,81,539,7,1310,164,132
70,69,496,7,1253,164,132
71,72,513,7,1258,164,132
72,65,501,8,1261,164,132
73,102,572,8,1361,164,132
74,66,507,7,1285,164,132
75,83,525,7,1305,164,132
76,64,482,7,1234,164,132
77,69,488,8,1237,164,132
78,91,545,8,1300,164,132
79,78,570,7,1394,164,132
80,86,574,8,1394,164,132
81,89,558,8,1328,164,132
82,66,498,7,1245,164,132
83,110,568,8,1339,164,132
84,78,531,7,1287,164,132
85,89,562,8,1346,164,132
86,79,526,7,1326,164,132
87,94,553,8,1318,164,132
88,77,531,8,1281,164,132
89,66,494,7,1262,164,132
90,66,499,8,1260,164,132
91,100,554,8,1328,164,132
92,89,541,8,1293,164,132
93,81,509,7,1278,164,132
94,67,501,8,1272,164,132
95,78,498,8,1258,164,132
96,82,515,7,1299,164,132
97,97,545,8,1317,164,132
98,67,515,7,1297,164,132
99,60,502,8,1282,164,132
100,66,498,8,1264,164,132
101,63,496,7,1259,164,132
102,90,553,8,1318,164,132
103,68,486,8,1234,164,132
104,87,571,8,1388,164,132
105,95,553,8,1307,164,132
106,83,539,7,1306,164,132
107,71,512,7,1291,164,132
108,66,487,7,1233,164,132
109,78,514,7,1271,164,132
110,98,550,8,1323,164,132
111,82,529,8,1273,164,132
112,93,565,7,1389,164,132
113,72,504,8,1255,164,132
114,82,534,8,1284,164,132
115,69,510,7,1287,164,132
116,91,540,8,1314,164,132
117,91,551,8,1313,164,132
118,80,512,7,1282,164,132
119,97,568,8,1356,164,132
120,72,518,7,1287,164,132
121,87,548,8,1328,164,132
122,58,519,8,1318,164,132
123,75,518,8,1287,164,132
124,107,560,8,1315,164,132
125,73,500,8,1251,164,132
126,77,572,8,1375,164,132
127,61,471,8,1205,164,132
128,80,504,7,1290,164,132
129,65,511,7,1296,164,132
130,63,553,7,1363,164,132
131,88,535,7,1314,164,132
132,71,503,7,1272,164,132
133,67,505,7,1295,164,132
134,82,507,7,1277,164,132
135,121,580,8,1336,164,132
136,67,493,8,1243,164,132
137,77,504,7,1296,164,132
138,88,570,8,1344,164,132
139,80,534,8,1275,164,132
140,88,543,8,1302,164,132
141,85,547,7,1313,164,132
142,69,510,8,1251,164,132
143,75,518,7,1328,164,132
144,79,506,8,1254,164,132
145,103,561,8,1322,164,132
146,76,504,8,1264,164,132
147,73,509,8,1283,164,132
148,101,567,9,1335,164,132
149,65,493,8,1251,164,132
150,79,546,7,1328,164,132
151,87,535,7,1344,164,132
152,105,564,7,1365,164,132
153,67,494,7,1257,164,132
154,71,516,8,1275,164,132
155,85,560,9,1335,164,132
156,105,553,9,1302,164,132
157,90,562,7,1334,164,132
158,81,518,7,1300,164,132
159,80,519,7,1303,164,132
160,68,507,7,1278,164,132
161,71,501,7,1247,164,132
162,80,518,8,1317,164,132
163,85,531,7,1326,164,132
164,79,517,7,1309,164,132
165,63,487,8,1205,164,132
166,81,507,8,1264,164,132
167,62,487,8,1242,164,132
168,79,508,8,1259,164,132
169,74,518,8,1250,164,132
170,68,503,7,1278,164,132
171,71,505,7,1281,164,132
172,104,561,8,1327,164,132
173,69,499,7,1253,164,132
174,91,554,8,1341,164,132
175,68,502,8,1270,164,132
176,69,502,8,1272,164,132
177,55,517,7,1314,164,132
178,61,514,7,1318,164,132
179,83,538,8,1291,164,132
180,66,500,7,1268,164,132
181,86,521,7,1301,164,132
182,93,557,8,1348,164,132
183,73,496,8,1256,164,132
184,66,495,7,1254,164,132
185,65,507,8,1243,164,132
186,84,538,8,1302,164,132
187,67,503,7,1304,164,132
188,84,514,7,1315,164,132
189,68,489,7,1237,164,132
190,77,545,8,1328,164,132
191,106,574,9,1341,164,132
192,102,564,8,1320,164,132
193,84,564,7,1370,164,132
194,81,506,8,1264,164,132
195,73,500,8,1269,164,132
196,93,555,8,1311,164,132
197,79,542,8,1324,164,132
198,85,507,7,1276,164,132
199,79,534,7,1295,164,132
200,75,516,7,1305,164,132
201,78,510,7,1271,164,132
202,79,535,9,1296,164,132
203,55,478,7,1233,164,132
204,67,485,8,1234,164,132
205,69,500,7,1258,164,132
206,82,547,7,1326,164,132
207,105,559,8,1323,164,132
208,75,517,8,1291,164,132
209,74,504,7,1270,164,132
210,82,535,7,1298,164,132
211,62,517,7,1313,164,132
212,82,519,8,1249,164,132
213,65,478,8,1213,164,132
214,83,545,7,1320,164,132
215,72,495,7,1256,164,132
216,74,512,7,1290,164,132
217,80,536,8,1294,164,132
218,63,490,8,1223,164,132
219,66,499,7,1278,164,132
220,76,528,7,1283,164,132
221,64,493,7,1253,164,132
222,87,570,8,1363,164,132
223,73,501,8,1260,164,132
224,68,506,8,1279,164,132
225,69,508,8,1275,164,132
226,92,549,7,1335,164,132
227,60,519,7,1314,164,132
228,80,524,7,1273,164,132
229,90,553,7,1331,164,132
230,74,523,8,1269,164,132
231,78,505,7,1280,164,132
232,99,554,8,1307,164,132
233,67,544,8,1356,164,132
234,72,503,7,1267,164,132
235,76,511,7,1280,164,132
236,78,542,8,1311,164,132
237,71,519,8,1271,164,132
238,74,501,8,1247,164,132
239,75,517,8,1252,164,132
240,112,580,8,1368,164,132
241,63,481,7,1227,164,132
242,65,497,7,1259,164,132
243,81,537,7,1303,164,132
244,91,554,7,1318,164,132
245,105,568,8,1339,164,132
246,98,571,9,1344,164,132
247,58,508,7,1305,164,132
248,84,533,7,1285,164,132
249,83,531,8,1283,164,132
250,102,572,8,1339,164,132
251,64,484,7,1237,164,132
252,110,584,8,1399,164,132
253,64,492,8,1261,164,132
254,83,540,8,1298,164,132
255,73,507,7,1281,164,132
256,72,496,7,1274,164,132
257,81,507,7,1277,164,132
258,69,508,8,1271,164,132
259,82,528,8,1273,164,132
260,78,535,7,1290,164,132
261,72,546,8,1353,164,132
262,71,498,7,1256,164,132
263,75,491,7,1239,164,132
264,67,497,7,1263,164,132
265,72,502,7,1271,164,132
266,113,594,7,1396,164,132
267,73,499,7,1273,164,132
268,71,503,7,1298,164,132
269,88,536,7,1312,164,132
270,68,477,7,1217,164,132
271,72,524,7,1306,164,132
272,90,543,8,1297,164,132
273,78,512,7,1283,164,132
274,68,486,7,1229,164,132
275,87,520,7,1308,164,132
276,68,503,7,1264,164,132
277,88,552,8,1326,164,132
278,81,530,8,1282,164,132
279,70,509,7,1286,164,132
280,100,561,8,1327,164,132
281,77,507,7,1285,164,132
282,72,496,8,1258,164,132
283,73,504,8,1274,164,132
284,84,530,9,1285,164,132
285,77,515,7,1282,164,132
286,72,519,8,1301,164,132
287,64,502,7,1255,164,132
288,83,516,7,1284,164,132
289,68,503,8,1257,164,132
290,81,529,8,1290,164,132
291,88,542,7,1301,164,132
292,90,560,8,1365,164,132
293,72,489,7,1237,164,132
294,98,551,8,1339,164,132
295,75,507,7,1273,164,132
296,94,547,9,1306,164,132
297,59,517,8,1312,164,132
298,93,572,9,1364,164,132
299,53,503,7,1289,164,132
300,66,489,7,1255,164,132
301,67,519,8,1296,164,132
302,77,502,8,1272,164,132
303,95,558,8,1315,164,132
304,100,582,7,1397,164,132
305,76,500,8,1264,164,132
306,55,482,9,1233,164,132
307,90,549,8,1305,164,132
308,93,564,8,1323,164,132
309,72,503,7,1283,164,132
310,74,528,7,1280,164,132
311,85,528,8,1272,164,132
312,75,498,7,1267,164,132
313,57,479,7,1219,164,132
314,78,539,7,1300,164,132
315,60,515,7,1297,164,132
316,82,554,7,1325,164,132
317,73,501,7,1272,164,132
318,83,546,7,1313,164,132
319,95,560,9,1331,164,132
320,101,556,9,1311,164,132
321,76,502,7,1280,164,132
322,83,519,7,1300,164,132
323,114,580,9,1357,164,132
324,100,556,9,1291,164,132
325,108,565,8,1323,164,132
326,85,535,7,1329,164,132
327,84,541,8,1305,164,132
328,95,558,8,1310,164,132
329,77,560,8,1343,164,132
330,78,514,7,1266,164,132
331,96,561,8,1335,164,132
332,80,508,8,1287,164,132
333,85,540,8,1304,164,132
334,102,561,8,1335,164,132
335,105,621,7,1446,164,132
336,70,489,8,1234,164,132
337,67,511,7,1258,164,132
338,98,543,8,1335,164,132
339,99,588,8,1383,164,132
340,66,499,7,1228,164,132
341,64,518,8,1318,164,132
342,88,570,8,1362,164,132
343,68,499,7,1268,164,132
344,81,501,7,1271,164,132
345,70,498,8,1257,164,132
346,57,511,7,1299,164,132
347,104,585,7,1386,164,132
348,64,509,7,1291,164,132
349,87,546,8,1314,164,132
350,61,483,7,1236,164,132
351,74,526,7,1308,164,132
352,69,532,7,1305,164,132
353,86,532,7,1289,164,132
354,71,525,7,1307,164,132
355,69,501,7,1277,164,132
356,73,503,6,1288,164,132
357,95,552,8,1304,164,132
358,104,550,9,1285,164,132
359,72,549,7,1351,164,132
360,86,534,7,1322,164,132
361,75,505,7,1303,164,132
362,87,549,7,1315,164,132
363,70,526,8,1304,164,132
364,68,521,7,1307,164,132
365,95,549,8,1306,164,132
366,78,517,8,1298,164,132
367,72,527,7,1313,164,132
368,81,510,7,1290,164,132
369,67,503,8,1251,164,132
370,99,562,7,1328,164,132
371,106,560,8,1306,164,132
372,70,489,6,1246,164,132
373,74,530,7,1316,164,132
374,100,558,9,1330,164,132
375,98,542,8,1299,164,132
376,71,511,8,1287,164,132
377,64,512,7,1294,164,132
378,73,522,8,1299,164,132
379,78,510,7,1281,164,132
380,96,553,8,1329,164,132
381,84,563,8,1397,164,132
382,77,497,8,1262,164,132
383,90,525,8,1264,164,132
384,78,504,7,1294,164,132
385,70,529,8,1283,164,132
386,87,535,7,1290,164,132
387,60,476,7,1216,164,132
388,95,572,8,1368,164,132
389,68,504,8,1235,164,132
390,81,530,8,1284,164,132
391,73,505,7,1253,164,132
392,91,540,9,1284,164,132
393,79,533,9,1293,164,132
394,93,552,8,1339,164,132
395,67,504,7,1288,164,132
396,78,527,7,1288,164,132
397,92,561,8,1338,164,132
398,101,565,7,1332,164,132
399,92,555,8,1334,164,132
400,79,537,8,1297,164,132
401,65,504,8,1273,164,132
402,101,570,8,1339,164,132
403,124,606,8,1415,164,132
404,89,555,7,1331,164,132
405,65,499,7,1275,164,132
406,88,530,7,1289,164,132
407,72,495,7,1264,164,132
408,83,529,8,1264,164,132
409,67,490,7,1243,164,132
410,63,511,7,1298,164,132
411,97,550,8,1327,164,132
412,93,542,7,1295,164,132
413,69,497,8,1252,164,132
414,89,545,7,1309,164,132
415,82,536,8,1299,164,132
416,99,559,9,1315,164,132
417,65,503,7,1282,164,132
418,110,575,8,1350,164,132
419,62,475,8,1208,164,132
420,70,542,8,1370,164,132
421,75,513,7,1296,164,132
422,116,566,9,1334,164,132
