sid,BUFF,NOT,AND,PI,PO,LP
224,2632,4062,3228,254,238,30
67,2630,4022,3207,254,238,30
464,2583,3607,2976,254,238,30
413,2724,3488,2987,254,238,31
90,2668,3580,3005,254,238,31
205,2757,3493,3006,254,238,31
465,2673,3949,3192,254,238,30
316,2689,3511,2981,254,238,31
452,2679,3979,3210,254,238,30
242,2553,4131,3223,254,238,30
197,2675,3949,3193,254,238,30
33,2820,3394,2988,254,238,31
499,2813,3447,3011,254,238,31
194,2681,3673,3058,254,238,32
128,2545,3657,2982,254,238,31
345,2517,3781,3030,254,238,31
328,2872,3370,3002,254,238,31
137,2937,3663,3181,254,238,31
372,2611,3833,3103,254,238,30
81,2631,4029,3211,254,238,30
64,2808,3404,2987,254,238,31
439,2731,3929,3211,254,238,30
492,2740,3946,3224,254,238,30
124,2607,4017,3193,254,238,30
62,2727,3873,3181,254,238,30
378,2763,3465,2995,254,238,31
19,2689,3967,3209,254,238,30
241,2724,3474,2980,254,238,31
428,2695,3663,3060,254,238,32
438,2797,3425,2992,254,238,31
355,2694,3686,3071,254,238,31
482,2833,3851,3223,254,238,30
237,2851,3359,2986,254,238,31
468,2709,3483,2977,254,238,31
322,2561,4035,3179,254,238,31
43,2942,3768,3236,254,238,31
467,2626,3562,2975,254,238,30
419,2679,3525,2983,254,238,31
415,2616,4008,3193,254,238,30
54,2729,3517,3004,254,238,31
305,2854,3786,3201,254,238,30
17,2860,3356,2989,254,238,32
397,2723,3931,3208,254,238,30
434,2741,3525,3014,254,238,31
379,2764,3452,2989,254,238,31
447,2454,4142,3179,254,238,30
14,2490,3720,2986,254,238,31
284,2587,3779,3064,254,238,31
113,2634,4054,3225,254,238,30
402,2812,3428,3001,254,238,31
437,2572,4034,3184,254,238,31
472,2545,3767,3037,254,238,31
461,2818,3406,2993,254,238,31
483,2691,3969,3211,254,238,30
384,2663,3651,3038,254,238,32
338,2479,4141,3191,254,238,30
152,2791,3891,3222,254,238,30
154,2746,3942,3225,254,238,30
491,2857,3347,2983,254,238,31
77,2711,3497,2985,254,238,31
55,2709,3499,2985,254,238,31
407,2771,3921,3227,254,238,31
5,2771,3433,2983,254,238,31
387,2763,3453,2989,254,238,31
217,2779,3443,2992,254,238,31
179,2861,3365,2994,254,238,31
336,2549,3717,3014,254,238,32
94,2667,3557,2993,254,238,31
164,2701,3519,2991,254,238,31
103,2790,3416,2984,254,238,31
93,2620,4066,3224,254,238,30
474,2646,4044,3226,254,238,29
159,2787,3903,3226,254,238,30
36,2615,3585,2981,254,238,31
406,2679,4001,3221,254,238,30
144,2671,3515,2974,254,238,31
375,2810,3390,2981,254,238,31
79,2497,3861,3060,254,238,31
471,2744,3948,3227,254,238,30
441,2840,3886,3244,254,238,30
230,2866,3348,2988,254,238,31
390,2757,3429,2974,254,238,31
347,2675,3947,3192,254,238,30
324,2765,3435,2981,254,238,31
72,2632,4058,3226,254,238,30
38,2680,3510,2976,254,238,31
153,2901,3729,3196,254,238,29
186,2692,3968,3211,254,238,30
167,2623,3573,2979,254,238,31
101,2585,3737,3042,254,238,31
270,2871,3759,3196,254,238,31
147,2660,3566,2994,254,238,31
106,2640,3984,3193,254,238,30
343,2645,3559,2983,254,238,31
184,2509,3835,3053,254,238,32
112,2632,4002,3198,254,238,30
201,2537,4093,3196,254,238,30
213,2690,3554,3003,254,238,31
477,2550,4108,3210,254,238,30
107,2465,4163,3195,254,238,30
104,2477,4143,3191,254,238,30
127,2699,3519,2990,254,238,31
160,2714,3482,2979,254,238,31
325,2606,4022,3195,254,238,30
35,2638,3598,2999,254,238,31
462,2805,3879,3223,254,238,31
272,2684,3510,2978,254,238,31
180,2776,3484,3011,254,238,31
13,2742,3950,3227,254,238,30
61,2713,3491,2983,254,238,31
222,2678,3600,3020,254,238,32
430,2659,3541,2981,254,238,31
196,2741,3969,3236,254,238,30
116,2676,4004,3221,254,238,30
157,2927,3769,3229,254,238,31
370,2803,3431,2998,254,238,31
349,2730,3490,2991,254,238,31
134,2721,3881,3182,254,238,30
313,2657,3589,3004,254,238,31
45,2796,3408,2983,254,238,31
365,2670,3670,3051,254,238,31
172,2678,3514,2977,254,238,31
244,2782,3874,3209,254,238,30
309,2690,3994,3223,254,238,30
498,2871,3303,2968,254,238,31
262,2676,3538,2988,254,238,31
212,2656,3532,2975,254,238,31
200,2475,4147,3192,254,238,30
49,2701,3925,3194,254,238,30
95,2745,3881,3194,254,238,31
298,2649,3985,3198,254,238,30
6,2553,3827,3071,254,238,31
431,2832,3850,3222,254,238,30
360,2594,4094,3225,254,238,30
331,2876,3342,2990,254,238,31
59,2655,3939,3178,254,238,30
227,2571,3649,2991,254,238,31
454,2692,3966,3210,254,238,30
9,2695,3543,3000,254,238,32
243,2925,3769,3228,254,238,31
385,2854,3362,2989,254,238,32
170,2621,3737,3060,254,238,31
277,2809,3407,2989,254,238,31
121,2832,3362,2978,254,238,31
480,2647,3843,3126,254,238,30
481,2683,3511,2978,254,238,31
299,2521,3729,3006,254,238,31
291,2657,3789,3104,254,238,30
130,2691,3973,3213,254,238,30
412,2804,3412,2989,254,238,31
485,2698,3984,3222,254,238,31
358,2815,3373,2975,254,238,31
29,2573,3697,3016,254,238,32
136,2753,3459,2987,254,238,31
56,2756,3902,3210,254,238,30
215,2711,3975,3224,254,238,30
52,2670,3930,3181,254,238,30
156,2682,3692,3068,254,238,31
260,2843,3847,3226,254,238,30
411,2726,3872,3180,254,238,30
209,2731,3957,3225,254,238,30
312,2592,4092,3223,254,238,30
286,2672,3550,2992,254,238,31
206,2895,3289,2973,254,238,31
410,2708,3534,3002,254,238,31
405,2581,4075,3209,254,238,30
414,2753,3443,2979,254,238,31
199,2870,3372,3002,254,238,32
367,2692,3544,2999,254,238,31
176,2706,3524,2996,254,238,32
109,2653,4017,3216,254,238,30
246,2751,3507,3010,254,238,31
69,2727,3477,2983,254,238,31
133,2570,4052,3192,254,238,30
329,2931,3769,3231,254,238,31
216,2494,3812,3034,254,238,31
105,2536,3816,3057,254,238,31
279,2831,3857,3225,254,238,30
210,2923,3771,3228,254,238,31
497,2674,3530,2983,254,238,31
240,2624,4006,3196,254,238,30
37,2749,3849,3180,254,238,30
192,2828,3384,2987,254,238,31
308,2849,3363,2987,254,238,32
258,2687,3969,3209,254,238,30
257,2539,3691,2996,254,238,31
233,2706,3982,3225,254,238,30
223,2619,3581,2981,254,238,31
395,2588,4092,3221,254,238,30
114,2764,3452,2989,254,238,31
266,2593,4003,3179,254,238,30
118,2831,3371,2982,254,238,31
20,2474,4192,3214,254,238,30
51,2618,4014,3197,254,238,30
102,2694,3904,3180,254,238,30
432,2520,4104,3193,254,238,30
386,2616,3620,2999,254,238,31
250,2808,3824,3197,254,238,30
