sid,NOT,AND,Level,edges,PI,PO
0,310,2051,20,5194,254,238
1,287,2081,19,5396,254,238
2,290,2035,19,5286,254,238
3,274,2274,19,5702,254,238
4,298,2066,18,5289,254,238
5,291,2057,18,5385,254,238
6,239,2089,21,5325,254,238
7,285,2106,20,5349,254,238
8,280,2156,19,5505,254,238
9,274,2055,19,5206,254,238
10,319,2100,19,5272,254,238
11,310,2229,20,5654,254,238
12,306,2071,18,5261,254,238
13,263,2164,18,5589,254,238
14,326,2063,19,5206,254,238
15,340,2337,19,5869,254,238
16,308,2275,18,5734,254,238
17,290,1961,20,5087,254,238
18,296,2102,19,5419,254,238
19,309,2228,19,5733,254,238
20,245,2293,18,5611,254,238
21,297,2272,19,5776,254,238
22,293,2054,19,5298,254,238
23,275,2032,18,5309,254,238
24,384,2328,18,5786,254,238
25,304,2152,18,5592,254,238
26,293,2219,19,5596,254,238
27,266,2262,19,5701,254,238
28,336,2393,21,5833,254,238
29,316,2091,19,5276,254,238
30,308,1961,19,5153,254,238
31,279,2314,19,5657,254,238
32,291,2041,19,5263,254,238
33,267,2158,20,5458,254,238
34,289,2061,20,5217,254,238
35,256,2035,19,5313,254,238
36,269,1936,19,5105,254,238
37,309,2292,18,5846,254,238
38,291,2006,19,5117,254,238
39,294,2212,18,5636,254,238
40,323,2376,20,5882,254,238
41,314,2352,19,5846,254,238
42,274,2118,19,5398,254,238
43,289,2371,19,5867,254,238
44,269,2021,19,5282,254,238
45,306,2111,19,5413,254,238
46,340,2271,19,5838,254,238
47,337,2356,20,5800,254,238
48,308,2116,20,5421,254,238
49,350,2365,18,5986,254,238
50,284,2021,18,5242,254,238
51,318,2275,18,5674,254,238
52,367,2327,18,5833,254,238
53,327,2369,19,5887,254,238
54,294,2013,19,5248,254,238
55,256,2015,18,5230,254,238
56,314,2159,20,5560,254,238
57,323,2165,18,5653,254,238
58,257,2012,19,5323,254,238
59,289,2280,19,5805,254,238
60,268,2051,19,5250,254,238
61,291,2145,19,5435,254,238
62,300,2114,19,5469,254,238
63,280,2174,18,5575,254,238
64,241,2128,19,5430,254,238
65,299,2233,18,5714,254,238
66,319,2162,19,5540,254,238
67,373,2381,19,5889,254,238
68,296,2119,19,5441,254,238
69,305,2028,19,5172,254,238
70,352,2285,19,5870,254,238
71,316,2125,19,5403,254,238
72,298,2343,19,5891,254,238
73,297,2323,20,5773,254,238
74,333,2272,19,5604,254,238
75,259,2155,18,5516,254,238
76,266,2102,18,5356,254,238
77,277,2110,18,5351,254,238
78,312,2279,19,5796,254,238
79,276,2089,19,5426,254,238
80,251,1955,19,5123,254,238
81,376,2405,19,5981,254,238
82,312,2096,19,5371,254,238
83,327,2335,19,5814,254,238
84,291,2062,19,5315,254,238
85,272,2122,18,5500,254,238
86,275,1987,19,5122,254,238
87,313,2280,20,5755,254,238
88,316,2186,18,5605,254,238
89,288,2114,20,5503,254,238
90,269,2107,19,5415,254,238
91,279,2153,20,5436,254,238
92,294,2258,19,5766,254,238
93,274,2163,21,5526,254,238
94,261,1995,20,5149,254,238
95,311,2380,20,5960,254,238
96,292,2313,19,5645,254,238
97,296,1964,19,5036,254,238
98,325,2276,18,5617,254,238
99,255,2325,18,5693,254,238
100,267,2006,19,5217,254,238
101,293,1977,18,5199,254,238
102,285,2304,18,5769,254,238
103,266,2090,20,5288,254,238
104,281,2192,19,5523,254,238
105,262,2102,19,5361,254,238
106,341,2253,19,5653,254,238
107,356,2365,19,5704,254,238
108,272,2152,20,5372,254,238
109,332,2381,20,6030,254,238
110,346,2303,19,5779,254,238
111,282,2003,18,5183,254,238
112,275,2194,19,5591,254,238
113,387,2353,19,5856,254,238
114,273,2019,18,5194,254,238
115,283,2265,18,5702,254,238
116,314,2331,19,5772,254,238
117,327,2259,18,5676,254,238
118,281,2002,18,5117,254,238
119,298,2125,19,5457,254,238
120,275,2076,20,5261,254,238
121,271,2100,19,5400,254,238
122,403,2366,19,5852,254,238
123,282,2102,19,5363,254,238
124,361,2367,20,5868,254,238
125,286,2046,18,5364,254,238
126,308,2337,19,5909,254,238
127,304,2054,19,5294,254,238
128,281,2127,19,5383,254,238
129,313,2352,18,5773,254,238
130,322,2321,18,5856,254,238
131,335,2348,19,5826,254,238
132,295,2137,18,5632,254,238
133,316,2356,19,5829,254,238
134,363,2328,18,6017,254,238
135,269,2043,19,5287,254,238
136,294,2030,19,5179,254,238
137,279,2198,18,5597,254,238
138,283,2063,19,5270,254,238
139,314,2285,18,5809,254,238
140,264,2022,18,5249,254,238
141,294,1971,19,5109,254,238
142,264,1998,19,5130,254,238
143,271,2241,19,5625,254,238
144,306,2014,19,5150,254,238
145,290,2091,19,5336,254,238
146,255,1950,19,5095,254,238
147,278,2120,18,5361,254,238
148,311,2369,20,5952,254,238
149,282,2149,18,5450,254,238
150,301,2057,19,5368,254,238
151,345,2263,18,5674,254,238
152,284,2270,19,5730,254,238
153,284,2120,18,5509,254,238
154,377,2327,19,5679,254,238
155,253,2106,20,5378,254,238
156,328,2189,19,5546,254,238
157,292,2367,19,5852,254,238
158,299,2169,18,5725,254,238
159,301,2178,19,5565,254,238
160,293,2035,19,5172,254,238
161,283,2070,20,5256,254,238
162,346,2370,19,6076,254,238
163,342,2226,18,5656,254,238
164,310,2069,19,5226,254,238
165,275,2036,19,5236,254,238
166,285,2391,18,6022,254,238
167,299,2067,19,5372,254,238
168,268,1953,18,5132,254,238
169,265,2121,18,5430,254,238
170,302,2163,18,5560,254,238
171,327,2376,19,5921,254,238
172,261,2017,18,5180,254,238
173,303,2354,19,5822,254,238
174,308,2222,20,5652,254,238
175,277,2055,19,5236,254,238
176,307,2106,20,5376,254,238
177,270,2126,19,5445,254,238
178,268,2059,19,5323,254,238
179,293,2177,19,5469,254,238
180,308,2096,18,5424,254,238
181,394,2377,19,5723,254,238
182,324,2197,19,5709,254,238
183,325,2177,18,5704,254,238
184,335,2117,20,5342,254,238
185,298,2077,18,5301,254,238
186,308,2292,19,5820,254,238
187,303,2363,18,5844,254,238
188,300,2244,19,5638,254,238
189,278,2282,19,5649,254,238
190,305,2229,19,5587,254,238
191,289,2116,19,5406,254,238
192,279,2106,19,5381,254,238
193,393,2332,19,5807,254,238
194,311,2040,19,5245,254,238
195,284,2039,19,5233,254,238
196,313,2287,18,5878,254,238
197,302,2365,19,5946,254,238
198,289,2377,19,5945,254,238
199,305,2082,19,5335,254,238
200,270,2338,19,5812,254,238
201,266,2342,19,5823,254,238
202,348,2301,19,5816,254,238
203,321,2142,19,5470,254,238
204,296,2167,19,5506,254,238
205,307,2037,18,5235,254,238
206,270,2094,19,5351,254,238
207,291,2079,20,5311,254,238
208,332,2318,19,5746,254,238
209,337,2282,18,5698,254,238
210,285,2357,20,5843,254,238
211,270,1996,18,5133,254,238
212,274,1999,18,5214,254,238
213,282,1984,18,5173,254,238
214,289,2029,19,5195,254,238
215,325,2183,19,5545,254,238
216,314,2085,19,5365,254,238
217,309,2079,19,5357,254,238
218,275,2030,18,5313,254,238
219,291,2317,18,5702,254,238
220,275,2152,19,5451,254,238
221,307,2185,20,5540,254,238
222,327,2065,20,5313,254,238
223,269,2091,19,5341,254,238
224,296,2327,19,5877,254,238
225,309,2059,18,5306,254,238
226,287,2289,20,5638,254,238
227,325,2193,19,5508,254,238
228,351,2314,19,5808,254,238
229,269,2333,19,5791,254,238
230,293,2166,19,5558,254,238
231,364,2321,18,5878,254,238
232,323,2154,18,5562,254,238
233,405,2363,20,5819,254,238
234,278,2030,17,5303,254,238
235,277,2116,19,5387,254,238
236,294,2172,19,5518,254,238
237,288,2160,18,5557,254,238
238,272,2106,19,5321,254,238
239,329,2144,20,5502,254,238
240,351,2367,20,5779,254,238
241,260,2134,19,5439,254,238
242,380,2378,19,5753,254,238
243,282,2359,20,5846,254,238
244,279,2155,19,5612,254,238
245,299,2049,19,5291,254,238
246,291,2046,19,5341,254,238
247,363,2270,19,5752,254,238
248,327,2367,19,5864,254,238
249,269,2073,19,5320,254,238
250,301,2157,20,5541,254,238
251,288,2043,18,5252,254,238
252,288,2256,20,5659,254,238
253,271,1988,18,5223,254,238
254,308,2068,18,5322,254,238
255,320,2359,18,5910,254,238
256,277,2268,19,5629,254,238
257,288,2150,18,5403,254,238
258,390,2343,19,5876,254,238
259,259,2050,19,5324,254,238
260,365,2399,19,5928,254,238
261,288,2083,18,5480,254,238
262,306,2047,21,5279,254,238
263,283,2200,19,5570,254,238
264,294,2406,19,5792,254,238
265,281,2213,19,5748,254,238
266,355,2360,19,5912,254,238
267,272,2127,19,5408,254,238
268,262,2232,19,5636,254,238
269,269,2261,19,5583,254,238
270,302,2120,19,5456,254,238
271,262,2202,18,5588,254,238
272,302,2065,19,5297,254,238
273,289,2019,19,5161,254,238
274,282,2108,20,5388,254,238
275,282,2078,19,5320,254,238
276,333,2035,18,5184,254,238
277,277,2012,19,5148,254,238
278,259,2131,19,5391,254,238
279,339,2210,18,5701,254,238
280,319,2229,20,5659,254,238
281,337,2269,19,5705,254,238
282,252,1936,18,5062,254,238
283,246,2127,19,5417,254,238
284,281,2039,19,5314,254,238
285,263,2087,19,5325,254,238
286,276,2028,19,5257,254,238
287,370,2299,20,5673,254,238
288,306,2055,18,5221,254,238
289,257,2135,19,5441,254,238
290,284,2030,19,5253,254,238
291,332,2159,19,5493,254,238
292,321,2210,19,5592,254,238
293,306,2158,19,5675,254,238
294,339,2351,19,5834,254,238
295,279,2174,17,5552,254,238
296,329,2161,19,5475,254,238
297,300,2154,19,5429,254,238
298,337,2259,19,5745,254,238
299,284,1985,19,5137,254,238
300,284,2139,19,5420,254,238
301,264,2130,19,5453,254,238
302,340,2362,19,6047,254,238
303,286,2354,20,5831,254,238
304,307,2033,18,5192,254,238
305,339,2212,19,5726,254,238
306,311,2135,20,5476,254,238
307,301,2268,19,5724,254,238
308,282,2054,20,5258,254,238
309,292,2302,19,5765,254,238
310,264,1988,19,5117,254,238
311,310,2135,18,5525,254,238
312,310,2317,19,5719,254,238
313,282,2061,18,5252,254,238
314,278,2325,18,5806,254,238
315,362,2291,18,5751,254,238
316,254,2012,19,5161,254,238
317,305,2298,20,5662,254,238
318,285,2012,19,5227,254,238
319,262,2048,19,5182,254,238
320,318,2035,18,5183,254,238
321,300,2105,18,5410,254,238
322,254,2138,18,5473,254,238
323,307,2079,19,5350,254,238
324,276,2114,19,5399,254,238
325,382,2393,20,5889,254,238
326,312,2349,19,5787,254,238
327,293,2141,19,5479,254,238
328,271,2053,20,5222,254,238
329,291,2368,20,5863,254,238
330,314,2037,19,5205,254,238
331,257,2031,19,5205,254,238
332,254,1936,19,5066,254,238
333,288,2088,19,5398,254,238
334,366,2367,19,5835,254,238
335,345,2237,19,5647,254,238
336,285,2001,19,5147,254,238
337,294,2085,18,5354,254,238
338,334,2302,18,5640,254,238
339,289,2142,19,5533,254,238
340,309,2103,19,5401,254,238
341,290,2307,18,5756,254,238
342,281,2281,19,5716,254,238
343,257,2086,18,5334,254,238
344,258,2350,19,5778,254,238
345,286,2064,18,5388,254,238
346,251,2079,18,5310,254,238
347,275,2193,19,5540,254,238
348,307,2305,19,5730,254,238
349,287,2039,19,5271,254,238
350,250,2098,19,5353,254,238
351,351,2363,18,6113,254,238
352,261,2300,19,5740,254,238
353,340,2330,20,5820,254,238
354,265,2142,20,5439,254,238
355,303,2135,18,5470,254,238
356,279,2186,19,5661,254,238
357,295,2025,19,5260,254,238
358,266,2142,19,5401,254,238
359,284,2234,19,5686,254,238
360,291,2238,19,5642,254,238
361,251,2186,18,5552,254,238
362,308,2071,18,5366,254,238
363,282,2104,19,5402,254,238
364,350,2266,19,5706,254,238
365,299,2061,19,5309,254,238
366,279,1952,18,5161,254,238
367,272,2102,20,5387,254,238
368,284,2056,18,5206,254,238
369,276,2023,19,5187,254,238
370,285,2137,20,5433,254,238
371,274,2057,19,5266,254,238
372,306,2191,19,5534,254,238
373,330,2201,19,5700,254,238
374,347,2365,20,5859,254,238
