sid,NOT,AND,Level,edges,PI,PO
0,2635,18812,2992,46349,128,64
1,2905,21060,2987,51590,128,64
2,2716,19078,3010,46967,128,64
3,2989,21715,2963,52870,128,64
4,2684,18709,2961,46057,128,64
5,2702,18779,2959,46145,128,64
6,3027,22772,3009,53945,128,64
7,2714,18919,2971,46504,128,64
8,3018,21948,2964,53308,128,64
9,2734,20312,2980,49261,128,64
10,2778,20887,2983,50660,128,64
11,2764,19955,2979,48635,128,64
12,3145,24107,3003,57528,128,64
13,2416,17786,3011,43599,128,64
14,2659,19807,2981,47914,128,64
15,2671,20191,2982,48994,128,64
16,2886,21806,3004,53486,128,64
17,3078,20772,2986,51263,128,64
18,2827,19736,2966,48552,128,64
19,2897,21146,2959,51874,128,64
20,2761,20634,2964,50631,128,64
21,2767,20043,2981,48927,128,64
22,3993,22790,2979,53945,128,64
23,3548,23203,2965,54738,128,64
24,2819,20290,2980,49278,128,64
25,3581,23239,3033,54832,128,64
26,2760,20031,2979,48929,128,64
27,2881,20776,2978,50626,128,64
28,2892,20297,2981,49242,128,64
29,2744,20763,3012,50246,128,64
30,2698,20148,3010,49289,128,64
31,2902,22062,2930,53073,128,64
32,2625,18711,2980,46115,128,64
33,2905,21025,2961,51573,128,64
34,2674,19107,3007,47050,128,64
35,2697,21041,2982,50655,128,64
36,2980,20513,2988,50870,128,64
37,3360,24466,2986,57826,128,64
38,2868,19735,2995,48498,128,64
39,2704,20400,2981,49840,128,64
40,3417,23236,2976,55099,128,64
41,2932,21454,2960,52430,128,64
42,2762,21188,2969,51843,128,64
43,3048,20688,2985,51051,128,64
44,2282,17426,2980,42762,128,64
45,3302,21850,2978,52210,128,64
46,2866,20962,2967,51494,128,64
47,2780,20901,2979,50746,128,64
48,2751,20418,2978,49958,128,64
49,2999,22710,3005,53797,128,64
50,2872,19811,2969,48750,128,64
51,2973,23488,3000,56161,128,64
52,2723,19804,2946,48520,128,64
53,2981,21803,2963,52977,128,64
54,3095,20468,2977,50571,128,64
55,3060,22827,2985,55377,128,64
56,2563,20220,2991,48696,128,64
57,3588,24375,3010,57660,128,64
58,2924,20997,2959,51499,128,64
59,2549,17995,2984,44051,128,64
60,3085,20788,2988,51271,128,64
61,2738,20862,3053,50472,128,64
62,2871,21166,2959,51881,128,64
63,2794,20505,2977,50169,128,64
64,4128,23872,3047,56489,128,64
65,2996,22496,3010,53383,128,64
66,2736,19917,2980,48727,128,64
67,2705,20016,2981,48836,128,64
68,2820,19665,2995,48347,128,64
69,2653,21118,2979,50919,128,64
70,2987,21591,3008,52696,128,64
71,3485,23366,2973,55257,128,64
72,2810,21885,2956,52314,128,64
73,2788,20162,3009,48904,128,64
74,2795,19993,3010,48616,128,64
75,3122,21490,3008,52742,128,64
76,3068,22366,2973,53845,128,64
77,2609,18661,2981,45753,128,64
78,2787,20592,2980,50222,128,64
79,2854,22202,2967,52890,128,64
80,2720,20208,2983,49148,128,64
81,3363,23623,2996,55654,128,64
82,2673,19084,3008,47061,128,64
83,2761,20103,2979,49051,128,64
84,3258,24708,3025,59128,128,64
85,2759,19999,2983,48867,128,64
86,2972,21740,3008,52999,128,64
87,2845,20994,2957,51502,128,64
88,2794,20506,2977,50175,128,64
89,2897,21233,2958,52105,128,64
90,2725,19106,3005,47015,128,64
91,2768,20767,2982,50499,128,64
92,3670,24742,3004,58784,128,64
93,3023,21989,3008,53331,128,64
94,2671,19060,3008,46902,128,64
95,2757,20027,3012,48868,128,64
96,2786,19415,2914,47824,128,64
97,2076,17168,3036,42217,128,64
98,2836,21347,2967,51926,128,64
99,2773,20147,3011,49092,128,64
100,3936,22603,2978,53487,128,64
101,2758,20170,2982,49240,128,64
102,3759,24890,3012,58935,128,64
