sid,NOT,AND,Level,edges,PI,PO
0,41,311,6,750,104,90
1,31,246,5,616,104,90
2,30,277,5,680,104,90
3,41,310,5,737,104,90
4,36,297,6,721,104,90
5,41,311,6,750,104,90
6,75,305,5,704,104,90
7,39,298,6,721,104,90
8,40,309,5,736,104,90
9,41,311,6,750,104,90
10,40,309,5,736,104,90
11,41,310,6,749,104,90
12,41,310,6,746,104,90
13,41,311,6,750,104,90
14,59,314,5,711,104,90
15,42,312,6,751,104,90
16,42,298,5,694,104,90
17,42,311,6,750,104,90
18,36,296,6,718,104,90
19,30,276,6,690,104,90
20,59,283,5,682,104,90
21,42,311,6,750,104,90
22,59,314,5,713,104,90
23,58,313,5,712,104,90
24,41,310,5,737,104,90
25,30,247,5,617,104,90
26,42,311,6,750,104,90
27,39,298,6,721,104,90
28,66,305,5,712,104,90
29,42,312,6,751,104,90
30,31,246,5,617,104,90
31,58,282,5,681,104,90
32,40,311,6,749,104,90
33,42,312,6,751,104,90
34,64,288,5,666,104,90
35,30,278,5,682,104,90
36,31,272,5,652,104,90
37,57,281,5,677,104,90
38,42,299,5,714,104,90
39,42,311,6,750,104,90
40,42,312,6,751,104,90
41,43,299,5,713,104,90
42,43,298,5,695,104,90
43,39,297,6,720,104,90
44,41,310,6,746,104,90
45,42,312,6,751,104,90
46,58,282,5,681,104,90
47,39,298,6,721,104,90
48,39,297,6,720,104,90
49,34,274,5,670,104,90
50,39,310,6,748,104,90
51,34,274,5,670,104,90
52,42,312,6,751,104,90
53,40,309,5,737,104,90
54,35,278,5,674,104,90
55,44,301,5,716,104,90
56,31,276,6,690,104,90
57,44,299,5,698,104,90
58,29,246,5,616,104,90
59,39,298,6,721,104,90
60,42,311,6,750,104,90
61,72,311,5,740,104,90
62,40,310,6,749,104,90
63,32,279,6,694,104,90
64,42,307,5,717,104,90
65,33,249,5,635,104,90
66,41,310,6,749,104,90
67,32,279,6,694,104,90
68,45,270,5,650,104,90
69,39,298,6,721,104,90
70,33,271,5,650,104,90
71,42,311,6,750,104,90
72,64,303,5,711,104,90
73,42,312,6,751,104,90
74,56,280,5,694,104,90
75,40,309,6,745,104,90
76,31,246,5,616,104,90
77,42,320,5,760,104,90
78,41,311,6,750,104,90
79,64,303,5,711,104,90
80,30,277,5,680,104,90
81,32,279,6,694,104,90
82,38,297,6,720,104,90
83,39,297,6,720,104,90
84,42,313,6,755,104,90
85,42,311,6,750,104,90
86,32,247,5,617,104,90
87,41,311,6,750,104,90
88,30,276,6,690,104,90
89,29,246,5,616,104,90
90,57,312,5,711,104,90
91,41,301,6,725,104,90
92,41,311,6,750,104,90
93,48,256,5,652,104,90
94,43,312,5,738,104,90
95,32,247,5,617,104,90
96,31,246,5,616,104,90
97,39,298,6,721,104,90
98,56,280,5,694,104,90
99,43,312,5,738,104,90
100,58,316,5,717,104,90
101,58,313,5,712,104,90
102,42,312,6,751,104,90
103,40,309,5,736,104,90
104,42,298,5,694,104,90
105,32,279,6,694,104,90
106,31,276,6,690,104,90
107,48,285,5,662,104,90
108,71,328,5,785,104,90
109,30,276,6,690,104,90
110,32,279,6,694,104,90
111,42,312,6,751,104,90
112,71,295,5,694,104,90
113,30,277,5,680,104,90
114,42,311,6,750,104,90
115,72,295,5,694,104,90
116,38,296,6,716,104,90
117,31,279,6,694,104,90
118,59,283,5,682,104,90
119,39,298,6,721,104,90
120,41,297,5,711,104,90
121,39,298,6,721,104,90
122,30,245,5,631,104,90
123,40,309,5,737,104,90
124,41,309,6,745,104,90
125,41,310,5,738,104,90
126,39,298,6,721,104,90
127,30,277,5,680,104,90
128,58,282,5,681,104,90
129,41,310,5,738,104,90
130,30,277,5,680,104,90
131,40,309,5,736,104,90
132,43,299,5,695,104,90
133,40,309,5,737,104,90
134,57,281,5,680,104,90
135,38,295,6,715,104,90
136,48,285,5,664,104,90
137,48,254,5,633,104,90
