sid,NOT,AND,Level,edges,PI,PO
0,3282,27370,35,68737,4561,4181
1,3268,26954,38,67295,4561,4181
2,3359,27081,38,68252,4561,4181
3,3537,26991,37,67469,4561,4181
4,3153,26936,39,67711,4561,4181
5,3217,27036,36,67858,4561,4181
6,3430,27120,40,67865,4561,4181
7,3477,26874,39,67178,4561,4181
8,3314,26756,39,66913,4561,4181
9,3640,27926,34,69042,4561,4181
10,3585,27612,37,68905,4561,4181
11,3587,28072,31,70298,4561,4181
12,3353,27395,36,68660,4561,4181
13,3328,27327,37,67987,4561,4181
14,3283,26754,40,67257,4561,4181
15,3681,27238,37,67567,4561,4181
16,3488,27295,34,68314,4561,4181
17,3507,28137,38,69182,4561,4181
18,3527,26558,38,66488,4561,4181
19,3380,27145,38,67542,4561,4181
20,3504,27551,34,69023,4561,4181
21,3542,27362,38,68278,4561,4181
22,3393,27009,39,67935,4561,4181
23,3312,26329,39,66163,4561,4181
24,3613,26866,41,67541,4561,4181
25,3841,27402,38,68044,4561,4181
26,3478,28588,34,70325,4561,4181
27,3519,27896,31,70082,4561,4181
28,3876,28118,32,70003,4561,4181
29,3500,26650,37,66573,4561,4181
30,3650,27131,36,67922,4561,4181
31,3794,28160,31,70194,4561,4181
32,3498,26740,40,66707,4561,4181
33,3573,27130,36,67425,4561,4181
34,3448,27210,36,68273,4561,4181
35,3243,26025,37,66226,4561,4181
36,3444,27177,37,68243,4561,4181
37,3532,27514,39,68086,4561,4181
38,3314,25918,40,65755,4561,4181
39,3427,26981,33,68081,4561,4181
40,3450,27726,33,69144,4561,4181
41,3687,27292,34,68489,4561,4181
42,3381,26549,38,66796,4561,4181
43,3282,27897,39,68845,4561,4181
44,3337,26508,40,66259,4561,4181
45,3422,27162,41,67524,4561,4181
46,3545,27490,40,68098,4561,4181
47,3359,26758,39,67046,4561,4181
48,3744,28297,34,70425,4561,4181
49,3355,26943,40,67506,4561,4181
50,3182,27011,39,67371,4561,4181
51,3259,26258,38,66236,4561,4181
52,3477,26935,38,66979,4561,4181
53,3419,27039,41,67096,4561,4181
54,3384,26748,42,67319,4561,4181
55,3287,26888,41,67440,4561,4181
56,3214,26730,38,66847,4561,4181
57,3514,28001,31,70176,4561,4181
58,3136,25599,39,65079,4561,4181
59,3356,27610,38,68639,4561,4181
60,3534,28284,34,70254,4561,4181
61,3460,27035,37,67637,4561,4181
62,3543,27180,37,67909,4561,4181
63,3431,26842,39,67106,4561,4181
64,3865,27453,35,68023,4561,4181
65,3318,26993,38,67701,4561,4181
66,3553,27193,38,67786,4561,4181
67,3598,27715,39,68736,4561,4181
68,3281,26480,39,66715,4561,4181
69,3511,28073,37,69583,4561,4181
70,3570,27175,39,67564,4561,4181
71,3049,27521,39,68113,4561,4181
72,3462,26901,38,67682,4561,4181
73,3923,28919,32,71475,4561,4181
74,3143,27103,38,67669,4561,4181
75,3791,27549,38,68150,4561,4181
76,3302,27180,39,68368,4561,4181
77,3351,27029,38,67730,4561,4181
78,3481,27386,38,68324,4561,4181
79,3295,26726,39,67209,4561,4181
80,3280,26762,38,67406,4561,4181
81,3541,27525,33,68883,4561,4181
82,3310,27291,35,68063,4561,4181
83,3384,26757,41,66604,4561,4181
84,3556,28234,36,70132,4561,4181
85,3253,26923,39,67410,4561,4181
86,3393,26990,38,67566,4561,4181
87,3468,26587,38,66428,4561,4181
88,3148,27207,40,68040,4561,4181
89,3268,26174,42,65730,4561,4181
90,3687,26282,40,66048,4561,4181
91,3325,26842,35,67554,4561,4181
92,3223,27617,33,69047,4561,4181
93,3505,27106,38,67841,4561,4181
94,3352,26559,38,67383,4561,4181
95,3354,27457,40,67883,4561,4181
96,3734,27027,38,67889,4561,4181
97,3367,26763,39,66942,4561,4181
98,3178,26100,42,66174,4561,4181
99,3541,26988,39,67501,4561,4181
100,3370,26395,39,66488,4561,4181
101,3677,27642,38,68462,4561,4181
102,3296,26979,41,67437,4561,4181
103,3446,26650,35,67567,4561,4181
104,3440,26761,40,66988,4561,4181
105,3504,27578,37,68540,4561,4181
106,3550,27235,39,67915,4561,4181
107,3206,26408,41,66300,4561,4181
108,3460,27848,36,69230,4561,4181
109,3556,27299,33,68317,4561,4181
110,3398,27502,37,68608,4561,4181
111,3721,27288,40,67972,4561,4181
112,3630,26732,39,67010,4561,4181
113,3763,26589,38,66927,4561,4181
114,3454,27404,41,68101,4561,4181
115,3542,27660,38,68177,4561,4181
116,3364,26705,37,66865,4561,4181
117,3165,26593,37,67499,4561,4181
118,3703,27025,35,67526,4561,4181
119,3459,27149,37,67508,4561,4181
120,3363,27043,39,67581,4561,4181
121,3403,27078,36,67995,4561,4181
122,3664,27296,37,68514,4561,4181
123,3448,27023,38,67807,4561,4181
124,3551,27255,39,67807,4561,4181
125,3328,26953,38,67503,4561,4181
126,3021,27277,37,67851,4561,4181
127,3682,27077,40,67701,4561,4181
128,3450,26513,36,66571,4561,4181
129,3557,26604,39,67045,4561,4181
130,3433,26770,40,67573,4561,4181
131,3517,26458,39,66670,4561,4181
132,3576,27131,37,67432,4561,4181
133,3569,27348,39,67844,4561,4181
134,3628,27660,35,68968,4561,4181
135,3478,27683,34,68722,4561,4181
136,3225,26502,41,66698,4561,4181
137,3401,26915,39,67644,4561,4181
138,3290,27552,37,68554,4561,4181
139,3719,27738,35,69150,4561,4181
140,3354,27391,38,68428,4561,4181
141,3395,27019,40,67419,4561,4181
142,3321,26793,36,67080,4561,4181
143,3504,27022,37,67880,4561,4181
144,3381,26375,37,66507,4561,4181
