sid,BUFF,NOT,AND,PI,PO,LP
224,9155,9556,9175,636,361,52
67,8847,9580,9033,636,361,52
464,9061,9278,8989,636,361,52
413,9402,8975,9008,636,361,52
90,9577,9020,9118,636,361,51
205,9723,8792,9077,636,361,53
465,9109,9556,9152,636,361,52
316,8803,9250,8846,636,361,53
452,9449,9546,9317,636,361,52
242,8772,9539,8975,636,361,51
197,8967,9406,9006,636,361,51
33,9104,9301,9022,636,361,52
499,9354,9413,9203,636,361,52
194,9345,9416,9200,636,361,52
128,9093,9124,8928,636,361,52
345,9415,9078,9066,636,361,52
328,9493,9272,9202,636,361,54
137,8762,9607,9004,636,361,52
372,8707,9494,8920,636,361,50
81,8871,9808,9159,636,361,52
64,9358,9017,9007,636,361,53
439,8594,9793,9013,636,361,51
492,8734,9857,9115,636,361,50
124,9356,9435,9215,636,361,52
62,9059,9404,9051,636,361,51
378,9664,8843,9073,636,361,52
19,8877,9622,9069,636,361,52
241,8608,9429,8838,636,361,52
428,9681,9464,9392,636,361,54
438,9195,9340,9087,636,361,52
355,9041,9482,9081,636,361,53
482,8770,9663,9036,636,361,52
237,9309,9388,9168,636,361,54
468,9097,9484,9110,636,361,53
322,9111,9564,9157,636,361,54
43,9355,9710,9352,636,361,54
467,8914,9403,8978,636,361,53
419,9241,8988,8934,636,361,52
415,8500,9739,8939,636,361,51
54,9073,9482,9097,636,361,54
305,9311,9640,9295,636,361,53
17,9562,9165,9183,636,361,54
397,8760,9631,9015,636,361,52
434,9327,9370,9168,636,361,51
379,9028,8975,8821,636,361,53
447,8741,9476,8928,636,361,53
14,9216,8893,8874,636,361,52
284,8836,9539,9007,636,361,51
113,9151,9496,9143,636,361,52
402,9225,9210,9037,636,361,52
437,9429,9150,9109,636,361,52
472,9355,9094,9044,636,361,52
461,9189,9272,9050,636,361,52
483,8793,9484,8958,636,361,52
384,9361,9094,9047,636,361,51
338,9213,9146,8999,636,361,53
152,8743,9524,8953,636,361,51
154,9451,9064,9077,636,361,52
491,8724,9233,8798,636,361,53
77,9297,8880,8908,636,361,53
55,9305,8922,8933,636,361,52
407,9645,9122,9203,636,361,54
5,9263,9220,9061,636,361,53
387,9002,9267,8954,636,361,52
