sid,NOT,AND,Level,edges,PI,PO
0,832,6381,33,16184,636,361
1,844,6419,32,16542,636,361
2,873,6435,33,16357,636,361
3,929,6381,32,16151,636,361
4,836,6455,32,16383,636,361
5,867,6513,33,16407,636,361
6,861,6375,32,16424,636,361
7,837,6364,32,16085,636,361
8,954,6479,34,16476,636,361
9,852,6323,33,16032,636,361
10,881,6409,34,16287,636,361
11,867,6506,32,16571,636,361
12,877,6467,33,16185,636,361
13,826,6444,32,16216,636,361
14,891,6284,32,15919,636,361
15,870,6451,32,16259,636,361
16,844,6306,33,16175,636,361
17,856,6489,33,16353,636,361
18,848,6406,33,16233,636,361
19,866,6457,34,16262,636,361
20,906,6377,33,16367,636,361
21,831,6292,32,15862,636,361
22,807,6230,33,15958,636,361
23,907,6321,34,15949,636,361
24,870,6324,33,16227,636,361
25,856,6272,34,16187,636,361
26,902,6534,32,16550,636,361
27,894,6488,32,16335,636,361
28,873,6376,32,16273,636,361
29,886,6510,32,16253,636,361
30,854,6280,33,16132,636,361
31,838,6380,33,16501,636,361
32,912,6458,33,16196,636,361
33,846,6523,33,16444,636,361
34,820,6243,32,16037,636,361
35,917,6347,34,16166,636,361
36,875,6386,33,16310,636,361
37,836,6330,31,16296,636,361
38,907,6359,34,16195,636,361
39,902,6540,34,16577,636,361
40,892,6479,33,16349,636,361
41,905,6486,33,16505,636,361
42,895,6379,32,16370,636,361
43,852,6603,34,16717,636,361
44,903,6557,32,16546,636,361
45,822,6379,33,15938,636,361
46,911,6418,33,16263,636,361
47,922,6515,32,16321,636,361
48,870,6542,32,16566,636,361
49,872,6342,33,16385,636,361
50,926,6422,34,16209,636,361
51,857,6301,34,16292,636,361
52,844,6489,33,16475,636,361
53,917,6485,33,16583,636,361
54,952,6476,33,16273,636,361
55,912,6370,32,16147,636,361
56,895,6476,33,16325,636,361
57,898,6393,33,16354,636,361
58,886,6289,31,16036,636,361
59,898,6422,34,16161,636,361
60,797,6549,34,16732,636,361
61,949,6400,34,16395,636,361
62,837,6517,33,16449,636,361
63,810,6393,33,16264,636,361
64,876,6416,33,16348,636,361
65,870,6413,33,16563,636,361
66,874,6418,33,16191,636,361
67,871,6465,33,16477,636,361
68,889,6245,33,15979,636,361
69,898,6349,33,15913,636,361
