sid,NOT,AND,Level,edges,PI,PO
0,73,338,7,788,132,90
1,71,332,7,779,132,90
2,78,336,6,794,132,90
3,82,331,6,772,132,90
4,68,335,7,787,132,90
5,79,345,7,788,132,90
6,83,334,7,781,132,90
7,71,330,7,771,132,90
8,82,337,6,805,132,90
9,67,323,7,769,132,90
10,83,330,7,769,132,90
11,71,337,6,789,132,90
12,64,327,7,781,132,90
13,70,333,7,769,132,90
14,64,319,6,767,132,90
15,63,323,7,765,132,90
16,68,325,7,778,132,90
17,74,340,6,792,132,90
18,72,342,6,796,132,90
19,74,336,6,776,132,90
20,74,320,7,756,132,90
21,70,335,7,789,132,90
22,67,329,7,787,132,90
23,68,333,7,791,132,90
24,87,338,7,783,132,90
25,80,333,7,778,132,90
26,71,332,7,777,132,90
27,71,330,7,764,132,90
28,88,330,7,765,132,90
29,71,332,6,780,132,90
30,67,329,6,785,132,90
31,65,326,7,769,132,90
32,69,339,6,796,132,90
33,68,327,7,782,132,90
34,84,356,7,827,132,90
35,82,331,6,771,132,90
36,80,336,6,790,132,90
37,67,325,6,777,132,90
38,84,332,6,776,132,90
39,65,326,6,768,132,90
40,68,325,7,768,132,90
41,80,331,6,781,132,90
42,69,332,7,783,132,90
43,66,331,7,788,132,90
44,71,334,7,780,132,90
45,74,340,7,784,132,90
46,64,325,7,767,132,90
47,67,326,6,770,132,90
48,71,331,7,783,132,90
49,84,336,6,784,132,90
50,75,339,7,774,132,90
51,82,330,6,772,132,90
52,66,332,6,784,132,90
53,85,334,6,769,132,90
54,88,347,6,802,132,90
55,84,328,7,760,132,90
56,74,339,7,786,132,90
57,70,331,7,777,132,90
58,74,336,7,780,132,90
59,67,329,6,780,132,90
60,65,326,6,784,132,90
61,75,327,7,764,132,90
62,73,338,7,784,132,90
63,75,336,7,774,132,90
64,68,330,6,795,132,90
65,78,329,6,776,132,90
66,68,334,6,791,132,90
67,77,343,7,792,132,90
68,67,329,7,786,132,90
69,71,336,7,794,132,90
70,72,330,6,783,132,90
71,67,336,7,790,132,90
72,84,328,7,766,132,90
73,68,330,6,772,132,90
74,83,330,6,779,132,90
75,72,339,7,793,132,90
76,66,324,7,766,132,90
77,73,333,6,793,132,90
78,64,336,7,797,132,90
79,84,338,6,786,132,90
80,87,335,6,780,132,90
