sid,BUFF,NOT,AND,PI,PO,LP
224,3646,4122,3533,828,702,26
67,3291,4413,3501,828,702,28
464,3597,4077,3486,828,702,28
413,3461,4187,3473,828,702,26
90,3471,4209,3489,828,702,27
205,3481,4147,3463,828,702,25
465,3100,4514,3456,828,702,26
316,3050,4502,3425,828,702,27
452,3106,4510,3457,828,702,28
242,3641,4065,3502,828,702,27
197,3410,4220,3464,828,702,25
33,3355,4133,3393,828,702,25
499,3168,4606,3536,828,702,26
194,3588,4084,3485,828,702,27
128,3444,4192,3467,828,702,27
345,3431,4163,3446,828,702,25
328,3256,4702,3628,828,702,27
137,3568,4014,3440,828,702,27
372,3560,4040,3449,828,702,27
81,3567,4137,3501,828,702,27
64,3474,4244,3508,828,702,27
439,3196,4388,3441,828,702,26
492,3495,4123,3458,828,702,25
124,3076,4514,3444,828,702,26
62,3439,4203,3470,828,702,27
378,3431,4109,3419,828,702,26
19,3511,4093,3451,828,702,25
241,3593,4059,3475,828,702,26
428,3749,4213,3630,828,702,27
438,3601,4047,3473,828,702,27
355,3662,4054,3507,828,702,27
482,3214,4370,3441,828,702,26
237,3653,4183,3567,828,702,26
468,3289,4369,3478,828,702,28
322,3610,4030,3469,828,702,26
43,3702,4172,3586,828,702,27
467,3549,4143,3495,828,702,27
419,3452,4214,3482,828,702,26
415,3173,4387,3429,828,702,25
54,3563,4043,3452,828,702,28
305,3623,4113,3517,828,702,27
17,3199,4635,3566,828,702,25
397,3221,4373,3446,828,702,27
434,3369,4185,3426,828,702,27
379,3475,4187,3480,828,702,27
447,3575,4075,3474,828,702,27
14,3389,4205,3446,828,702,26
284,3112,4588,3499,828,702,28
113,3687,4137,3561,828,702,25
402,3048,4544,3445,828,702,27
437,3424,4162,3442,828,702,24
472,3388,4164,3425,828,702,26
461,3141,4541,3490,828,702,27
483,3169,4383,3425,828,702,26
384,3476,4240,3507,828,702,27
338,3450,4178,3463,828,702,27
152,3199,4419,3458,828,702,25
154,3451,4201,3475,828,702,25
491,3085,4461,3422,828,702,26
77,3450,4242,3495,828,702,27
55,3400,4232,3465,828,702,25
407,3505,4179,3491,828,702,27
5,3464,4230,3496,828,702,27
387,3589,4085,3486,828,702,25
217,3247,4469,3507,828,702,27
179,3087,4511,3448,828,702,27
336,3414,4214,3463,828,702,27
94,3406,4168,3436,828,702,27
164,3659,4129,3543,828,702,27
103,3485,4231,3507,828,702,27
93,3541,4059,3449,828,702,25
474,3546,4116,3480,828,702,25
159,3600,4084,3491,828,702,27
36,3595,4049,3471,828,702,27
406,3245,4395,3469,828,702,26
144,3391,4207,3448,828,702,27
375,3325,4433,3528,828,702,26
79,3596,4034,3464,828,702,24
471,3355,4247,3450,828,702,25
441,3652,4066,3508,828,702,27
230,3645,4189,3566,828,702,26
390,3174,4618,3545,828,702,26
347,3232,4382,3456,828,702,26
324,3098,4604,3500,828,702,28
72,3621,4131,3525,828,702,27
38,3427,4177,3451,828,702,26
153,3567,4039,3452,828,702,25
186,3162,4576,3518,828,702,28
167,3419,4169,3443,828,702,27
101,3442,4150,3445,828,702,27
270,3489,4195,3491,828,702,26
147,3584,4026,3454,828,702,26
106,3529,4125,3476,828,702,27
343,3451,4163,3456,828,702,25
184,3430,4244,3486,828,702,28
112,3405,4227,3465,828,702,25
201,3548,4212,3529,828,702,28
213,3623,4083,3502,828,702,28
477,3495,4209,3501,828,702,27
107,3562,4078,3469,828,702,27
104,3467,4205,3485,828,702,27
127,3611,4095,3502,828,702,27
160,3612,4046,3478,828,702,27
325,3217,4619,3567,828,702,26
35,3554,4034,3443,828,702,26
462,3448,4168,3457,828,702,26
