sid,NOT,AND,Level,edges,PI,PO
0,371,2427,18,5841,828,702
1,368,2347,17,5786,828,702
2,323,2221,16,5504,828,702
3,388,2343,17,5730,828,702
4,314,2285,19,5649,828,702
5,436,2515,19,5971,828,702
6,377,2345,16,5709,828,702
7,419,2559,19,6076,828,702
8,417,2464,18,6013,828,702
9,379,2487,18,5967,828,702
10,418,2423,18,5964,828,702
11,338,2419,15,5824,828,702
12,427,2488,15,5922,828,702
13,414,2409,16,5802,828,702
14,397,2333,18,5741,828,702
15,387,2359,17,5682,828,702
16,437,2497,18,5996,828,702
17,334,2402,16,5849,828,702
18,385,2356,16,5690,828,702
19,470,2459,17,5834,828,702
20,441,2564,18,6105,828,702
21,360,2324,18,5682,828,702
22,446,2455,17,5918,828,702
23,405,2353,17,5705,828,702
24,432,2424,16,5815,828,702
25,414,2427,17,5822,828,702
26,383,2505,17,6012,828,702
27,405,2497,16,5951,828,702
28,340,2283,17,5688,828,702
29,363,2384,16,5719,828,702
30,412,2418,18,5852,828,702
31,447,2461,17,5896,828,702
32,396,2483,18,5961,828,702
33,433,2479,17,5860,828,702
34,347,2295,16,5690,828,702
35,395,2294,17,5698,828,702
36,379,2274,18,5672,828,702
37,410,2540,17,6121,828,702
38,428,2488,16,5922,828,702
39,398,2452,16,5869,828,702
40,458,2584,16,6088,828,702
41,422,2414,17,5866,828,702
42,437,2459,16,5887,828,702
43,358,2455,16,5976,828,702
44,420,2588,18,6081,828,702
45,469,2510,18,5930,828,702
46,424,2437,17,5863,828,702
47,394,2449,18,5864,828,702
48,423,2460,18,5911,828,702
49,432,2449,16,5876,828,702
50,379,2269,17,5566,828,702
51,426,2398,18,5846,828,702
52,399,2474,18,5935,828,702
53,414,2357,17,5758,828,702
54,366,2271,18,5623,828,702
55,400,2375,17,5799,828,702
56,437,2507,16,5986,828,702
57,378,2488,18,5998,828,702
58,380,2354,16,5772,828,702
59,395,2463,18,5873,828,702
60,445,2746,17,6459,828,702
61,413,2421,17,5881,828,702
62,428,2377,18,5724,828,702
63,376,2325,18,5636,828,702
64,452,2458,18,5902,828,702
65,400,2403,17,5873,828,702
66,429,2458,18,5830,828,702
67,344,2340,19,5730,828,702
68,468,2420,18,5800,828,702
69,429,2480,17,5875,828,702
70,386,2367,17,5740,828,702
71,436,2547,18,6033,828,702
72,381,2428,17,5977,828,702
73,399,2439,17,5846,828,702
74,454,2502,17,5976,828,702
75,354,2352,16,5645,828,702
76,412,2402,17,5732,828,702
77,454,2598,19,6160,828,702
78,348,2343,17,5648,828,702
79,346,2274,16,5652,828,702
80,382,2353,16,5777,828,702
81,359,2325,17,5718,828,702
82,429,2387,17,5723,828,702
83,369,2344,17,5684,828,702
84,367,2502,18,5980,828,702
85,357,2274,15,5520,828,702
86,407,2405,16,5755,828,702
87,479,2581,18,6069,828,702
88,362,2374,17,5774,828,702
89,409,2406,16,5819,828,702
90,393,2362,19,5809,828,702
91,390,2410,17,5785,828,702
92,435,2600,18,6145,828,702
93,462,2557,17,6025,828,702
94,425,2391,18,5808,828,702
95,483,2433,18,5863,828,702
96,400,2411,15,5871,828,702
97,428,2506,19,5976,828,702
98,490,2617,18,6176,828,702
99,451,2466,18,6034,828,702
100,435,2463,18,5988,828,702
101,431,2391,19,5820,828,702
102,399,2493,17,5975,828,702
103,392,2412,18,5896,828,702
104,431,2483,18,5961,828,702
105,406,2507,20,6002,828,702
106,421,2513,18,5996,828,702
107,367,2394,18,5790,828,702
108,460,2532,18,6059,828,702
109,389,2407,16,5770,828,702
110,401,2484,16,5908,828,702
111,408,2471,18,5904,828,702
112,396,2389,15,5801,828,702
113,418,2406,16,5900,828,702
114,372,2435,19,5900,828,702
115,330,2391,17,5851,828,702
116,354,2250,15,5457,828,702
117,397,2477,17,5977,828,702
118,437,2556,18,6064,828,702
119,401,2489,17,5975,828,702
120,463,2533,17,6036,828,702
121,383,2467,18,5947,828,702
122,406,2314,17,5626,828,702
123,423,2412,18,5873,828,702
124,392,2419,15,5809,828,702
125,439,2486,18,6062,828,702
126,457,2496,16,5965,828,702
127,389,2358,17,5873,828,702
128,377,2430,18,5850,828,702
129,407,2493,18,5989,828,702
130,378,2329,15,5725,828,702
131,414,2449,17,5963,828,702
132,452,2531,17,6055,828,702
133,431,2405,17,5830,828,702
134,438,2478,19,5880,828,702
135,387,2445,17,5827,828,702
136,381,2347,17,5814,828,702
137,377,2321,17,5711,828,702
138,358,2453,19,5933,828,702
139,419,2540,16,5990,828,702
140,388,2339,16,5651,828,702
141,393,2403,17,5794,828,702
142,400,2574,17,6131,828,702
143,383,2358,18,5673,828,702
144,414,2324,17,5705,828,702
145,394,2365,17,5751,828,702
146,482,2540,17,6100,828,702
147,415,2448,17,5885,828,702
148,365,2458,16,5953,828,702
149,427,2476,19,5940,828,702
150,387,2439,18,5937,828,702
151,347,2360,17,5811,828,702
152,397,2401,16,5775,828,702
153,397,2323,15,5719,828,702
154,418,2353,17,5687,828,702
155,407,2490,17,5941,828,702
156,369,2408,17,5816,828,702
157,354,2499,17,6040,828,702
158,454,2555,18,6067,828,702
159,398,2462,17,5935,828,702
160,326,2255,17,5661,828,702
161,429,2696,17,6435,828,702
162,470,2533,19,5998,828,702
163,380,2305,18,5684,828,702
164,428,2505,18,6062,828,702
165,401,2471,19,5892,828,702
166,411,2391,18,5892,828,702
167,412,2391,18,5826,828,702
168,416,2397,18,5813,828,702
169,429,2476,17,5875,828,702
170,381,2439,17,5897,828,702
171,440,2419,16,5858,828,702
172,357,2378,17,5764,828,702
173,440,2445,16,5940,828,702
174,362,2422,16,5857,828,702
175,410,2433,17,5885,828,702
176,449,2449,18,5991,828,702
177,405,2388,16,5730,828,702
178,427,2443,18,5965,828,702
179,367,2436,17,5870,828,702
180,343,2422,17,5954,828,702
181,415,2438,16,5870,828,702
182,397,2359,18,5825,828,702
183,404,2427,16,5901,828,702
184,433,2436,19,5891,828,702
185,442,2579,19,6110,828,702
186,426,2556,18,6047,828,702
187,390,2352,18,5815,828,702
188,421,2479,17,5937,828,702
189,419,2384,16,5797,828,702
190,345,2371,19,5730,828,702
191,375,2412,18,5978,828,702
192,430,2510,17,6033,828,702
193,410,2546,17,6052,828,702
194,449,2500,16,5922,828,702
195,432,2447,17,5853,828,702
196,413,2485,16,5941,828,702
197,409,2541,16,6049,828,702
198,430,2437,17,5873,828,702
199,375,2410,17,5827,828,702
200,363,2339,17,5719,828,702
201,451,2426,19,5915,828,702
202,367,2466,16,5881,828,702
203,369,2358,19,5785,828,702
204,409,2387,18,5794,828,702
205,399,2384,18,5838,828,702
206,363,2321,16,5617,828,702
207,411,2472,18,5924,828,702
208,435,2426,18,5896,828,702
209,420,2435,18,5917,828,702
