sid,area,delay
0,6374.16,5332.51
1,6228.92,5012.99
2,6273.08,5125.64
3,6360.06,5239.24
4,6245.95,5019.42
5,6263.50,5187.88
6,6230.78,5051.98
7,6227.59,5160.43
8,6255.26,5144.18
9,6082.62,5099.92
10,6335.06,5257.27
11,6234.24,5233.84
12,6247.01,5210.02
13,6252.06,5217.73
14,6231.32,5158.98
15,6271.22,5139.11
16,6233.98,5244.20
17,6257.12,5186.05
18,6331.86,5100.46
19,6231.58,5141.12
20,6257.12,5254.28
21,6293.03,5161.72
22,6340.64,5064.36
23,6219.35,5276.59
24,6089.01,5114.24
25,6319.63,5093.22
26,6320.96,5243.23
27,6199.93,5128.95
28,6325.75,5276.79
29,6248.34,5156.77
30,6224.40,4991.07
31,6313.24,5245.47
32,6147.53,5148.40
33,6288.24,5091.99
34,6194.61,5020.50
35,6252.33,5181.01
36,6377.35,5226.01
37,6364.58,5337.94
38,6145.66,5099.55
39,6264.83,5163.08
40,6167.21,5078.91
41,6103.10,5089.77
42,6212.70,5126.98
43,6390.38,5249.12
44,6250.20,5268.89
45,6365.65,5210.31
46,6078.90,5027.20
47,6160.03,5124.90
48,6316.97,5076.71
49,6272.28,5203.96
50,6510.88,5189.65
51,6290.37,5267.72
52,6238.50,5165.62
53,6241.16,5182.42
54,6128.91,5070.34
55,6213.49,5192.58
56,6162.69,5159.02
57,6295.16,5211.50
58,6333.46,5090.56
59,6373.36,5251.44
60,6145.66,5076.94
61,6187.43,5218.31
62,6121.46,5040.90
63,6295.69,5206.09
64,6263.77,5241.42
65,6085.28,5061.62
66,6407.94,5096.80
67,6333.46,5236.44
68,6080.23,5080.49
69,6264.83,5216.66
70,6209.50,5121.50
71,6136.89,5152.88
72,6151.78,5064.72
73,6419.91,5226.01
74,6194.34,5084.78
75,6254.46,5238.61
76,6215.09,5023.05
77,6233.18,5121.31
78,6235.84,5201.95
79,6148.86,5203.52
80,6138.22,5125.33
81,6414.32,5229.52
82,6324.15,5201.90
83,6097.78,5098.10
84,6348.89,5330.13
85,6330.27,5285.23
86,6082.36,5111.05
87,6285.31,5248.78
88,6110.02,5101.74
89,6148.59,5151.29
90,6094.33,5114.73
91,6269.62,5200.67
92,6301.54,5065.84
93,6232.91,5256.59
94,6209.77,5150.57
95,6129.17,5143.04
96,6241.69,5222.07
97,6300.74,5254.55
98,6304.47,5103.76
99,6339.58,5170.20
100,6213.23,5167.74
101,6379.48,5100.56
102,6321.22,5214.96
103,6354.21,5115.20
104,6094.06,5113.41
105,6403.68,5385.36
106,6255.26,5165.79
107,6273.08,5156.64
108,6114.54,5015.90
109,6207.91,5217.61
110,6173.06,5126.50
111,6331.60,5238.31
112,6378.15,5400.11
113,6263.50,5144.16
114,6365.91,5236.82
115,6231.58,5135.71
116,6237.43,5137.65
117,6165.61,5124.50
118,6204.98,5126.39
119,6169.60,5095.21
120,6257.92,5212.88
121,6472.58,5344.08
122,6361.39,5268.75
123,6370.43,5203.75
124,6127.04,5188.73
125,6410.07,5272.83
126,6147.79,5152.44
127,6142.74,5150.11
128,6166.41,5096.34
129,6227.06,5129.09
130,6303.14,5247.27
131,6232.91,5240.55
132,6233.44,5108.64
133,6203.92,5133.48
134,6257.12,5238.11
135,6221.74,5198.50
136,6140.61,5127.09
137,6217.48,5269.51
138,6178.12,5070.45
139,6297.55,5111.78
140,6460.61,5015.69
141,6295.42,5203.74
142,6289.57,5243.71
143,6362.99,5206.44
144,6457.42,5116.79
145,6313.51,5289.55
146,6271.75,5114.38
147,6359.53,5327.97
148,6294.36,5256.64
149,6221.21,5161.72
150,6187.69,5208.84
151,6111.35,5148.03
152,6289.84,5263.04
153,6149.39,5083.28
154,6237.17,5219.51
155,6232.11,5181.74
156,6397.57,5148.90
157,6256.59,5194.26
158,6332.93,5183.84
159,6336.65,5282.41
160,6347.56,5152.68
161,6377.62,5305.50
162,6342.50,5019.68
163,6394.11,5225.25
164,6232.38,5047.81
165,6119.86,5153.81
