sid,BUFF,NOT,AND,PI,PO,LP
61,9305,8994,8969,636,361,51
204,8724,9233,8798,636,361,53
5,9652,9159,9225,636,361,52
172,9023,9646,9154,636,361,54
357,9436,9117,9096,636,361,50
301,9203,9082,8962,636,361,51
25,9070,9745,9227,636,361,54
340,9540,9309,9244,636,361,54
395,9321,9388,9174,636,361,53
470,8803,9486,8964,636,361,50
377,9247,9428,9157,636,361,52
176,8990,9061,8845,636,361,53
203,8770,9791,9100,636,361,53
138,9428,8867,8967,636,361,52
379,8843,9408,8945,636,361,52
281,9346,9053,9019,636,361,52
352,8753,9386,8889,636,361,54
33,9596,8949,9092,636,361,52
375,9210,9589,9219,636,361,54
353,8787,9446,8936,636,361,51
270,9026,9449,9057,636,361,51
210,9204,9725,9284,636,361,54
449,9252,9415,9153,636,361,54
297,8974,9427,9020,636,361,54
318,9024,9387,9025,636,361,52
182,8821,9436,8948,636,361,52
177,8914,9531,9042,636,361,53
478,8768,9745,9076,636,361,52
260,8753,9734,9063,636,361,50
438,8696,9413,8874,636,361,54
183,8963,9592,9097,636,361,52
309,8849,9404,8946,636,361,53
427,9166,9455,9130,636,361,54
378,9045,9546,9115,636,361,54
174,9784,8769,9096,636,361,54
7,8869,9534,9021,636,361,52
291,9165,9260,9032,636,361,54
228,8828,9629,9048,636,361,54
132,9107,9486,9116,636,361,54
117,9502,9009,9075,636,361,52
137,9381,9032,9026,636,361,51
328,9549,9086,9137,636,361,54
348,9073,9496,9104,636,361,53
304,9512,9173,9162,636,361,54
410,8743,9524,8953,636,361,51
240,8938,9523,9050,636,361,53
50,9868,9265,9386,636,361,54
349,8808,9507,8977,636,361,52
385,8812,9617,9034,636,361,53
170,9472,9093,9102,636,361,52
259,9621,8978,9119,636,361,54
451,8941,9698,9139,636,361,51
207,9053,9268,8980,636,361,52
454,9534,9021,9097,636,361,54
374,9645,9122,9203,636,361,54
205,9078,9483,9100,636,361,51
258,9124,9509,9136,636,361,53
398,8901,9582,9061,636,361,53
226,9342,9241,9111,636,361,53
217,8877,9622,9069,636,361,52
102,8949,9408,8998,636,361,52
339,8924,9405,8984,636,361,52
300,9510,8871,9010,636,361,53
140,9651,9428,9359,636,361,54
88,9284,9135,9029,636,361,53
37,9215,9502,9178,636,361,51
214,9585,9098,9161,636,361,50
58,9621,9320,9290,636,361,52
371,8827,9434,8950,636,361,50
56,8955,9118,8856,636,361,51
425,9245,9226,9055,636,361,54
31,8712,9649,9000,636,361,51
274,9018,9521,9089,636,361,52
487,8884,9481,9002,636,361,54
312,8546,9597,8891,636,361,51
69,8638,9585,8931,636,361,53
282,8918,9271,8914,636,361,53
111,8814,9507,8980,636,361,52
234,8611,9718,8984,636,361,50
365,8654,9521,8907,636,361,52
338,9211,9728,9289,636,361,54
278,8980,9231,8925,636,361,54
424,8750,9511,8950,636,361,52
107,9409,9548,9298,636,361,50
264,9203,9470,9156,636,361,52
94,9065,9356,9030,636,361,51
200,9349,9392,9190,636,361,52
485,8633,9644,8958,636,361,52
356,8925,9700,9132,636,361,54
286,8895,9372,8953,636,361,53
292,8927,9418,8992,636,361,52
492,8981,9352,8986,636,361,53
370,9258,9139,9018,636,361,53
405,8838,9477,8977,636,361,54
276,8974,9463,9038,636,361,52
460,8757,9544,8970,636,361,52
384,9316,9189,9072,636,361,53
409,9472,9019,9065,636,361,52
329,8939,9500,9039,636,361,54
191,9443,9004,9043,636,361,51
296,8943,9428,9005,636,361,54
213,9168,9155,8981,636,361,51
179,8615,9492,8873,636,361,52
372,8896,9761,9148,636,361,52
317,9051,9402,9046,636,361,52
272,9105,9308,9026,636,361,52
382,8925,9562,9063,636,361,50
295,8865,9514,9009,636,361,53
114,9282,9303,9112,636,361,54
337,9572,9299,9255,636,361,52
42,9453,9090,9091,636,361,54
232,9098,9425,9081,636,361,53
231,8978,9227,8922,636,361,53
428,8992,9411,9021,636,361,54
457,9293,8962,8947,636,361,54
171,8866,9467,8986,636,361,53
321,9014,9425,9039,636,361,52
43,8731,9800,9085,636,361,54
199,9088,9559,9143,636,361,52
464,9039,9602,9140,636,361,52
71,9189,9158,8993,636,361,53
294,8662,9761,9031,636,361,53
36,9538,9365,9271,636,361,52
279,8892,9325,8928,636,361,52
252,9439,9086,9082,636,361,53
420,9048,9277,8982,636,361,53
414,9007,9334,8990,636,361,53
334,9053,9566,9129,636,361,52
302,8859,9510,9004,636,361,51
66,9551,9268,9229,636,361,54
155,8606,9887,9066,636,361,52
477,9031,9570,9120,636,361,51
159,8818,9605,9031,636,361,53
275,8940,9493,9036,636,361,51
350,8861,9466,8983,636,361,52
35,9272,9115,9013,636,361,51
263,8635,9816,9045,636,361,52
499,9120,9425,9092,636,361,52
303,8953,9386,8989,636,361,53
271,9307,9042,8994,636,361,52
153,9069,9238,8973,636,361,53
280,9252,9131,9011,636,361,52
443,9264,9129,9016,636,361,53
190,8977,9320,8968,636,361,52
127,8595,9514,8874,636,361,53
188,8793,9640,9036,636,361,51
242,8925,9502,9033,636,361,52
79,9218,9145,9001,636,361,52
96,8863,9506,9004,636,361,51
407,9038,9117,8897,636,361,52
471,8770,9559,8984,636,361,50
181,8723,9734,9048,636,361,52
144,9854,9169,9331,636,361,54
186,8839,9708,9093,636,361,52
323,8945,9406,8995,636,361,53
256,8660,9545,8922,636,361,51
406,9539,8886,9032,636,361,52
62,9008,9305,8976,636,361,52
488,9380,9199,9109,636,361,54
193,8618,9439,8848,636,361,54
106,9108,9169,8958,636,361,52
387,8847,9738,9112,636,361,51
401,9097,9484,9110,636,361,53
161,8639,9822,9050,636,361,52
74,8923,9468,9015,636,361,52
255,8985,9654,9139,636,361,53
145,9221,9482,9171,636,361,51
135,9282,9127,9024,636,361,53
236,9319,9038,8998,636,361,54
195,8891,9200,8865,636,361,53
262,9445,9414,9249,636,361,50
245,8837,9446,8961,636,361,53
151,9142,9291,9036,636,361,54
211,8738,9549,8963,636,361,52
221,9172,9041,8926,636,361,54
218,8972,9413,9012,636,361,50
21,9474,9459,9286,636,361,52
237,8624,9601,8932,636,361,54
483,8894,9679,9106,636,361,54
95,8838,9437,8957,636,361,52
22,9558,9203,9200,636,361,52
97,8623,9716,8989,636,361,54
82,9117,9430,9093,636,361,51
366,8980,9361,8990,636,361,52
299,9059,9404,9051,636,361,51
266,9496,8961,9048,636,361,53
130,8770,9663,9036,636,361,52
90,9221,9022,8941,636,361,54
293,9363,9102,9052,636,361,52
121,8971,9626,9118,636,361,51
452,8894,9531,9032,636,361,53
55,8964,9575,9089,636,361,54
480,8618,9661,8959,636,361,53
17,9171,9416,9113,636,361,51
412,8981,9532,9076,636,361,52
495,8795,9772,9103,636,361,51
67,9219,9588,9223,636,361,53
0,9193,9538,9185,636,361,51
49,9017,9420,9038,636,361,50
434,8817,9684,9070,636,361,51
91,8758,9747,9072,636,361,52
397,9168,9453,9130,636,361,52
208,9528,9363,9265,636,361,54
57,9087,9582,9154,636,361,54
209,9153,9288,9040,636,361,53
254,9515,9010,9082,636,361,52
404,9189,9272,9050,636,361,52
76,9014,9259,8956,636,361,52
459,8729,9576,8972,636,361,54
109,8840,9537,9008,636,361,51
3,9255,9444,9169,636,361,53
335,9313,8780,8866,636,361,53
484,8793,9798,9115,636,361,53
287,9078,9457,9087,636,361,54
2,9181,9380,9100,636,361,54
453,9443,8966,9024,636,361,52
283,9462,9167,9134,636,361,51
447,9292,9249,9090,636,361,52
192,8957,9480,9038,636,361,51
419,9021,9556,9108,636,361,53
396,8916,9495,9025,636,361,52
39,9118,9493,9125,636,361,54
154,8762,9607,9004,636,361,52
277,9070,9267,8988,636,361,52
445,9011,9464,9057,636,361,53
308,9016,9681,9168,636,361,52
462,9423,9076,9069,636,361,52
433,9003,9476,9059,636,361,53
441,9293,9496,9214,636,361,54
243,9038,9499,9088,636,361,51
435,9263,9126,9014,636,361,53
432,9431,9152,9111,636,361,54
101,9556,9159,9177,636,361,54
92,9698,9049,9193,636,361,52
29,8775,9532,8973,636,361,52
284,9024,9159,8911,636,361,53
244,9591,9194,9212,636,361,50
185,9012,9483,9067,636,361,51
358,8966,9195,8900,636,361,53
403,9016,9269,8962,636,361,52
288,8650,9505,8897,636,361,52
219,8791,9510,8970,636,361,53
15,9675,9010,9162,636,361,52
224,8940,9721,9150,636,361,51
469,8852,9539,9015,636,361,52
10,9111,9460,9105,636,361,52
450,9041,9482,9081,636,361,53
163,8834,9869,9171,636,361,50
110,9275,9256,9085,636,361,54
201,8764,9621,9012,636,361,52
4,9798,8749,9093,636,361,54
64,8822,9525,8993,636,361,53
227,9367,9052,9029,636,361,52
497,9188,9157,8992,636,361,54
167,9207,9072,8959,636,361,51
223,8868,9623,9065,636,361,54
440,9000,9317,8978,636,361,51
444,9498,8997,9067,636,361,52
333,8910,9419,8984,636,361,53
150,9292,9075,9003,636,361,52
77,9506,9009,9077,636,361,54
115,9000,9321,8980,636,361,54
383,9345,8998,8991,636,361,51
65,8990,9263,8946,636,361,53
250,9290,9129,9029,636,361,54
393,9391,9088,9059,636,361,53
341,9182,9007,8914,636,361,54
86,9346,8965,8975,636,361,53
313,8939,9298,8938,636,361,52
113,9001,9370,9005,636,361,53
18,9064,9655,9179,636,361,51
47,8983,9390,9006,636,361,53
34,8811,9580,9015,636,361,52
23,9042,9461,9071,636,361,52
235,9315,9392,9173,636,361,53
70,8963,9360,8981,636,361,54
118,8800,9497,8968,636,361,51
220,8760,9643,9021,636,361,50
364,9206,9353,9099,636,361,53
48,9493,9272,9202,636,361,54
9,9306,8957,8951,636,361,54
331,8796,9637,9036,636,361,52
52,8702,9767,9054,636,361,52
147,8701,9642,8991,636,361,52
344,8674,9755,9034,636,361,53
32,9005,9566,9105,636,361,50
346,8771,9520,8965,636,361,52
315,9073,9626,9169,636,361,51
490,8888,9565,9046,636,361,51
45,9415,9338,9196,636,361,54
38,9361,9138,9069,636,361,53
399,9253,8998,8945,636,361,52
120,9335,9014,8994,636,361,51
158,9181,9250,9035,636,361,52
233,8726,9593,8979,636,361,52
482,9412,9179,9115,636,361,52
6,9233,9370,9121,636,361,52
290,8918,9435,8996,636,361,51
162,9033,9610,9141,636,361,54
89,9563,8804,9003,636,361,54
342,8969,9502,9055,636,361,52
